2022-03-07 10:38:07,764 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_VOLUME {admin=testuser, owner=testuser, volume=vol-0-59794, creationTime=1646649487586, modificationTime=1646649487586, quotaInBytes=-1, quotaInNamespace=-1, usedNamespace=0, objectID=-9223372036854775552, updateID=1} | ret=SUCCESS |  
2022-03-07 10:38:07,842 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_VOLUME {admin=testuser, owner=testuser, volume=vol-1-20510, creationTime=1646649487836, modificationTime=1646649487836, quotaInBytes=-1, quotaInNamespace=-1, usedNamespace=0, objectID=-9223372036854775040, updateID=3} | ret=SUCCESS |  
2022-03-07 10:38:07,860 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_VOLUME {admin=testuser, owner=testuser, volume=vol-2-87067, creationTime=1646649487853, modificationTime=1646649487853, quotaInBytes=-1, quotaInNamespace=-1, usedNamespace=0, objectID=-9223372036854774528, updateID=5} | ret=SUCCESS |  
2022-03-07 10:38:07,870 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_VOLUME {admin=testuser, owner=testuser, volume=vol-3-43921, creationTime=1646649487866, modificationTime=1646649487866, quotaInBytes=-1, quotaInNamespace=-1, usedNamespace=0, objectID=-9223372036854774016, updateID=7} | ret=SUCCESS |  
2022-03-07 10:38:07,887 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_VOLUME {admin=testuser, owner=testuser, volume=vol-4-73278, creationTime=1646649487883, modificationTime=1646649487883, quotaInBytes=-1, quotaInNamespace=-1, usedNamespace=0, objectID=-9223372036854773504, updateID=9} | ret=SUCCESS |  
2022-03-07 10:38:07,990 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_BUCKET {volume=vol-0-59794, bucket=bucket-0-96583, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:testuser/scm@EXAMPLE.COM:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1646649487961, bucketEncryptionKey=null, modificationTime=1646649487961, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-03-07 10:38:08,041 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_BUCKET {volume=vol-1-20510, bucket=bucket-0-22923, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:testuser/scm@EXAMPLE.COM:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1646649488035, bucketEncryptionKey=null, modificationTime=1646649488035, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-03-07 10:38:08,060 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_BUCKET {volume=vol-2-87067, bucket=bucket-0-19841, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:testuser/scm@EXAMPLE.COM:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1646649488054, bucketEncryptionKey=null, modificationTime=1646649488054, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-03-07 10:38:08,071 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_BUCKET {volume=vol-3-43921, bucket=bucket-0-65323, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:testuser/scm@EXAMPLE.COM:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1646649488068, bucketEncryptionKey=null, modificationTime=1646649488068, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-03-07 10:38:08,086 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_BUCKET {volume=vol-4-73278, bucket=bucket-0-29814, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:testuser/scm@EXAMPLE.COM:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1646649488082, bucketEncryptionKey=null, modificationTime=1646649488082, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-03-07 10:38:08,098 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_BUCKET {volume=vol-0-59794, bucket=bucket-1-87710, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:testuser/scm@EXAMPLE.COM:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1646649488094, bucketEncryptionKey=null, modificationTime=1646649488094, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-03-07 10:38:08,108 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.18.0.4 | op=CREATE_BUCKET {volume=vol-1-20510, bucket=bucket-1-29917, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:testuser/scm@EXAMPLE.COM:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1646649488105, bucketEncryptionKey=null, modificationTime=1646649488105, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
