2022-03-08 16:13:00,607 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=REGISTER {datanodeDetails=f67f3089-d815-4b0e-898d-5c9c7828ed4a{ip: 10.9.0.12, host: 10a27003b312, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-03-08 16:13:00,657 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=REGISTER {datanodeDetails=91916adb-8273-4805-a186-48ec5bcd1647{ip: 10.9.0.13, host: 3702ea6ce721, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-03-08 16:13:01,377 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=REGISTER {datanodeDetails=9359edd3-7351-420b-802b-9d3143867570{ip: 10.9.0.11, host: acfa6c987c21, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-03-08 16:13:02,676 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=91916adb-8273-4805-a186-48ec5bcd1647, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "1d8f3fa2-3b81-475f-92af-6c4c6494d732" uuid128 { mostSigBits: 2129991114785113951 leastSigBits: -7876958147886917838 } } type: RATIS factor: ONE datanode { uuid: "91916adb-8273-4805-a186-48ec5bcd1647" ipAddress: "10.9.0.13" hostName: "ozone-om-prepare_dn3_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "91916adb-8273-4805-a186-48ec5bcd1647" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7957461575567980539 leastSigBits: -6807673606734277049 } } cmdId: 1646755980613 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "53c7b7b0-df41-47a1-bbf6-bd1642b94cf7" uuid128 { mostSigBits: 6036995795801163681 leastSigBits: -4902523241039835913 } } type: RATIS factor: THREE datanode { uuid: "91916adb-8273-4805-a186-48ec5bcd1647" ipAddress: "10.9.0.13" hostName: "ozone-om-prepare_dn3_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "91916adb-8273-4805-a186-48ec5bcd1647" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7957461575567980539 leastSigBits: -6807673606734277049 } } datanode { uuid: "f67f3089-d815-4b0e-898d-5c9c7828ed4a" ipAddress: "10.9.0.12" hostName: "ozone-om-prepare_dn2_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "f67f3089-d815-4b0e-898d-5c9c7828ed4a" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -684775249743099122 leastSigBits: -8535063891696620214 } } datanode { uuid: "9359edd3-7351-420b-802b-9d3143867570" ipAddress: "10.9.0.11" hostName: "ozone-om-prepare_dn1_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "9359edd3-7351-420b-802b-9d3143867570" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7828964984778309109 leastSigBits: -9211095777944373904 } } cmdId: 1646755980615 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "49a343f4-b959-45e8-afe4-bfdaa937a77f" uuid128 { mostSigBits: 5306159504333293032 leastSigBits: -5772277876519360641 } } type: RATIS factor: THREE datanode { uuid: "9359edd3-7351-420b-802b-9d3143867570" ipAddress: "10.9.0.11" hostName: "ozone-om-prepare_dn1_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "9359edd3-7351-420b-802b-9d3143867570" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7828964984778309109 leastSigBits: -9211095777944373904 } } datanode { uuid: "f67f3089-d815-4b0e-898d-5c9c7828ed4a" ipAddress: "10.9.0.12" hostName: "ozone-om-prepare_dn2_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "f67f3089-d815-4b0e-898d-5c9c7828ed4a" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -684775249743099122 leastSigBits: -8535063891696620214 } } datanode { uuid: "91916adb-8273-4805-a186-48ec5bcd1647" ipAddress: "10.9.0.13" hostName: "ozone-om-prepare_dn3_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "91916adb-8273-4805-a186-48ec5bcd1647" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7957461575567980539 leastSigBits: -6807673606734277049 } } cmdId: 1646755980616 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2022-03-08 16:13:02,736 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=f67f3089-d815-4b0e-898d-5c9c7828ed4a, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "19adf443-c623-48ed-98ae-4a2b92882bf8" uuid128 { mostSigBits: 1850403593843329261 leastSigBits: -7444931582994404360 } } type: RATIS factor: ONE datanode { uuid: "f67f3089-d815-4b0e-898d-5c9c7828ed4a" ipAddress: "10.9.0.12" hostName: "ozone-om-prepare_dn2_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "f67f3089-d815-4b0e-898d-5c9c7828ed4a" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -684775249743099122 leastSigBits: -8535063891696620214 } } cmdId: 1646755980612 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "53c7b7b0-df41-47a1-bbf6-bd1642b94cf7" uuid128 { mostSigBits: 6036995795801163681 leastSigBits: -4902523241039835913 } } type: RATIS factor: THREE datanode { uuid: "91916adb-8273-4805-a186-48ec5bcd1647" ipAddress: "10.9.0.13" hostName: "ozone-om-prepare_dn3_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "91916adb-8273-4805-a186-48ec5bcd1647" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7957461575567980539 leastSigBits: -6807673606734277049 } } datanode { uuid: "f67f3089-d815-4b0e-898d-5c9c7828ed4a" ipAddress: "10.9.0.12" hostName: "ozone-om-prepare_dn2_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "f67f3089-d815-4b0e-898d-5c9c7828ed4a" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -684775249743099122 leastSigBits: -8535063891696620214 } } datanode { uuid: "9359edd3-7351-420b-802b-9d3143867570" ipAddress: "10.9.0.11" hostName: "ozone-om-prepare_dn1_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "9359edd3-7351-420b-802b-9d3143867570" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7828964984778309109 leastSigBits: -9211095777944373904 } } cmdId: 1646755980615 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "49a343f4-b959-45e8-afe4-bfdaa937a77f" uuid128 { mostSigBits: 5306159504333293032 leastSigBits: -5772277876519360641 } } type: RATIS factor: THREE datanode { uuid: "9359edd3-7351-420b-802b-9d3143867570" ipAddress: "10.9.0.11" hostName: "ozone-om-prepare_dn1_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "9359edd3-7351-420b-802b-9d3143867570" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7828964984778309109 leastSigBits: -9211095777944373904 } } datanode { uuid: "f67f3089-d815-4b0e-898d-5c9c7828ed4a" ipAddress: "10.9.0.12" hostName: "ozone-om-prepare_dn2_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "f67f3089-d815-4b0e-898d-5c9c7828ed4a" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -684775249743099122 leastSigBits: -8535063891696620214 } } datanode { uuid: "91916adb-8273-4805-a186-48ec5bcd1647" ipAddress: "10.9.0.13" hostName: "ozone-om-prepare_dn3_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "91916adb-8273-4805-a186-48ec5bcd1647" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7957461575567980539 leastSigBits: -6807673606734277049 } } cmdId: 1646755980616 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2022-03-08 16:13:03,314 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=9359edd3-7351-420b-802b-9d3143867570, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "1c0b75ac-67d5-47d1-8f54-0f7be16cc78c" uuid128 { mostSigBits: 2020838241142654929 leastSigBits: -8118847203504765044 } } type: RATIS factor: ONE datanode { uuid: "9359edd3-7351-420b-802b-9d3143867570" ipAddress: "10.9.0.11" hostName: "ozone-om-prepare_dn1_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "9359edd3-7351-420b-802b-9d3143867570" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7828964984778309109 leastSigBits: -9211095777944373904 } } cmdId: 1646755980614 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "53c7b7b0-df41-47a1-bbf6-bd1642b94cf7" uuid128 { mostSigBits: 6036995795801163681 leastSigBits: -4902523241039835913 } } type: RATIS factor: THREE datanode { uuid: "91916adb-8273-4805-a186-48ec5bcd1647" ipAddress: "10.9.0.13" hostName: "ozone-om-prepare_dn3_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "91916adb-8273-4805-a186-48ec5bcd1647" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7957461575567980539 leastSigBits: -6807673606734277049 } } datanode { uuid: "f67f3089-d815-4b0e-898d-5c9c7828ed4a" ipAddress: "10.9.0.12" hostName: "ozone-om-prepare_dn2_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "f67f3089-d815-4b0e-898d-5c9c7828ed4a" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -684775249743099122 leastSigBits: -8535063891696620214 } } datanode { uuid: "9359edd3-7351-420b-802b-9d3143867570" ipAddress: "10.9.0.11" hostName: "ozone-om-prepare_dn1_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "9359edd3-7351-420b-802b-9d3143867570" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7828964984778309109 leastSigBits: -9211095777944373904 } } cmdId: 1646755980615 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "49a343f4-b959-45e8-afe4-bfdaa937a77f" uuid128 { mostSigBits: 5306159504333293032 leastSigBits: -5772277876519360641 } } type: RATIS factor: THREE datanode { uuid: "9359edd3-7351-420b-802b-9d3143867570" ipAddress: "10.9.0.11" hostName: "ozone-om-prepare_dn1_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "9359edd3-7351-420b-802b-9d3143867570" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7828964984778309109 leastSigBits: -9211095777944373904 } } datanode { uuid: "f67f3089-d815-4b0e-898d-5c9c7828ed4a" ipAddress: "10.9.0.12" hostName: "ozone-om-prepare_dn2_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "f67f3089-d815-4b0e-898d-5c9c7828ed4a" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -684775249743099122 leastSigBits: -8535063891696620214 } } datanode { uuid: "91916adb-8273-4805-a186-48ec5bcd1647" ipAddress: "10.9.0.13" hostName: "ozone-om-prepare_dn3_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "91916adb-8273-4805-a186-48ec5bcd1647" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7957461575567980539 leastSigBits: -6807673606734277049 } } cmdId: 1646755980616 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2022-03-08 16:13:03,932 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=f67f3089-d815-4b0e-898d-5c9c7828ed4a, command=[]} | ret=SUCCESS |  
2022-03-08 16:13:03,984 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=f67f3089-d815-4b0e-898d-5c9c7828ed4a, command=[]} | ret=SUCCESS |  
2022-03-08 16:13:04,068 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=91916adb-8273-4805-a186-48ec5bcd1647, command=[]} | ret=SUCCESS |  
2022-03-08 16:13:05,067 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=9359edd3-7351-420b-802b-9d3143867570, command=[]} | ret=SUCCESS |  
2022-03-08 16:13:05,093 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=9359edd3-7351-420b-802b-9d3143867570, command=[]} | ret=SUCCESS |  
