2022-03-08 16:46:20,197 | INFO  | OMAudit | user=hadoop | ip=172.22.0.6 | op=CREATE_VOLUME {admin=hadoop, owner=hadoop, volume=vol1, creationTime=1646757980036, modificationTime=1646757980036, quotaInBytes=-1, quotaInNamespace=-1, usedNamespace=0, objectID=-9223372036854775552, updateID=1} | ret=SUCCESS |  
2022-03-08 16:46:20,293 | INFO  | OMAudit | user=hadoop | ip=172.22.0.6 | op=CREATE_BUCKET {volume=vol1, bucket=bucket1, bucketLayout=FILE_SYSTEM_OPTIMIZED, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:users:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1646757980266, bucketEncryptionKey=null, modificationTime=1646757980266, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-03-08 16:46:20,802 | INFO  | OMAudit | user=hadoop | ip=172.22.0.6 | op=ALLOCATE_KEY {volume=vol1, bucket=bucket1, key=warmup/0, dataSize=10240, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-08 16:46:24,015 | INFO  | OMAudit | user=hadoop | ip=172.22.0.6 | op=COMMIT_KEY {volume=vol1, bucket=bucket1, key=warmup/0, dataSize=10240, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-08 16:46:29,924 | INFO  | OMAudit | user=hadoop | ip=172.22.0.7 | op=ALLOCATE_KEY {volume=vol1, bucket=bucket1, key=key-1.3.0, dataSize=18, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-08 16:46:31,797 | INFO  | OMAudit | user=hadoop | ip=172.22.0.7 | op=COMMIT_KEY {volume=vol1, bucket=bucket1, key=key-1.3.0, dataSize=18, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-08 16:46:35,422 | INFO  | OMAudit | user=hadoop | ip=172.22.0.7 | op=CREATE_DIRECTORY {volume=vol1, bucket=bucket1, key=dir-1.3.0, dataSize=0, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2022-03-08 16:46:38,943 | INFO  | OMAudit | user=hadoop | ip=172.22.0.7 | op=CREATE_FILE {volume=vol1, bucket=bucket1, key=dir-1.3.0/file-1.3.0._COPYING_, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-08 16:46:40,367 | INFO  | OMAudit | user=hadoop | ip=172.22.0.7 | op=COMMIT_KEY {volume=vol1, bucket=bucket1, key=dir-1.3.0/file-1.3.0._COPYING_, dataSize=18, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-08 16:46:40,604 | INFO  | OMAudit | user=hadoop | ip=172.22.0.7 | op=RENAME_KEY {volume=vol1, bucket=bucket1, dataSize=0, replicationType=RATIS, replicationFactor=ONE, srcKey=/dir-1.3.0/file-1.3.0._COPYING_, dstKey=/dir-1.3.0/file-1.3.0} | ret=SUCCESS |  
2022-03-08 16:46:58,877 | INFO  | OMAudit | user=hadoop | ip=172.22.0.7 | op=LOOKUP_FILE {volume=vol1, bucket=bucket1, key=dir-1.3.0/file-1.3.0, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2022-03-08 16:47:07,469 | INFO  | OMAudit | user=hadoop | ip=172.22.0.12 | op=ALLOCATE_KEY {volume=vol1, bucket=bucket1, key=key-1.0.0, dataSize=18, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-08 16:47:09,295 | INFO  | OMAudit | user=hadoop | ip=172.22.0.12 | op=COMMIT_KEY {volume=vol1, bucket=bucket1, key=key-1.0.0, dataSize=18, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2022-03-08 16:47:11,873 | INFO  | OMAudit | user=hadoop | ip=172.22.0.12 | op=CREATE_DIRECTORY {volume=vol1, bucket=bucket1, key=dir-1.0.0, dataSize=0, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2022-03-08 16:47:14,348 | INFO  | OMAudit | user=hadoop | ip=172.22.0.12 | op=CREATE_FILE {volume=vol1, bucket=bucket1, key=dir-1.0.0/file-1.0.0._COPYING_, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-08 16:47:15,620 | INFO  | OMAudit | user=hadoop | ip=172.22.0.12 | op=COMMIT_KEY {volume=vol1, bucket=bucket1, key=dir-1.0.0/file-1.0.0._COPYING_, dataSize=18, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2022-03-08 16:47:15,715 | INFO  | OMAudit | user=hadoop | ip=172.22.0.12 | op=RENAME_KEY {volume=vol1, bucket=bucket1, dataSize=0, replicationType=RATIS, replicationFactor=ONE, srcKey=dir-1.0.0/file-1.0.0._COPYING_, dstKey=dir-1.0.0/file-1.0.0} | ret=SUCCESS |  
2022-03-08 16:47:29,463 | INFO  | OMAudit | user=hadoop | ip=172.22.0.12 | op=LOOKUP_FILE {volume=vol1, bucket=bucket1, key=dir-1.0.0/file-1.0.0, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
