2022-03-08 16:57:32,763 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.8 | op=REGISTER {datanodeDetails=2237c271-5030-4dfe-9a77-5da3af3979f7{ip: 172.25.0.8, host: ac7ecd400e94, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-03-08 16:57:32,865 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.7 | op=REGISTER {datanodeDetails=76d0fd70-7c1c-4c5c-afde-ee24abe2909b{ip: 172.25.0.7, host: cf65dfac1a13, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-03-08 16:57:33,491 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.10 | op=REGISTER {datanodeDetails=87090eaf-fb32-4529-b0de-4ab4f9ffc6c3{ip: 172.25.0.10, host: c33de6b52ab0, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-03-08 16:57:34,693 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.8 | op=SEND_HEARTBEAT {datanodeUUID=2237c271-5030-4dfe-9a77-5da3af3979f7, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "4b602735-c677-4350-b0f9-a6b14afc20e5" uuid128 { mostSigBits: 5431384262525272912 leastSigBits: -5694336973435821851 } } type: RATIS factor: ONE datanode { uuid: "2237c271-5030-4dfe-9a77-5da3af3979f7" ipAddress: "172.25.0.8" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "2237c271-5030-4dfe-9a77-5da3af3979f7" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 2465653112941071870 leastSigBits: -7316276112039249417 } } cmdId: 1646758652820 priority: 1 } term: -1 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "759d1a0e-c1bb-4380-9907-ff06c9dc651c" uuid128 { mostSigBits: 8474958724463281024 leastSigBits: -7419681456448051940 } } type: RATIS factor: THREE datanode { uuid: "2237c271-5030-4dfe-9a77-5da3af3979f7" ipAddress: "172.25.0.8" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "2237c271-5030-4dfe-9a77-5da3af3979f7" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 2465653112941071870 leastSigBits: -7316276112039249417 } } datanode { uuid: "87090eaf-fb32-4529-b0de-4ab4f9ffc6c3" ipAddress: "172.25.0.10" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "87090eaf-fb32-4529-b0de-4ab4f9ffc6c3" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -8716419454802442967 leastSigBits: -5702037937055611197 } } datanode { uuid: "76d0fd70-7c1c-4c5c-afde-ee24abe2909b" ipAddress: "172.25.0.7" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "76d0fd70-7c1c-4c5c-afde-ee24abe2909b" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 8561621551191706716 leastSigBits: -5773915830972411749 } } cmdId: 1646758652823 priority: 1 priority: 0 priority: 0 } term: -1 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "8bee6f07-526b-4dcb-aa4c-a18cb6f659b4" uuid128 { mostSigBits: -8363625380742214197 leastSigBits: -6175383363294701132 } } type: RATIS factor: THREE datanode { uuid: "76d0fd70-7c1c-4c5c-afde-ee24abe2909b" ipAddress: "172.25.0.7" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "76d0fd70-7c1c-4c5c-afde-ee24abe2909b" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 8561621551191706716 leastSigBits: -5773915830972411749 } } datanode { uuid: "87090eaf-fb32-4529-b0de-4ab4f9ffc6c3" ipAddress: "172.25.0.10" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "87090eaf-fb32-4529-b0de-4ab4f9ffc6c3" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -8716419454802442967 leastSigBits: -5702037937055611197 } } datanode { uuid: "2237c271-5030-4dfe-9a77-5da3af3979f7" ipAddress: "172.25.0.8" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "2237c271-5030-4dfe-9a77-5da3af3979f7" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 2465653112941071870 leastSigBits: -7316276112039249417 } } cmdId: 1646758652824 priority: 1 priority: 0 priority: 0 } term: -1 encodedToken: "" ]} | ret=SUCCESS |  
2022-03-08 16:57:34,817 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.7 | op=SEND_HEARTBEAT {datanodeUUID=76d0fd70-7c1c-4c5c-afde-ee24abe2909b, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "97788542-0450-47f1-b763-5685ab03fe85" uuid128 { mostSigBits: -7532123858190448655 leastSigBits: -5232243209974579579 } } type: RATIS factor: ONE datanode { uuid: "76d0fd70-7c1c-4c5c-afde-ee24abe2909b" ipAddress: "172.25.0.7" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "76d0fd70-7c1c-4c5c-afde-ee24abe2909b" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 8561621551191706716 leastSigBits: -5773915830972411749 } } cmdId: 1646758652821 priority: 1 } term: -1 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "759d1a0e-c1bb-4380-9907-ff06c9dc651c" uuid128 { mostSigBits: 8474958724463281024 leastSigBits: -7419681456448051940 } } type: RATIS factor: THREE datanode { uuid: "2237c271-5030-4dfe-9a77-5da3af3979f7" ipAddress: "172.25.0.8" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "2237c271-5030-4dfe-9a77-5da3af3979f7" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 2465653112941071870 leastSigBits: -7316276112039249417 } } datanode { uuid: "87090eaf-fb32-4529-b0de-4ab4f9ffc6c3" ipAddress: "172.25.0.10" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "87090eaf-fb32-4529-b0de-4ab4f9ffc6c3" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -8716419454802442967 leastSigBits: -5702037937055611197 } } datanode { uuid: "76d0fd70-7c1c-4c5c-afde-ee24abe2909b" ipAddress: "172.25.0.7" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "76d0fd70-7c1c-4c5c-afde-ee24abe2909b" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 8561621551191706716 leastSigBits: -5773915830972411749 } } cmdId: 1646758652823 priority: 1 priority: 0 priority: 0 } term: -1 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "8bee6f07-526b-4dcb-aa4c-a18cb6f659b4" uuid128 { mostSigBits: -8363625380742214197 leastSigBits: -6175383363294701132 } } type: RATIS factor: THREE datanode { uuid: "76d0fd70-7c1c-4c5c-afde-ee24abe2909b" ipAddress: "172.25.0.7" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "76d0fd70-7c1c-4c5c-afde-ee24abe2909b" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 8561621551191706716 leastSigBits: -5773915830972411749 } } datanode { uuid: "87090eaf-fb32-4529-b0de-4ab4f9ffc6c3" ipAddress: "172.25.0.10" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "87090eaf-fb32-4529-b0de-4ab4f9ffc6c3" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -8716419454802442967 leastSigBits: -5702037937055611197 } } datanode { uuid: "2237c271-5030-4dfe-9a77-5da3af3979f7" ipAddress: "172.25.0.8" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "2237c271-5030-4dfe-9a77-5da3af3979f7" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 2465653112941071870 leastSigBits: -7316276112039249417 } } cmdId: 1646758652824 priority: 1 priority: 0 priority: 0 } term: -1 encodedToken: "" ]} | ret=SUCCESS |  
2022-03-08 16:57:35,508 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.10 | op=SEND_HEARTBEAT {datanodeUUID=87090eaf-fb32-4529-b0de-4ab4f9ffc6c3, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "3a0dc7ab-18dc-479d-beaf-c603e0d12981" uuid128 { mostSigBits: 4183219166567483293 leastSigBits: -4706325365619873407 } } type: RATIS factor: ONE datanode { uuid: "87090eaf-fb32-4529-b0de-4ab4f9ffc6c3" ipAddress: "172.25.0.10" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "87090eaf-fb32-4529-b0de-4ab4f9ffc6c3" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -8716419454802442967 leastSigBits: -5702037937055611197 } } cmdId: 1646758652822 priority: 1 } term: -1 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "759d1a0e-c1bb-4380-9907-ff06c9dc651c" uuid128 { mostSigBits: 8474958724463281024 leastSigBits: -7419681456448051940 } } type: RATIS factor: THREE datanode { uuid: "2237c271-5030-4dfe-9a77-5da3af3979f7" ipAddress: "172.25.0.8" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "2237c271-5030-4dfe-9a77-5da3af3979f7" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 2465653112941071870 leastSigBits: -7316276112039249417 } } datanode { uuid: "87090eaf-fb32-4529-b0de-4ab4f9ffc6c3" ipAddress: "172.25.0.10" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "87090eaf-fb32-4529-b0de-4ab4f9ffc6c3" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -8716419454802442967 leastSigBits: -5702037937055611197 } } datanode { uuid: "76d0fd70-7c1c-4c5c-afde-ee24abe2909b" ipAddress: "172.25.0.7" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "76d0fd70-7c1c-4c5c-afde-ee24abe2909b" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 8561621551191706716 leastSigBits: -5773915830972411749 } } cmdId: 1646758652823 priority: 1 priority: 0 priority: 0 } term: -1 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "8bee6f07-526b-4dcb-aa4c-a18cb6f659b4" uuid128 { mostSigBits: -8363625380742214197 leastSigBits: -6175383363294701132 } } type: RATIS factor: THREE datanode { uuid: "76d0fd70-7c1c-4c5c-afde-ee24abe2909b" ipAddress: "172.25.0.7" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "76d0fd70-7c1c-4c5c-afde-ee24abe2909b" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 8561621551191706716 leastSigBits: -5773915830972411749 } } datanode { uuid: "87090eaf-fb32-4529-b0de-4ab4f9ffc6c3" ipAddress: "172.25.0.10" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "87090eaf-fb32-4529-b0de-4ab4f9ffc6c3" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -8716419454802442967 leastSigBits: -5702037937055611197 } } datanode { uuid: "2237c271-5030-4dfe-9a77-5da3af3979f7" ipAddress: "172.25.0.8" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "2237c271-5030-4dfe-9a77-5da3af3979f7" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 2465653112941071870 leastSigBits: -7316276112039249417 } } cmdId: 1646758652824 priority: 1 priority: 0 priority: 0 } term: -1 encodedToken: "" ]} | ret=SUCCESS |  
2022-03-08 16:57:35,767 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.8 | op=SEND_HEARTBEAT {datanodeUUID=2237c271-5030-4dfe-9a77-5da3af3979f7, command=[]} | ret=SUCCESS |  
2022-03-08 16:57:36,132 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.7 | op=SEND_HEARTBEAT {datanodeUUID=76d0fd70-7c1c-4c5c-afde-ee24abe2909b, command=[]} | ret=SUCCESS |  
2022-03-08 16:57:36,305 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.8 | op=SEND_HEARTBEAT {datanodeUUID=2237c271-5030-4dfe-9a77-5da3af3979f7, command=[]} | ret=SUCCESS |  
2022-03-08 16:57:36,577 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.7 | op=SEND_HEARTBEAT {datanodeUUID=76d0fd70-7c1c-4c5c-afde-ee24abe2909b, command=[]} | ret=SUCCESS |  
2022-03-08 16:57:36,754 | INFO  | SCMAudit | user=hadoop | ip=172.25.0.10 | op=SEND_HEARTBEAT {datanodeUUID=87090eaf-fb32-4529-b0de-4ab4f9ffc6c3, command=[]} | ret=SUCCESS |  
