2022-03-12 01:03:38,493 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.6 | op=REGISTER {datanodeDetails=ea1c3dc6-7f2b-4268-a46a-1ae7050f58f4{ip: 172.19.0.6, host: c9f504a0fa61, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-03-12 01:03:38,495 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.7 | op=REGISTER {datanodeDetails=de7dd026-c4f8-4975-8df5-323af34ff2b4{ip: 172.19.0.7, host: 0d5e3c75f86d, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-03-12 01:03:38,670 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.4 | op=REGISTER {datanodeDetails=946fe976-d63d-469b-b331-624e67c61521{ip: 172.19.0.4, host: 85e0242e75ab, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-03-12 01:03:40,809 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.6 | op=SEND_HEARTBEAT {datanodeUUID=ea1c3dc6-7f2b-4268-a46a-1ae7050f58f4, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "286a5b72-c3e1-4102-a630-7c37d2cf6653" uuid128 { mostSigBits: 2912240657519165698 leastSigBits: -6471536085329549741 } } type: RATIS factor: ONE datanode { uuid: "ea1c3dc6-7f2b-4268-a46a-1ae7050f58f4" ipAddress: "172.19.0.6" hostName: "ozone-csi_datanode_1.ozone-csi_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "ea1c3dc6-7f2b-4268-a46a-1ae7050f58f4" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1577317846740155800 leastSigBits: -6599432724433381132 } } cmdId: 1647047018480 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "4634e7a7-72fa-4181-a012-854d85be76a0" uuid128 { mostSigBits: 5058922987818467713 leastSigBits: -6912315910057462112 } } type: RATIS factor: THREE datanode { uuid: "de7dd026-c4f8-4975-8df5-323af34ff2b4" ipAddress: "172.19.0.7" hostName: "ozone-csi_datanode_3.ozone-csi_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "de7dd026-c4f8-4975-8df5-323af34ff2b4" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -2414544960268777099 leastSigBits: -8217606716296006988 } } datanode { uuid: "946fe976-d63d-469b-b331-624e67c61521" ipAddress: "172.19.0.4" hostName: "ozone-csi_datanode_2.ozone-csi_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "946fe976-d63d-469b-b331-624e67c61521" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7750719737071581541 leastSigBits: -5534534378173623007 } } datanode { uuid: "ea1c3dc6-7f2b-4268-a46a-1ae7050f58f4" ipAddress: "172.19.0.6" hostName: "ozone-csi_datanode_1.ozone-csi_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "ea1c3dc6-7f2b-4268-a46a-1ae7050f58f4" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1577317846740155800 leastSigBits: -6599432724433381132 } } cmdId: 1647047018481 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "f36ca0c7-178a-4d7c-a397-eedd29e03b65" uuid128 { mostSigBits: -906172648054436484 leastSigBits: -6658590890386244763 } } type: RATIS factor: THREE datanode { uuid: "946fe976-d63d-469b-b331-624e67c61521" ipAddress: "172.19.0.4" hostName: "ozone-csi_datanode_2.ozone-csi_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "946fe976-d63d-469b-b331-624e67c61521" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7750719737071581541 leastSigBits: -5534534378173623007 } } datanode { uuid: "ea1c3dc6-7f2b-4268-a46a-1ae7050f58f4" ipAddress: "172.19.0.6" hostName: "ozone-csi_datanode_1.ozone-csi_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "ea1c3dc6-7f2b-4268-a46a-1ae7050f58f4" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1577317846740155800 leastSigBits: -6599432724433381132 } } datanode { uuid: "de7dd026-c4f8-4975-8df5-323af34ff2b4" ipAddress: "172.19.0.7" hostName: "ozone-csi_datanode_3.ozone-csi_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "de7dd026-c4f8-4975-8df5-323af34ff2b4" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -2414544960268777099 leastSigBits: -8217606716296006988 } } cmdId: 1647047018483 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2022-03-12 01:03:40,832 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.7 | op=SEND_HEARTBEAT {datanodeUUID=de7dd026-c4f8-4975-8df5-323af34ff2b4, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "4634e7a7-72fa-4181-a012-854d85be76a0" uuid128 { mostSigBits: 5058922987818467713 leastSigBits: -6912315910057462112 } } type: RATIS factor: THREE datanode { uuid: "de7dd026-c4f8-4975-8df5-323af34ff2b4" ipAddress: "172.19.0.7" hostName: "ozone-csi_datanode_3.ozone-csi_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "de7dd026-c4f8-4975-8df5-323af34ff2b4" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -2414544960268777099 leastSigBits: -8217606716296006988 } } datanode { uuid: "946fe976-d63d-469b-b331-624e67c61521" ipAddress: "172.19.0.4" hostName: "ozone-csi_datanode_2.ozone-csi_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "946fe976-d63d-469b-b331-624e67c61521" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7750719737071581541 leastSigBits: -5534534378173623007 } } datanode { uuid: "ea1c3dc6-7f2b-4268-a46a-1ae7050f58f4" ipAddress: "172.19.0.6" hostName: "ozone-csi_datanode_1.ozone-csi_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "ea1c3dc6-7f2b-4268-a46a-1ae7050f58f4" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1577317846740155800 leastSigBits: -6599432724433381132 } } cmdId: 1647047018481 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "198b765b-e7dd-474c-8e2f-8907bb570054" uuid128 { mostSigBits: 1840695009815119692 leastSigBits: -8201185730117566380 } } type: RATIS factor: ONE datanode { uuid: "de7dd026-c4f8-4975-8df5-323af34ff2b4" ipAddress: "172.19.0.7" hostName: "ozone-csi_datanode_3.ozone-csi_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "de7dd026-c4f8-4975-8df5-323af34ff2b4" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -2414544960268777099 leastSigBits: -8217606716296006988 } } cmdId: 1647047018482 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "f36ca0c7-178a-4d7c-a397-eedd29e03b65" uuid128 { mostSigBits: -906172648054436484 leastSigBits: -6658590890386244763 } } type: RATIS factor: THREE datanode { uuid: "946fe976-d63d-469b-b331-624e67c61521" ipAddress: "172.19.0.4" hostName: "ozone-csi_datanode_2.ozone-csi_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "946fe976-d63d-469b-b331-624e67c61521" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7750719737071581541 leastSigBits: -5534534378173623007 } } datanode { uuid: "ea1c3dc6-7f2b-4268-a46a-1ae7050f58f4" ipAddress: "172.19.0.6" hostName: "ozone-csi_datanode_1.ozone-csi_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "ea1c3dc6-7f2b-4268-a46a-1ae7050f58f4" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1577317846740155800 leastSigBits: -6599432724433381132 } } datanode { uuid: "de7dd026-c4f8-4975-8df5-323af34ff2b4" ipAddress: "172.19.0.7" hostName: "ozone-csi_datanode_3.ozone-csi_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "de7dd026-c4f8-4975-8df5-323af34ff2b4" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -2414544960268777099 leastSigBits: -8217606716296006988 } } cmdId: 1647047018483 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2022-03-12 01:03:40,846 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.4 | op=SEND_HEARTBEAT {datanodeUUID=946fe976-d63d-469b-b331-624e67c61521, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "4634e7a7-72fa-4181-a012-854d85be76a0" uuid128 { mostSigBits: 5058922987818467713 leastSigBits: -6912315910057462112 } } type: RATIS factor: THREE datanode { uuid: "de7dd026-c4f8-4975-8df5-323af34ff2b4" ipAddress: "172.19.0.7" hostName: "ozone-csi_datanode_3.ozone-csi_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "de7dd026-c4f8-4975-8df5-323af34ff2b4" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -2414544960268777099 leastSigBits: -8217606716296006988 } } datanode { uuid: "946fe976-d63d-469b-b331-624e67c61521" ipAddress: "172.19.0.4" hostName: "ozone-csi_datanode_2.ozone-csi_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "946fe976-d63d-469b-b331-624e67c61521" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7750719737071581541 leastSigBits: -5534534378173623007 } } datanode { uuid: "ea1c3dc6-7f2b-4268-a46a-1ae7050f58f4" ipAddress: "172.19.0.6" hostName: "ozone-csi_datanode_1.ozone-csi_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "ea1c3dc6-7f2b-4268-a46a-1ae7050f58f4" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1577317846740155800 leastSigBits: -6599432724433381132 } } cmdId: 1647047018481 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "f36ca0c7-178a-4d7c-a397-eedd29e03b65" uuid128 { mostSigBits: -906172648054436484 leastSigBits: -6658590890386244763 } } type: RATIS factor: THREE datanode { uuid: "946fe976-d63d-469b-b331-624e67c61521" ipAddress: "172.19.0.4" hostName: "ozone-csi_datanode_2.ozone-csi_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "946fe976-d63d-469b-b331-624e67c61521" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7750719737071581541 leastSigBits: -5534534378173623007 } } datanode { uuid: "ea1c3dc6-7f2b-4268-a46a-1ae7050f58f4" ipAddress: "172.19.0.6" hostName: "ozone-csi_datanode_1.ozone-csi_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "ea1c3dc6-7f2b-4268-a46a-1ae7050f58f4" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1577317846740155800 leastSigBits: -6599432724433381132 } } datanode { uuid: "de7dd026-c4f8-4975-8df5-323af34ff2b4" ipAddress: "172.19.0.7" hostName: "ozone-csi_datanode_3.ozone-csi_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "de7dd026-c4f8-4975-8df5-323af34ff2b4" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -2414544960268777099 leastSigBits: -8217606716296006988 } } cmdId: 1647047018483 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "0c5710ea-898e-4980-9940-2ccd4d477ebf" uuid128 { mostSigBits: 889198050945157504 leastSigBits: -7403868527120646465 } } type: RATIS factor: ONE datanode { uuid: "946fe976-d63d-469b-b331-624e67c61521" ipAddress: "172.19.0.4" hostName: "ozone-csi_datanode_2.ozone-csi_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "946fe976-d63d-469b-b331-624e67c61521" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7750719737071581541 leastSigBits: -5534534378173623007 } } cmdId: 1647047018484 priority: 1 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2022-03-12 01:03:41,961 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.6 | op=SEND_HEARTBEAT {datanodeUUID=ea1c3dc6-7f2b-4268-a46a-1ae7050f58f4, command=[]} | ret=SUCCESS |  
2022-03-12 01:03:41,988 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.6 | op=SEND_HEARTBEAT {datanodeUUID=ea1c3dc6-7f2b-4268-a46a-1ae7050f58f4, command=[]} | ret=SUCCESS |  
2022-03-12 01:03:41,997 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.7 | op=SEND_HEARTBEAT {datanodeUUID=de7dd026-c4f8-4975-8df5-323af34ff2b4, command=[]} | ret=SUCCESS |  
2022-03-12 01:03:42,092 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.4 | op=SEND_HEARTBEAT {datanodeUUID=946fe976-d63d-469b-b331-624e67c61521, command=[]} | ret=SUCCESS |  
2022-03-12 01:03:42,621 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.6 | op=SEND_HEARTBEAT {datanodeUUID=ea1c3dc6-7f2b-4268-a46a-1ae7050f58f4, command=[]} | ret=SUCCESS |  
