2022-03-12 01:04:56,714 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=REGISTER {datanodeDetails=e9b1c890-758c-4f60-a4c2-d8466b88eb6a{ip: 10.9.0.12, host: 97b1da5e711d, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-03-12 01:04:56,933 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=REGISTER {datanodeDetails=3cebde26-3386-4786-95c4-6a18f197146f{ip: 10.9.0.11, host: 74204d6b9d2e, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-03-12 01:04:57,284 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=REGISTER {datanodeDetails=0427aa14-60a6-4ad9-9084-5492e727bb3d{ip: 10.9.0.13, host: 58436c79510d, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-03-12 01:04:58,648 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=e9b1c890-758c-4f60-a4c2-d8466b88eb6a, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "0cd47ca1-b8a6-41a2-99d0-0e19aee7d588" uuid128 { mostSigBits: 924500857547276706 leastSigBits: -7363369887279360632 } } type: RATIS factor: ONE datanode { uuid: "e9b1c890-758c-4f60-a4c2-d8466b88eb6a" ipAddress: "10.9.0.12" hostName: "ozone-om-prepare_dn2_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "e9b1c890-758c-4f60-a4c2-d8466b88eb6a" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1607283069221580960 leastSigBits: -6574454709044057238 } } cmdId: 1647047096618 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "d4d385ce-f514-48b1-bed0-adbfa4c37bc3" uuid128 { mostSigBits: -3110995793661376335 leastSigBits: -4697063372732793917 } } type: RATIS factor: THREE datanode { uuid: "3cebde26-3386-4786-95c4-6a18f197146f" ipAddress: "10.9.0.11" hostName: "ozone-om-prepare_dn1_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "3cebde26-3386-4786-95c4-6a18f197146f" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 4389846517457241990 leastSigBits: -7654876811258030993 } } datanode { uuid: "e9b1c890-758c-4f60-a4c2-d8466b88eb6a" ipAddress: "10.9.0.12" hostName: "ozone-om-prepare_dn2_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "e9b1c890-758c-4f60-a4c2-d8466b88eb6a" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1607283069221580960 leastSigBits: -6574454709044057238 } } datanode { uuid: "0427aa14-60a6-4ad9-9084-5492e727bb3d" ipAddress: "10.9.0.13" hostName: "ozone-om-prepare_dn3_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "0427aa14-60a6-4ad9-9084-5492e727bb3d" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 299394904741006041 leastSigBits: -8033202845402023107 } } cmdId: 1647047096619 priority: 0 priority: 0 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "4aadf85d-81f0-4272-8310-0759e9fbe7e0" uuid128 { mostSigBits: 5381230210273264242 leastSigBits: -9002687572354537504 } } type: RATIS factor: THREE datanode { uuid: "3cebde26-3386-4786-95c4-6a18f197146f" ipAddress: "10.9.0.11" hostName: "ozone-om-prepare_dn1_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "3cebde26-3386-4786-95c4-6a18f197146f" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 4389846517457241990 leastSigBits: -7654876811258030993 } } datanode { uuid: "0427aa14-60a6-4ad9-9084-5492e727bb3d" ipAddress: "10.9.0.13" hostName: "ozone-om-prepare_dn3_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "0427aa14-60a6-4ad9-9084-5492e727bb3d" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 299394904741006041 leastSigBits: -8033202845402023107 } } datanode { uuid: "e9b1c890-758c-4f60-a4c2-d8466b88eb6a" ipAddress: "10.9.0.12" hostName: "ozone-om-prepare_dn2_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "e9b1c890-758c-4f60-a4c2-d8466b88eb6a" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1607283069221580960 leastSigBits: -6574454709044057238 } } cmdId: 1647047096621 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2022-03-12 01:04:58,848 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=3cebde26-3386-4786-95c4-6a18f197146f, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "d4d385ce-f514-48b1-bed0-adbfa4c37bc3" uuid128 { mostSigBits: -3110995793661376335 leastSigBits: -4697063372732793917 } } type: RATIS factor: THREE datanode { uuid: "3cebde26-3386-4786-95c4-6a18f197146f" ipAddress: "10.9.0.11" hostName: "ozone-om-prepare_dn1_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "3cebde26-3386-4786-95c4-6a18f197146f" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 4389846517457241990 leastSigBits: -7654876811258030993 } } datanode { uuid: "e9b1c890-758c-4f60-a4c2-d8466b88eb6a" ipAddress: "10.9.0.12" hostName: "ozone-om-prepare_dn2_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "e9b1c890-758c-4f60-a4c2-d8466b88eb6a" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1607283069221580960 leastSigBits: -6574454709044057238 } } datanode { uuid: "0427aa14-60a6-4ad9-9084-5492e727bb3d" ipAddress: "10.9.0.13" hostName: "ozone-om-prepare_dn3_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "0427aa14-60a6-4ad9-9084-5492e727bb3d" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 299394904741006041 leastSigBits: -8033202845402023107 } } cmdId: 1647047096619 priority: 0 priority: 0 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "4aadf85d-81f0-4272-8310-0759e9fbe7e0" uuid128 { mostSigBits: 5381230210273264242 leastSigBits: -9002687572354537504 } } type: RATIS factor: THREE datanode { uuid: "3cebde26-3386-4786-95c4-6a18f197146f" ipAddress: "10.9.0.11" hostName: "ozone-om-prepare_dn1_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "3cebde26-3386-4786-95c4-6a18f197146f" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 4389846517457241990 leastSigBits: -7654876811258030993 } } datanode { uuid: "0427aa14-60a6-4ad9-9084-5492e727bb3d" ipAddress: "10.9.0.13" hostName: "ozone-om-prepare_dn3_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "0427aa14-60a6-4ad9-9084-5492e727bb3d" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 299394904741006041 leastSigBits: -8033202845402023107 } } datanode { uuid: "e9b1c890-758c-4f60-a4c2-d8466b88eb6a" ipAddress: "10.9.0.12" hostName: "ozone-om-prepare_dn2_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "e9b1c890-758c-4f60-a4c2-d8466b88eb6a" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1607283069221580960 leastSigBits: -6574454709044057238 } } cmdId: 1647047096621 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "f9d5988c-573b-404f-b124-cce55f6510c9" uuid128 { mostSigBits: -444281259699781553 leastSigBits: -5682191544314687287 } } type: RATIS factor: ONE datanode { uuid: "3cebde26-3386-4786-95c4-6a18f197146f" ipAddress: "10.9.0.11" hostName: "ozone-om-prepare_dn1_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "3cebde26-3386-4786-95c4-6a18f197146f" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 4389846517457241990 leastSigBits: -7654876811258030993 } } cmdId: 1647047096622 priority: 1 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2022-03-12 01:04:59,234 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=0427aa14-60a6-4ad9-9084-5492e727bb3d, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "d4d385ce-f514-48b1-bed0-adbfa4c37bc3" uuid128 { mostSigBits: -3110995793661376335 leastSigBits: -4697063372732793917 } } type: RATIS factor: THREE datanode { uuid: "3cebde26-3386-4786-95c4-6a18f197146f" ipAddress: "10.9.0.11" hostName: "ozone-om-prepare_dn1_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "3cebde26-3386-4786-95c4-6a18f197146f" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 4389846517457241990 leastSigBits: -7654876811258030993 } } datanode { uuid: "e9b1c890-758c-4f60-a4c2-d8466b88eb6a" ipAddress: "10.9.0.12" hostName: "ozone-om-prepare_dn2_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "e9b1c890-758c-4f60-a4c2-d8466b88eb6a" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1607283069221580960 leastSigBits: -6574454709044057238 } } datanode { uuid: "0427aa14-60a6-4ad9-9084-5492e727bb3d" ipAddress: "10.9.0.13" hostName: "ozone-om-prepare_dn3_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "0427aa14-60a6-4ad9-9084-5492e727bb3d" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 299394904741006041 leastSigBits: -8033202845402023107 } } cmdId: 1647047096619 priority: 0 priority: 0 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "acc5d730-e4dd-43cd-a957-5fd02b82763e" uuid128 { mostSigBits: -5997150723775839283 leastSigBits: -6244417010638096834 } } type: RATIS factor: ONE datanode { uuid: "0427aa14-60a6-4ad9-9084-5492e727bb3d" ipAddress: "10.9.0.13" hostName: "ozone-om-prepare_dn3_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "0427aa14-60a6-4ad9-9084-5492e727bb3d" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 299394904741006041 leastSigBits: -8033202845402023107 } } cmdId: 1647047096620 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "4aadf85d-81f0-4272-8310-0759e9fbe7e0" uuid128 { mostSigBits: 5381230210273264242 leastSigBits: -9002687572354537504 } } type: RATIS factor: THREE datanode { uuid: "3cebde26-3386-4786-95c4-6a18f197146f" ipAddress: "10.9.0.11" hostName: "ozone-om-prepare_dn1_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "3cebde26-3386-4786-95c4-6a18f197146f" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 4389846517457241990 leastSigBits: -7654876811258030993 } } datanode { uuid: "0427aa14-60a6-4ad9-9084-5492e727bb3d" ipAddress: "10.9.0.13" hostName: "ozone-om-prepare_dn3_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "0427aa14-60a6-4ad9-9084-5492e727bb3d" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 299394904741006041 leastSigBits: -8033202845402023107 } } datanode { uuid: "e9b1c890-758c-4f60-a4c2-d8466b88eb6a" ipAddress: "10.9.0.12" hostName: "ozone-om-prepare_dn2_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "e9b1c890-758c-4f60-a4c2-d8466b88eb6a" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1607283069221580960 leastSigBits: -6574454709044057238 } } cmdId: 1647047096621 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2022-03-12 01:04:59,761 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=e9b1c890-758c-4f60-a4c2-d8466b88eb6a, command=[]} | ret=SUCCESS |  
2022-03-12 01:05:00,642 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=3cebde26-3386-4786-95c4-6a18f197146f, command=[]} | ret=SUCCESS |  
2022-03-12 01:05:00,869 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=e9b1c890-758c-4f60-a4c2-d8466b88eb6a, command=[]} | ret=SUCCESS |  
2022-03-12 01:05:00,908 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=e9b1c890-758c-4f60-a4c2-d8466b88eb6a, command=[]} | ret=SUCCESS |  
2022-03-12 01:05:00,971 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=0427aa14-60a6-4ad9-9084-5492e727bb3d, command=[]} | ret=SUCCESS |  
