2022-03-17 13:05:27,572 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=REGISTER {datanodeDetails=396acf04-2671-4540-8e64-abded7a4e304{ip: 172.18.0.9, host: 7ff1d7ce5a9f, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-03-17 13:05:28,418 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=REGISTER {datanodeDetails=90947101-6469-48de-9d0d-98fe230907f3{ip: 172.18.0.10, host: 43091477ebb4, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-03-17 13:05:28,509 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=REGISTER {datanodeDetails=f11e8ea7-ad19-48ce-ad23-24de03b11b6e{ip: 172.18.0.4, host: d1c1e9db9c0a, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-03-17 13:05:29,555 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=396acf04-2671-4540-8e64-abded7a4e304, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "f55d6db6-64a4-4a0e-93f4-58b27752bacf" uuid128 { mostSigBits: -766335731443152370 leastSigBits: -7785500332287411505 } } type: RATIS factor: ONE datanode { uuid: "396acf04-2671-4540-8e64-abded7a4e304" ipAddress: "172.18.0.9" hostName: "ozone-ha_datanode_1.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "396acf04-2671-4540-8e64-abded7a4e304" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 4137346824424998208 leastSigBits: -8186229249063722236 } } cmdId: 1647522327573 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "c8287f95-d154-4d79-a280-2cf908897c2d" uuid128 { mostSigBits: -4023825985616720519 leastSigBits: -6737335594444555219 } } type: RATIS factor: THREE datanode { uuid: "90947101-6469-48de-9d0d-98fe230907f3" ipAddress: "172.18.0.10" hostName: "ozone-ha_datanode_3.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "90947101-6469-48de-9d0d-98fe230907f3" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -8028667984901224226 leastSigBits: -7129874417780717581 } } datanode { uuid: "f11e8ea7-ad19-48ce-ad23-24de03b11b6e" ipAddress: "172.18.0.4" hostName: "ozone-ha_datanode_2.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "f11e8ea7-ad19-48ce-ad23-24de03b11b6e" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1072262810452801330 leastSigBits: -5970888144999867538 } } datanode { uuid: "396acf04-2671-4540-8e64-abded7a4e304" ipAddress: "172.18.0.9" hostName: "ozone-ha_datanode_1.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "396acf04-2671-4540-8e64-abded7a4e304" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 4137346824424998208 leastSigBits: -8186229249063722236 } } cmdId: 1647522327576 priority: 0 priority: 0 priority: 1 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2022-03-17 13:05:30,421 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=90947101-6469-48de-9d0d-98fe230907f3, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "202d5c88-811d-40c3-9006-ed670cc646dc" uuid128 { mostSigBits: 2318611124517159107 leastSigBits: -8068500655535929636 } } type: RATIS factor: ONE datanode { uuid: "90947101-6469-48de-9d0d-98fe230907f3" ipAddress: "172.18.0.10" hostName: "ozone-ha_datanode_3.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "90947101-6469-48de-9d0d-98fe230907f3" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -8028667984901224226 leastSigBits: -7129874417780717581 } } cmdId: 1647522327574 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "c8287f95-d154-4d79-a280-2cf908897c2d" uuid128 { mostSigBits: -4023825985616720519 leastSigBits: -6737335594444555219 } } type: RATIS factor: THREE datanode { uuid: "90947101-6469-48de-9d0d-98fe230907f3" ipAddress: "172.18.0.10" hostName: "ozone-ha_datanode_3.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "90947101-6469-48de-9d0d-98fe230907f3" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -8028667984901224226 leastSigBits: -7129874417780717581 } } datanode { uuid: "f11e8ea7-ad19-48ce-ad23-24de03b11b6e" ipAddress: "172.18.0.4" hostName: "ozone-ha_datanode_2.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "f11e8ea7-ad19-48ce-ad23-24de03b11b6e" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1072262810452801330 leastSigBits: -5970888144999867538 } } datanode { uuid: "396acf04-2671-4540-8e64-abded7a4e304" ipAddress: "172.18.0.9" hostName: "ozone-ha_datanode_1.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "396acf04-2671-4540-8e64-abded7a4e304" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 4137346824424998208 leastSigBits: -8186229249063722236 } } cmdId: 1647522327576 priority: 0 priority: 0 priority: 1 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2022-03-17 13:05:30,512 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=f11e8ea7-ad19-48ce-ad23-24de03b11b6e, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "e8d84198-addc-456a-9ad1-5925d35c6574" uuid128 { mostSigBits: -1668511537933040278 leastSigBits: -7290948302741412492 } } type: RATIS factor: ONE datanode { uuid: "f11e8ea7-ad19-48ce-ad23-24de03b11b6e" ipAddress: "172.18.0.4" hostName: "ozone-ha_datanode_2.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "f11e8ea7-ad19-48ce-ad23-24de03b11b6e" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1072262810452801330 leastSigBits: -5970888144999867538 } } cmdId: 1647522327575 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "c8287f95-d154-4d79-a280-2cf908897c2d" uuid128 { mostSigBits: -4023825985616720519 leastSigBits: -6737335594444555219 } } type: RATIS factor: THREE datanode { uuid: "90947101-6469-48de-9d0d-98fe230907f3" ipAddress: "172.18.0.10" hostName: "ozone-ha_datanode_3.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "90947101-6469-48de-9d0d-98fe230907f3" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -8028667984901224226 leastSigBits: -7129874417780717581 } } datanode { uuid: "f11e8ea7-ad19-48ce-ad23-24de03b11b6e" ipAddress: "172.18.0.4" hostName: "ozone-ha_datanode_2.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "f11e8ea7-ad19-48ce-ad23-24de03b11b6e" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1072262810452801330 leastSigBits: -5970888144999867538 } } datanode { uuid: "396acf04-2671-4540-8e64-abded7a4e304" ipAddress: "172.18.0.9" hostName: "ozone-ha_datanode_1.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "396acf04-2671-4540-8e64-abded7a4e304" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 4137346824424998208 leastSigBits: -8186229249063722236 } } cmdId: 1647522327576 priority: 0 priority: 0 priority: 1 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2022-03-17 13:05:59,515 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=396acf04-2671-4540-8e64-abded7a4e304, command=[]} | ret=SUCCESS |  
2022-03-17 13:06:00,438 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=90947101-6469-48de-9d0d-98fe230907f3, command=[]} | ret=SUCCESS |  
2022-03-17 13:06:00,531 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=f11e8ea7-ad19-48ce-ad23-24de03b11b6e, command=[]} | ret=SUCCESS |  
2022-03-17 13:06:01,006 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=396acf04-2671-4540-8e64-abded7a4e304, command=[]} | ret=SUCCESS |  
2022-03-17 13:06:01,869 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=90947101-6469-48de-9d0d-98fe230907f3, command=[]} | ret=SUCCESS |  
