2022-03-22 02:00:42,034 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=REGISTER {datanodeDetails=4de9d572-3cb1-4369-a9a0-6a49b8a166ec{ip: 172.25.0.103, host: 6a98c8ead412, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 998315288306, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-03-22 02:00:42,079 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=REGISTER {datanodeDetails=b83a4509-6792-45d7-8071-046d349c7389{ip: 172.25.0.104, host: ozonesecure-ha_datanode3_1.ozonesecure-ha_ozone_net, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 995942213023, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-03-22 02:00:43,318 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=4de9d572-3cb1-4369-a9a0-6a49b8a166ec, command=[]} | ret=SUCCESS |  
2022-03-22 02:00:45,031 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=REGISTER {datanodeDetails=ff1700db-d3ed-4340-ade4-61e04b8dd3c9{ip: 172.25.0.102, host: 936aacb81c92, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 1000006894556, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-03-22 02:00:46,935 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=ff1700db-d3ed-4340-ade4-61e04b8dd3c9, command=[]} | ret=SUCCESS |  
2022-03-22 02:00:48,304 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=ff1700db-d3ed-4340-ade4-61e04b8dd3c9, command=[]} | ret=SUCCESS |  
2022-03-22 02:00:49,456 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=ff1700db-d3ed-4340-ade4-61e04b8dd3c9, command=[]} | ret=SUCCESS |  
2022-03-22 02:00:53,049 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=4de9d572-3cb1-4369-a9a0-6a49b8a166ec, command=[]} | ret=SUCCESS |  
2022-03-22 02:00:54,454 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=ff1700db-d3ed-4340-ade4-61e04b8dd3c9, command=[]} | ret=SUCCESS |  
2022-03-22 02:00:54,483 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=ff1700db-d3ed-4340-ade4-61e04b8dd3c9, command=[]} | ret=SUCCESS |  
2022-03-22 02:00:56,136 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=ff1700db-d3ed-4340-ade4-61e04b8dd3c9, command=[]} | ret=SUCCESS |  
2022-03-22 02:00:56,148 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=ff1700db-d3ed-4340-ade4-61e04b8dd3c9, command=[]} | ret=SUCCESS |  
2022-03-22 02:00:57,089 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=b83a4509-6792-45d7-8071-046d349c7389, command=[]} | ret=SUCCESS |  
