2022-03-22 17:04:05,150 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=REGISTER {datanodeDetails=67d29ec8-ffa8-4cf7-99ef-3dd82e91c657{ip: 172.25.0.103, host: cfda4801cb49, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 1279588515463, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-03-22 17:04:05,448 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=REGISTER {datanodeDetails=708344b5-b7d5-4e3d-8404-49feb43baff5{ip: 172.25.0.102, host: ozonesecure-ha_datanode1_1.ozonesecure-ha_ozone_net, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 1280262545776, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-03-22 17:04:05,610 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=REGISTER {datanodeDetails=1e6ac1e2-f9eb-4336-819d-168f5423304c{ip: 172.25.0.104, host: 636d240e0501, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 1277705505608, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-03-22 17:04:06,466 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=67d29ec8-ffa8-4cf7-99ef-3dd82e91c657, command=[]} | ret=SUCCESS |  
2022-03-22 17:04:07,752 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=1e6ac1e2-f9eb-4336-819d-168f5423304c, command=[]} | ret=SUCCESS |  
2022-03-22 17:04:09,424 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=1e6ac1e2-f9eb-4336-819d-168f5423304c, command=[]} | ret=SUCCESS |  
2022-03-22 17:04:15,387 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=67d29ec8-ffa8-4cf7-99ef-3dd82e91c657, command=[]} | ret=SUCCESS |  
2022-03-22 17:04:16,839 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=1e6ac1e2-f9eb-4336-819d-168f5423304c, command=[]} | ret=SUCCESS |  
2022-03-22 17:04:19,701 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=708344b5-b7d5-4e3d-8404-49feb43baff5, command=[]} | ret=SUCCESS |  
2022-03-22 17:04:20,537 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=1e6ac1e2-f9eb-4336-819d-168f5423304c, command=[]} | ret=SUCCESS |  
2022-03-22 17:04:20,871 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=1e6ac1e2-f9eb-4336-819d-168f5423304c, command=[]} | ret=SUCCESS |  
2022-03-22 17:04:22,070 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=708344b5-b7d5-4e3d-8404-49feb43baff5, command=[]} | ret=SUCCESS |  
2022-03-22 17:04:22,713 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=67d29ec8-ffa8-4cf7-99ef-3dd82e91c657, command=[]} | ret=SUCCESS |  
2022-03-22 17:04:22,725 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=67d29ec8-ffa8-4cf7-99ef-3dd82e91c657, command=[]} | ret=SUCCESS |  
2022-03-22 17:04:25,831 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=1e6ac1e2-f9eb-4336-819d-168f5423304c, command=[]} | ret=SUCCESS |  
2022-03-22 17:04:36,667 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=708344b5-b7d5-4e3d-8404-49feb43baff5, command=[]} | ret=SUCCESS |  
2022-03-22 17:04:37,488 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=67d29ec8-ffa8-4cf7-99ef-3dd82e91c657, command=[]} | ret=SUCCESS |  
2022-03-22 17:04:37,512 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=67d29ec8-ffa8-4cf7-99ef-3dd82e91c657, command=[]} | ret=SUCCESS |  
2022-03-22 17:04:41,947 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=708344b5-b7d5-4e3d-8404-49feb43baff5, command=[]} | ret=SUCCESS |  
2022-03-22 17:04:42,592 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=67d29ec8-ffa8-4cf7-99ef-3dd82e91c657, command=[]} | ret=SUCCESS |  
2022-03-22 17:04:55,986 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=1e6ac1e2-f9eb-4336-819d-168f5423304c, command=[]} | ret=SUCCESS |  
2022-03-22 17:05:12,057 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=708344b5-b7d5-4e3d-8404-49feb43baff5, command=[]} | ret=SUCCESS |  
2022-03-22 17:05:12,683 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=67d29ec8-ffa8-4cf7-99ef-3dd82e91c657, command=[]} | ret=SUCCESS |  
2022-03-22 17:05:15,424 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=1e6ac1e2-f9eb-4336-819d-168f5423304c, command=[]} | ret=SUCCESS |  
2022-03-22 17:05:15,818 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=67d29ec8-ffa8-4cf7-99ef-3dd82e91c657, command=[]} | ret=SUCCESS |  
2022-03-22 17:05:15,879 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=708344b5-b7d5-4e3d-8404-49feb43baff5, command=[]} | ret=SUCCESS |  
2022-03-22 17:05:17,454 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=708344b5-b7d5-4e3d-8404-49feb43baff5, command=[]} | ret=SUCCESS |  
2022-03-22 17:05:17,474 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=708344b5-b7d5-4e3d-8404-49feb43baff5, command=[]} | ret=SUCCESS |  
2022-03-22 17:05:45,405 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=1e6ac1e2-f9eb-4336-819d-168f5423304c, command=[]} | ret=SUCCESS |  
2022-03-22 17:05:45,884 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=67d29ec8-ffa8-4cf7-99ef-3dd82e91c657, command=[]} | ret=SUCCESS |  
2022-03-22 17:05:47,573 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=708344b5-b7d5-4e3d-8404-49feb43baff5, command=[]} | ret=SUCCESS |  
2022-03-22 17:06:15,479 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=1e6ac1e2-f9eb-4336-819d-168f5423304c, command=[]} | ret=SUCCESS |  
2022-03-22 17:06:15,916 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=67d29ec8-ffa8-4cf7-99ef-3dd82e91c657, command=[]} | ret=SUCCESS |  
2022-03-22 17:06:17,615 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=708344b5-b7d5-4e3d-8404-49feb43baff5, command=[]} | ret=SUCCESS |  
2022-03-22 17:06:45,379 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=1e6ac1e2-f9eb-4336-819d-168f5423304c, command=[]} | ret=SUCCESS |  
2022-03-22 17:06:45,906 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=67d29ec8-ffa8-4cf7-99ef-3dd82e91c657, command=[]} | ret=SUCCESS |  
2022-03-22 17:06:47,524 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=708344b5-b7d5-4e3d-8404-49feb43baff5, command=[]} | ret=SUCCESS |  
2022-03-22 17:07:15,348 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=1e6ac1e2-f9eb-4336-819d-168f5423304c, command=[]} | ret=SUCCESS |  
