2022-04-05 03:35:55,987 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=REGISTER {datanodeDetails=261a1a06-a940-4544-8a02-2892d68afb1c{ip: 10.9.0.12, host: 4fbcbb788288, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: IN_SERVICE, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-04-05 03:35:56,362 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=REGISTER {datanodeDetails=2ebbdb15-81b1-46f9-9df4-96fb85fbf07d{ip: 10.9.0.11, host: b655ee2cbe55, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: IN_SERVICE, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-04-05 03:35:56,498 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=REGISTER {datanodeDetails=adecb51d-13bf-4525-b5c1-e44c77f23b06{ip: 10.9.0.13, host: b3c8e592b2e5, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: IN_SERVICE, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-04-05 03:35:57,958 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=261a1a06-a940-4544-8a02-2892d68afb1c, command=[]} | ret=SUCCESS |  
2022-04-05 03:35:58,329 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=2ebbdb15-81b1-46f9-9df4-96fb85fbf07d, command=[]} | ret=SUCCESS |  
2022-04-05 03:35:58,609 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=adecb51d-13bf-4525-b5c1-e44c77f23b06, command=[]} | ret=SUCCESS |  
2022-04-05 03:36:00,434 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=adecb51d-13bf-4525-b5c1-e44c77f23b06, command=[]} | ret=SUCCESS |  
2022-04-05 03:36:00,497 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=261a1a06-a940-4544-8a02-2892d68afb1c, command=[]} | ret=SUCCESS |  
2022-04-05 03:36:00,619 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=2ebbdb15-81b1-46f9-9df4-96fb85fbf07d, command=[]} | ret=SUCCESS |  
2022-04-05 03:36:00,691 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=2ebbdb15-81b1-46f9-9df4-96fb85fbf07d, command=[]} | ret=SUCCESS |  
2022-04-05 03:36:07,846 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=261a1a06-a940-4544-8a02-2892d68afb1c, command=[]} | ret=SUCCESS |  
2022-04-05 03:36:13,181 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=adecb51d-13bf-4525-b5c1-e44c77f23b06, command=[]} | ret=SUCCESS |  
2022-04-05 03:36:30,546 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=2ebbdb15-81b1-46f9-9df4-96fb85fbf07d, command=[]} | ret=SUCCESS |  
