2022-04-05 03:37:19,435 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=REGISTER {datanodeDetails=2ebbdb15-81b1-46f9-9df4-96fb85fbf07d{ip: 10.9.0.11, host: 8daed8452f07, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: IN_SERVICE, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-04-05 03:37:19,465 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=REGISTER {datanodeDetails=261a1a06-a940-4544-8a02-2892d68afb1c{ip: 10.9.0.12, host: 9883788cab2f, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: IN_SERVICE, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-04-05 03:37:19,980 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=REGISTER {datanodeDetails=adecb51d-13bf-4525-b5c1-e44c77f23b06{ip: 10.9.0.13, host: d2a1c5fe7913, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: IN_SERVICE, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-04-05 03:37:21,387 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=2ebbdb15-81b1-46f9-9df4-96fb85fbf07d, command=[]} | ret=SUCCESS |  
2022-04-05 03:37:21,560 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=261a1a06-a940-4544-8a02-2892d68afb1c, command=[]} | ret=SUCCESS |  
2022-04-05 03:37:21,808 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=adecb51d-13bf-4525-b5c1-e44c77f23b06, command=[]} | ret=SUCCESS |  
2022-04-05 03:37:23,430 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=261a1a06-a940-4544-8a02-2892d68afb1c, command=[]} | ret=SUCCESS |  
2022-04-05 03:37:23,441 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=261a1a06-a940-4544-8a02-2892d68afb1c, command=[]} | ret=SUCCESS |  
2022-04-05 03:37:23,484 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=adecb51d-13bf-4525-b5c1-e44c77f23b06, command=[]} | ret=SUCCESS |  
2022-04-05 03:37:23,515 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=2ebbdb15-81b1-46f9-9df4-96fb85fbf07d, command=[]} | ret=SUCCESS |  
2022-04-05 03:37:23,540 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=adecb51d-13bf-4525-b5c1-e44c77f23b06, command=[]} | ret=SUCCESS |  
2022-04-05 03:37:30,836 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=adecb51d-13bf-4525-b5c1-e44c77f23b06, command=[]} | ret=SUCCESS |  
2022-04-05 03:37:36,089 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=261a1a06-a940-4544-8a02-2892d68afb1c, command=[]} | ret=SUCCESS |  
2022-04-05 03:37:36,092 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=261a1a06-a940-4544-8a02-2892d68afb1c, command=[]} | ret=SUCCESS |  
2022-04-05 03:37:42,851 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=ALLOCATE_BLOCK {replication=RATIS/ONE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-04-05 03:37:44,748 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=261a1a06-a940-4544-8a02-2892d68afb1c, command=[]} | ret=SUCCESS |  
2022-04-05 03:37:53,457 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=2ebbdb15-81b1-46f9-9df4-96fb85fbf07d, command=[]} | ret=SUCCESS |  
