2022-04-12 13:06:29,508 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=REGISTER {datanodeDetails=0852a1e0-b4fb-4647-b396-f7d9da55e937{ip: 10.9.0.12, host: 0a0a127f19b4, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-04-12 13:06:29,563 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=REGISTER {datanodeDetails=18324c8f-7b13-49d3-96f7-7b9d5032441d{ip: 10.9.0.11, host: 1e7912b7e8ae, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-04-12 13:06:30,218 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=REGISTER {datanodeDetails=d5004be2-573b-4187-bcb9-caf5def1a5ba{ip: 10.9.0.13, host: 807ee19d1f77, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-04-12 13:06:31,554 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=0852a1e0-b4fb-4647-b396-f7d9da55e937, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "765f1cd0-6606-4932-b931-1bcad0572109" uuid128 { mostSigBits: 8529567900653472050 leastSigBits: -5102266344941346551 } } type: RATIS factor: ONE datanode { uuid: "0852a1e0-b4fb-4647-b396-f7d9da55e937" ipAddress: "10.9.0.12" hostName: "ozone-om-prepare_dn2_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "0852a1e0-b4fb-4647-b396-f7d9da55e937" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 599719686874809927 leastSigBits: -5505940979370825417 } } cmdId: 1649768789580 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "a451c1c8-5f83-4359-ba39-933a91b4dff2" uuid128 { mostSigBits: -6606286112035749031 leastSigBits: -5027825629220511758 } } type: RATIS factor: THREE datanode { uuid: "0852a1e0-b4fb-4647-b396-f7d9da55e937" ipAddress: "10.9.0.12" hostName: "ozone-om-prepare_dn2_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "0852a1e0-b4fb-4647-b396-f7d9da55e937" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 599719686874809927 leastSigBits: -5505940979370825417 } } datanode { uuid: "18324c8f-7b13-49d3-96f7-7b9d5032441d" ipAddress: "10.9.0.11" hostName: "ozone-om-prepare_dn1_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "18324c8f-7b13-49d3-96f7-7b9d5032441d" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 1743540184874699219 leastSigBits: -7568444733187275747 } } datanode { uuid: "d5004be2-573b-4187-bcb9-caf5def1a5ba" ipAddress: "10.9.0.13" hostName: "ozone-om-prepare_dn3_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "d5004be2-573b-4187-bcb9-caf5def1a5ba" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -3098393108132707961 leastSigBits: -4847620366531451462 } } cmdId: 1649768789583 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "c2879893-7841-4577-b0fc-27798be42e03" uuid128 { mostSigBits: -4429403949350435465 leastSigBits: -5693632425911636477 } } type: RATIS factor: THREE datanode { uuid: "d5004be2-573b-4187-bcb9-caf5def1a5ba" ipAddress: "10.9.0.13" hostName: "ozone-om-prepare_dn3_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "d5004be2-573b-4187-bcb9-caf5def1a5ba" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -3098393108132707961 leastSigBits: -4847620366531451462 } } datanode { uuid: "0852a1e0-b4fb-4647-b396-f7d9da55e937" ipAddress: "10.9.0.12" hostName: "ozone-om-prepare_dn2_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "0852a1e0-b4fb-4647-b396-f7d9da55e937" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 599719686874809927 leastSigBits: -5505940979370825417 } } datanode { uuid: "18324c8f-7b13-49d3-96f7-7b9d5032441d" ipAddress: "10.9.0.11" hostName: "ozone-om-prepare_dn1_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "18324c8f-7b13-49d3-96f7-7b9d5032441d" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 1743540184874699219 leastSigBits: -7568444733187275747 } } cmdId: 1649768789584 priority: 0 priority: 0 priority: 1 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2022-04-12 13:06:31,559 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=18324c8f-7b13-49d3-96f7-7b9d5032441d, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "94b21d24-c44c-49ba-aa27-c38934ddd3c7" uuid128 { mostSigBits: -7732085566492358214 leastSigBits: -6185760569105198137 } } type: RATIS factor: ONE datanode { uuid: "18324c8f-7b13-49d3-96f7-7b9d5032441d" ipAddress: "10.9.0.11" hostName: "ozone-om-prepare_dn1_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "18324c8f-7b13-49d3-96f7-7b9d5032441d" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 1743540184874699219 leastSigBits: -7568444733187275747 } } cmdId: 1649768789581 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "a451c1c8-5f83-4359-ba39-933a91b4dff2" uuid128 { mostSigBits: -6606286112035749031 leastSigBits: -5027825629220511758 } } type: RATIS factor: THREE datanode { uuid: "0852a1e0-b4fb-4647-b396-f7d9da55e937" ipAddress: "10.9.0.12" hostName: "ozone-om-prepare_dn2_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "0852a1e0-b4fb-4647-b396-f7d9da55e937" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 599719686874809927 leastSigBits: -5505940979370825417 } } datanode { uuid: "18324c8f-7b13-49d3-96f7-7b9d5032441d" ipAddress: "10.9.0.11" hostName: "ozone-om-prepare_dn1_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "18324c8f-7b13-49d3-96f7-7b9d5032441d" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 1743540184874699219 leastSigBits: -7568444733187275747 } } datanode { uuid: "d5004be2-573b-4187-bcb9-caf5def1a5ba" ipAddress: "10.9.0.13" hostName: "ozone-om-prepare_dn3_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "d5004be2-573b-4187-bcb9-caf5def1a5ba" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -3098393108132707961 leastSigBits: -4847620366531451462 } } cmdId: 1649768789583 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "c2879893-7841-4577-b0fc-27798be42e03" uuid128 { mostSigBits: -4429403949350435465 leastSigBits: -5693632425911636477 } } type: RATIS factor: THREE datanode { uuid: "d5004be2-573b-4187-bcb9-caf5def1a5ba" ipAddress: "10.9.0.13" hostName: "ozone-om-prepare_dn3_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "d5004be2-573b-4187-bcb9-caf5def1a5ba" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -3098393108132707961 leastSigBits: -4847620366531451462 } } datanode { uuid: "0852a1e0-b4fb-4647-b396-f7d9da55e937" ipAddress: "10.9.0.12" hostName: "ozone-om-prepare_dn2_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "0852a1e0-b4fb-4647-b396-f7d9da55e937" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 599719686874809927 leastSigBits: -5505940979370825417 } } datanode { uuid: "18324c8f-7b13-49d3-96f7-7b9d5032441d" ipAddress: "10.9.0.11" hostName: "ozone-om-prepare_dn1_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "18324c8f-7b13-49d3-96f7-7b9d5032441d" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 1743540184874699219 leastSigBits: -7568444733187275747 } } cmdId: 1649768789584 priority: 0 priority: 0 priority: 1 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2022-04-12 13:06:32,251 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=d5004be2-573b-4187-bcb9-caf5def1a5ba, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "2a0030e9-989e-4d61-b7dd-81fcf9510a50" uuid128 { mostSigBits: 3026472729438997857 leastSigBits: -5197855471401104816 } } type: RATIS factor: ONE datanode { uuid: "d5004be2-573b-4187-bcb9-caf5def1a5ba" ipAddress: "10.9.0.13" hostName: "ozone-om-prepare_dn3_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "d5004be2-573b-4187-bcb9-caf5def1a5ba" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -3098393108132707961 leastSigBits: -4847620366531451462 } } cmdId: 1649768789582 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "a451c1c8-5f83-4359-ba39-933a91b4dff2" uuid128 { mostSigBits: -6606286112035749031 leastSigBits: -5027825629220511758 } } type: RATIS factor: THREE datanode { uuid: "0852a1e0-b4fb-4647-b396-f7d9da55e937" ipAddress: "10.9.0.12" hostName: "ozone-om-prepare_dn2_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "0852a1e0-b4fb-4647-b396-f7d9da55e937" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 599719686874809927 leastSigBits: -5505940979370825417 } } datanode { uuid: "18324c8f-7b13-49d3-96f7-7b9d5032441d" ipAddress: "10.9.0.11" hostName: "ozone-om-prepare_dn1_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "18324c8f-7b13-49d3-96f7-7b9d5032441d" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 1743540184874699219 leastSigBits: -7568444733187275747 } } datanode { uuid: "d5004be2-573b-4187-bcb9-caf5def1a5ba" ipAddress: "10.9.0.13" hostName: "ozone-om-prepare_dn3_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "d5004be2-573b-4187-bcb9-caf5def1a5ba" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -3098393108132707961 leastSigBits: -4847620366531451462 } } cmdId: 1649768789583 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "c2879893-7841-4577-b0fc-27798be42e03" uuid128 { mostSigBits: -4429403949350435465 leastSigBits: -5693632425911636477 } } type: RATIS factor: THREE datanode { uuid: "d5004be2-573b-4187-bcb9-caf5def1a5ba" ipAddress: "10.9.0.13" hostName: "ozone-om-prepare_dn3_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "d5004be2-573b-4187-bcb9-caf5def1a5ba" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -3098393108132707961 leastSigBits: -4847620366531451462 } } datanode { uuid: "0852a1e0-b4fb-4647-b396-f7d9da55e937" ipAddress: "10.9.0.12" hostName: "ozone-om-prepare_dn2_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "0852a1e0-b4fb-4647-b396-f7d9da55e937" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 599719686874809927 leastSigBits: -5505940979370825417 } } datanode { uuid: "18324c8f-7b13-49d3-96f7-7b9d5032441d" ipAddress: "10.9.0.11" hostName: "ozone-om-prepare_dn1_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "18324c8f-7b13-49d3-96f7-7b9d5032441d" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 1743540184874699219 leastSigBits: -7568444733187275747 } } cmdId: 1649768789584 priority: 0 priority: 0 priority: 1 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2022-04-12 13:06:32,871 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=0852a1e0-b4fb-4647-b396-f7d9da55e937, command=[]} | ret=SUCCESS |  
2022-04-12 13:06:32,961 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=18324c8f-7b13-49d3-96f7-7b9d5032441d, command=[]} | ret=SUCCESS |  
2022-04-12 13:06:33,730 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=d5004be2-573b-4187-bcb9-caf5def1a5ba, command=[]} | ret=SUCCESS |  
2022-04-12 13:06:34,035 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=0852a1e0-b4fb-4647-b396-f7d9da55e937, command=[]} | ret=SUCCESS |  
2022-04-12 13:06:34,089 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=18324c8f-7b13-49d3-96f7-7b9d5032441d, command=[]} | ret=SUCCESS |  
