2022-04-18 13:13:08,326 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=REGISTER {datanodeDetails=439424ef-e09c-4e49-89c5-36ae3fb90d2b{ip: 172.25.0.103, host: afac96686e5c, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 1146371248082, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-04-18 13:13:08,326 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=REGISTER {datanodeDetails=ed6b629b-4461-47a5-9aba-0dc345030ef6{ip: 172.25.0.102, host: 1ae592aeaff5, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 1150250384151, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-04-18 13:13:08,537 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=REGISTER {datanodeDetails=8cf166c8-b6f2-4d04-bdaa-b925984d8d0e{ip: 172.25.0.104, host: ozonesecure-ha_datanode3_1.ozonesecure-ha_ozone_net, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 1147996933599, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-04-18 13:13:09,529 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=ed6b629b-4461-47a5-9aba-0dc345030ef6, command=[]} | ret=SUCCESS |  
2022-04-18 13:13:09,743 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=439424ef-e09c-4e49-89c5-36ae3fb90d2b, command=[]} | ret=SUCCESS |  
2022-04-18 13:13:10,559 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=8cf166c8-b6f2-4d04-bdaa-b925984d8d0e, command=[]} | ret=SUCCESS |  
2022-04-18 13:13:12,184 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=8cf166c8-b6f2-4d04-bdaa-b925984d8d0e, command=[]} | ret=SUCCESS |  
2022-04-18 13:13:17,629 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=ed6b629b-4461-47a5-9aba-0dc345030ef6, command=[]} | ret=SUCCESS |  
2022-04-18 13:13:17,655 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=ed6b629b-4461-47a5-9aba-0dc345030ef6, command=[]} | ret=SUCCESS |  
2022-04-18 13:13:19,267 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=8cf166c8-b6f2-4d04-bdaa-b925984d8d0e, command=[]} | ret=SUCCESS |  
2022-04-18 13:13:22,507 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=439424ef-e09c-4e49-89c5-36ae3fb90d2b, command=[]} | ret=SUCCESS |  
