2022-04-18 15:57:21,551 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=REGISTER {datanodeDetails=7c3e8822-4ea1-4aab-aca6-162b8288e188{ip: 172.18.0.6, host: 55bbd1af1c28, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-04-18 15:57:21,697 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=REGISTER {datanodeDetails=bde15844-3f95-44a3-8190-79d124d51977{ip: 172.18.0.4, host: 7bb240eaee0f, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-04-18 15:57:21,993 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=REGISTER {datanodeDetails=bb7f8953-4ec1-4a94-a7e7-5edd7bbbc113{ip: 172.18.0.9, host: 92f9e10ceb4f, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-04-18 15:57:23,525 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=7c3e8822-4ea1-4aab-aca6-162b8288e188, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "46ae2970-5e1a-47df-8c36-2f370f13e793" uuid128 { mostSigBits: 5093053791194466271 leastSigBits: -8343429346134595693 } } type: RATIS factor: ONE datanode { uuid: "7c3e8822-4ea1-4aab-aca6-162b8288e188" ipAddress: "172.18.0.6" hostName: "ozone-ha_datanode_2.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "7c3e8822-4ea1-4aab-aca6-162b8288e188" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 8952742790188583595 leastSigBits: -6006088676922564216 } } cmdId: 1650297441545 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "c659a523-778d-46d4-b5f3-0826503de278" uuid128 { mostSigBits: -4154107609524386092 leastSigBits: -5335912172855893384 } } type: RATIS factor: THREE datanode { uuid: "bde15844-3f95-44a3-8190-79d124d51977" ipAddress: "172.18.0.4" hostName: "ozone-ha_datanode_3.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "bde15844-3f95-44a3-8190-79d124d51977" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -4764429880633506653 leastSigBits: -9110648106997442185 } } datanode { uuid: "bb7f8953-4ec1-4a94-a7e7-5edd7bbbc113" ipAddress: "172.18.0.9" hostName: "ozone-ha_datanode_1.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "bb7f8953-4ec1-4a94-a7e7-5edd7bbbc113" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -4936075675678193004 leastSigBits: -6348000844398739181 } } datanode { uuid: "7c3e8822-4ea1-4aab-aca6-162b8288e188" ipAddress: "172.18.0.6" hostName: "ozone-ha_datanode_2.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "7c3e8822-4ea1-4aab-aca6-162b8288e188" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 8952742790188583595 leastSigBits: -6006088676922564216 } } cmdId: 1650297441548 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2022-04-18 15:57:23,696 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=bde15844-3f95-44a3-8190-79d124d51977, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "c4b9803e-5dfa-4401-834c-33d47b85196d" uuid128 { mostSigBits: -4271241766231194623 leastSigBits: -8985750168812578451 } } type: RATIS factor: ONE datanode { uuid: "bde15844-3f95-44a3-8190-79d124d51977" ipAddress: "172.18.0.4" hostName: "ozone-ha_datanode_3.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "bde15844-3f95-44a3-8190-79d124d51977" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -4764429880633506653 leastSigBits: -9110648106997442185 } } cmdId: 1650297441546 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "c659a523-778d-46d4-b5f3-0826503de278" uuid128 { mostSigBits: -4154107609524386092 leastSigBits: -5335912172855893384 } } type: RATIS factor: THREE datanode { uuid: "bde15844-3f95-44a3-8190-79d124d51977" ipAddress: "172.18.0.4" hostName: "ozone-ha_datanode_3.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "bde15844-3f95-44a3-8190-79d124d51977" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -4764429880633506653 leastSigBits: -9110648106997442185 } } datanode { uuid: "bb7f8953-4ec1-4a94-a7e7-5edd7bbbc113" ipAddress: "172.18.0.9" hostName: "ozone-ha_datanode_1.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "bb7f8953-4ec1-4a94-a7e7-5edd7bbbc113" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -4936075675678193004 leastSigBits: -6348000844398739181 } } datanode { uuid: "7c3e8822-4ea1-4aab-aca6-162b8288e188" ipAddress: "172.18.0.6" hostName: "ozone-ha_datanode_2.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "7c3e8822-4ea1-4aab-aca6-162b8288e188" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 8952742790188583595 leastSigBits: -6006088676922564216 } } cmdId: 1650297441548 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2022-04-18 15:57:23,967 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=bb7f8953-4ec1-4a94-a7e7-5edd7bbbc113, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "f97b0bae-f8f6-466b-8a7e-55f615ca1b2f" uuid128 { mostSigBits: -469768890000980373 leastSigBits: -8467235733994071249 } } type: RATIS factor: ONE datanode { uuid: "bb7f8953-4ec1-4a94-a7e7-5edd7bbbc113" ipAddress: "172.18.0.9" hostName: "ozone-ha_datanode_1.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "bb7f8953-4ec1-4a94-a7e7-5edd7bbbc113" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -4936075675678193004 leastSigBits: -6348000844398739181 } } cmdId: 1650297441547 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "c659a523-778d-46d4-b5f3-0826503de278" uuid128 { mostSigBits: -4154107609524386092 leastSigBits: -5335912172855893384 } } type: RATIS factor: THREE datanode { uuid: "bde15844-3f95-44a3-8190-79d124d51977" ipAddress: "172.18.0.4" hostName: "ozone-ha_datanode_3.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "bde15844-3f95-44a3-8190-79d124d51977" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -4764429880633506653 leastSigBits: -9110648106997442185 } } datanode { uuid: "bb7f8953-4ec1-4a94-a7e7-5edd7bbbc113" ipAddress: "172.18.0.9" hostName: "ozone-ha_datanode_1.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "bb7f8953-4ec1-4a94-a7e7-5edd7bbbc113" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -4936075675678193004 leastSigBits: -6348000844398739181 } } datanode { uuid: "7c3e8822-4ea1-4aab-aca6-162b8288e188" ipAddress: "172.18.0.6" hostName: "ozone-ha_datanode_2.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "7c3e8822-4ea1-4aab-aca6-162b8288e188" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 8952742790188583595 leastSigBits: -6006088676922564216 } } cmdId: 1650297441548 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2022-04-18 15:57:53,489 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=7c3e8822-4ea1-4aab-aca6-162b8288e188, command=[]} | ret=SUCCESS |  
2022-04-18 15:57:53,693 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=bde15844-3f95-44a3-8190-79d124d51977, command=[]} | ret=SUCCESS |  
2022-04-18 15:57:53,997 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=bb7f8953-4ec1-4a94-a7e7-5edd7bbbc113, command=[]} | ret=SUCCESS |  
2022-04-18 15:57:55,043 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=7c3e8822-4ea1-4aab-aca6-162b8288e188, command=[]} | ret=SUCCESS |  
2022-04-18 15:57:55,467 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=bde15844-3f95-44a3-8190-79d124d51977, command=[]} | ret=SUCCESS |  
