2022-04-18 20:01:16,410 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=REGISTER {datanodeDetails=e2966eb8-f43d-41bb-b447-54fd54b3054b{ip: 172.18.0.7, host: 4eb9c2243250, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-04-18 20:01:16,854 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=REGISTER {datanodeDetails=1c6409dc-cc94-4ce9-9df7-17254f02a8a9{ip: 172.18.0.12, host: 4cbcbfadd74b, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-04-18 20:01:18,289 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=REGISTER {datanodeDetails=a19a5771-19ea-40de-8194-0c6f7db8045d{ip: 172.18.0.11, host: 075d5bf65444, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-04-18 20:01:18,414 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=e2966eb8-f43d-41bb-b447-54fd54b3054b, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "41c4c7ca-d6b4-4b8b-aa43-94c144a7d0a2" uuid128 { mostSigBits: 4739132381900065675 leastSigBits: -6177930706020740958 } } type: RATIS factor: ONE datanode { uuid: "e2966eb8-f43d-41bb-b447-54fd54b3054b" ipAddress: "172.18.0.7" hostName: "ozone-ha_datanode_1.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "e2966eb8-f43d-41bb-b447-54fd54b3054b" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -2119384833980546629 leastSigBits: -5456298976511589045 } } cmdId: 1650312076418 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "6298d5ba-8f81-47fd-ac9f-746df9ddf622" uuid128 { mostSigBits: 7104663409425205245 leastSigBits: -6007955362196621790 } } type: RATIS factor: THREE datanode { uuid: "a19a5771-19ea-40de-8194-0c6f7db8045d" ipAddress: "172.18.0.11" hostName: "ozone-ha_datanode_3.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "a19a5771-19ea-40de-8194-0c6f7db8045d" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -6802028143912009506 leastSigBits: -9109642473273555875 } } datanode { uuid: "1c6409dc-cc94-4ce9-9df7-17254f02a8a9" ipAddress: "172.18.0.12" hostName: "ozone-ha_datanode_2.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "1c6409dc-cc94-4ce9-9df7-17254f02a8a9" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 2045770974662773993 leastSigBits: -7064152041500530519 } } datanode { uuid: "e2966eb8-f43d-41bb-b447-54fd54b3054b" ipAddress: "172.18.0.7" hostName: "ozone-ha_datanode_1.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "e2966eb8-f43d-41bb-b447-54fd54b3054b" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -2119384833980546629 leastSigBits: -5456298976511589045 } } cmdId: 1650312076421 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2022-04-18 20:01:18,846 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=1c6409dc-cc94-4ce9-9df7-17254f02a8a9, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "d1007131-b681-48c7-8e2c-e505a4433da3" uuid128 { mostSigBits: -3386582461453350713 leastSigBits: -8201929008955048541 } } type: RATIS factor: ONE datanode { uuid: "1c6409dc-cc94-4ce9-9df7-17254f02a8a9" ipAddress: "172.18.0.12" hostName: "ozone-ha_datanode_2.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "1c6409dc-cc94-4ce9-9df7-17254f02a8a9" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 2045770974662773993 leastSigBits: -7064152041500530519 } } cmdId: 1650312076419 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "6298d5ba-8f81-47fd-ac9f-746df9ddf622" uuid128 { mostSigBits: 7104663409425205245 leastSigBits: -6007955362196621790 } } type: RATIS factor: THREE datanode { uuid: "a19a5771-19ea-40de-8194-0c6f7db8045d" ipAddress: "172.18.0.11" hostName: "ozone-ha_datanode_3.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "a19a5771-19ea-40de-8194-0c6f7db8045d" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -6802028143912009506 leastSigBits: -9109642473273555875 } } datanode { uuid: "1c6409dc-cc94-4ce9-9df7-17254f02a8a9" ipAddress: "172.18.0.12" hostName: "ozone-ha_datanode_2.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "1c6409dc-cc94-4ce9-9df7-17254f02a8a9" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 2045770974662773993 leastSigBits: -7064152041500530519 } } datanode { uuid: "e2966eb8-f43d-41bb-b447-54fd54b3054b" ipAddress: "172.18.0.7" hostName: "ozone-ha_datanode_1.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "e2966eb8-f43d-41bb-b447-54fd54b3054b" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -2119384833980546629 leastSigBits: -5456298976511589045 } } cmdId: 1650312076421 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2022-04-18 20:01:20,283 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=a19a5771-19ea-40de-8194-0c6f7db8045d, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "544560a6-db54-4573-8ce5-c104a2a1650c" uuid128 { mostSigBits: 6072365942339552627 leastSigBits: -8294010913080384244 } } type: RATIS factor: ONE datanode { uuid: "a19a5771-19ea-40de-8194-0c6f7db8045d" ipAddress: "172.18.0.11" hostName: "ozone-ha_datanode_3.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "a19a5771-19ea-40de-8194-0c6f7db8045d" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -6802028143912009506 leastSigBits: -9109642473273555875 } } cmdId: 1650312076420 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "6298d5ba-8f81-47fd-ac9f-746df9ddf622" uuid128 { mostSigBits: 7104663409425205245 leastSigBits: -6007955362196621790 } } type: RATIS factor: THREE datanode { uuid: "a19a5771-19ea-40de-8194-0c6f7db8045d" ipAddress: "172.18.0.11" hostName: "ozone-ha_datanode_3.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "a19a5771-19ea-40de-8194-0c6f7db8045d" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -6802028143912009506 leastSigBits: -9109642473273555875 } } datanode { uuid: "1c6409dc-cc94-4ce9-9df7-17254f02a8a9" ipAddress: "172.18.0.12" hostName: "ozone-ha_datanode_2.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "1c6409dc-cc94-4ce9-9df7-17254f02a8a9" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 2045770974662773993 leastSigBits: -7064152041500530519 } } datanode { uuid: "e2966eb8-f43d-41bb-b447-54fd54b3054b" ipAddress: "172.18.0.7" hostName: "ozone-ha_datanode_1.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "e2966eb8-f43d-41bb-b447-54fd54b3054b" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -2119384833980546629 leastSigBits: -5456298976511589045 } } cmdId: 1650312076421 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2022-04-18 20:01:48,405 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=e2966eb8-f43d-41bb-b447-54fd54b3054b, command=[]} | ret=SUCCESS |  
2022-04-18 20:01:48,888 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=1c6409dc-cc94-4ce9-9df7-17254f02a8a9, command=[]} | ret=SUCCESS |  
2022-04-18 20:01:49,877 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=e2966eb8-f43d-41bb-b447-54fd54b3054b, command=[]} | ret=SUCCESS |  
2022-04-18 20:01:50,314 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=a19a5771-19ea-40de-8194-0c6f7db8045d, command=[]} | ret=SUCCESS |  
2022-04-18 20:01:50,590 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=1c6409dc-cc94-4ce9-9df7-17254f02a8a9, command=[]} | ret=SUCCESS |  
