2022-05-09 12:58:24,044 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=GET_VERSION null | ret=SUCCESS |  
2022-05-09 12:58:24,048 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=GET_VERSION null | ret=SUCCESS |  
2022-05-09 12:58:24,048 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=GET_VERSION null | ret=SUCCESS |  
2022-05-09 12:58:24,048 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2022-05-09 12:58:24,050 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2022-05-09 12:58:24,333 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=GET_SCM_INFO null | ret=SUCCESS |  
2022-05-09 12:58:24,813 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=REGISTER {datanodeDetails=9c363e9d-43c1-4859-866a-cf56bebf21f6{ip: 172.18.0.3, host: 4bc9b3540980, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-05-09 12:58:26,487 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=REGISTER {datanodeDetails=c911d5fc-9138-44ee-b45f-a3aa20465d73{ip: 172.18.0.9, host: 9ed1447f5e61, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-05-09 12:58:26,587 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=REGISTER {datanodeDetails=efb75276-8795-426d-8aa7-42b44d4b5919{ip: 172.18.0.5, host: 722aed57749d, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-05-09 12:58:26,836 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=SEND_HEARTBEAT {datanodeUUID=9c363e9d-43c1-4859-866a-cf56bebf21f6, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "fedb3dc9-cef0-41cd-8683-1e3ef72e7813" uuid128 { mostSigBits: -82404231206649395 leastSigBits: -8754119994894288877 } } type: RATIS factor: ONE datanode { uuid: "9c363e9d-43c1-4859-866a-cf56bebf21f6" ipAddress: "172.18.0.3" hostName: "ozone-ha_datanode_3.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "9c363e9d-43c1-4859-866a-cf56bebf21f6" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7190490909882890151 leastSigBits: -8760962153621544458 } } cmdId: 1652101104820 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "e388dc45-abdb-413b-b3bc-101cd040e39f" uuid128 { mostSigBits: -2051147438473133765 leastSigBits: -5495499729359805537 } } type: RATIS factor: THREE datanode { uuid: "9c363e9d-43c1-4859-866a-cf56bebf21f6" ipAddress: "172.18.0.3" hostName: "ozone-ha_datanode_3.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "9c363e9d-43c1-4859-866a-cf56bebf21f6" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7190490909882890151 leastSigBits: -8760962153621544458 } } datanode { uuid: "efb75276-8795-426d-8aa7-42b44d4b5919" ipAddress: "172.18.0.5" hostName: "ozone-ha_datanode_1.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "efb75276-8795-426d-8aa7-42b44d4b5919" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1173378508872400275 leastSigBits: -8455716433206486759 } } datanode { uuid: "c911d5fc-9138-44ee-b45f-a3aa20465d73" ipAddress: "172.18.0.9" hostName: "ozone-ha_datanode_2.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "c911d5fc-9138-44ee-b45f-a3aa20465d73" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -3958147316737096466 leastSigBits: -5449457073013760653 } } cmdId: 1652101104823 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2022-05-09 12:58:27,463 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=LIST_PIPELINE null | ret=SUCCESS |  
2022-05-09 12:58:27,786 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=LIST_PIPELINE null | ret=SUCCESS |  
2022-05-09 12:58:28,310 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2022-05-09 12:58:28,454 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=c911d5fc-9138-44ee-b45f-a3aa20465d73, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "56d59259-2faa-4b09-a288-a5a46f60835e" uuid128 { mostSigBits: 6257068169050606345 leastSigBits: -6734951117070761122 } } type: RATIS factor: ONE datanode { uuid: "c911d5fc-9138-44ee-b45f-a3aa20465d73" ipAddress: "172.18.0.9" hostName: "ozone-ha_datanode_2.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "c911d5fc-9138-44ee-b45f-a3aa20465d73" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -3958147316737096466 leastSigBits: -5449457073013760653 } } cmdId: 1652101104821 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "e388dc45-abdb-413b-b3bc-101cd040e39f" uuid128 { mostSigBits: -2051147438473133765 leastSigBits: -5495499729359805537 } } type: RATIS factor: THREE datanode { uuid: "9c363e9d-43c1-4859-866a-cf56bebf21f6" ipAddress: "172.18.0.3" hostName: "ozone-ha_datanode_3.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "9c363e9d-43c1-4859-866a-cf56bebf21f6" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7190490909882890151 leastSigBits: -8760962153621544458 } } datanode { uuid: "efb75276-8795-426d-8aa7-42b44d4b5919" ipAddress: "172.18.0.5" hostName: "ozone-ha_datanode_1.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "efb75276-8795-426d-8aa7-42b44d4b5919" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1173378508872400275 leastSigBits: -8455716433206486759 } } datanode { uuid: "c911d5fc-9138-44ee-b45f-a3aa20465d73" ipAddress: "172.18.0.9" hostName: "ozone-ha_datanode_2.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "c911d5fc-9138-44ee-b45f-a3aa20465d73" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -3958147316737096466 leastSigBits: -5449457073013760653 } } cmdId: 1652101104823 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
