2022-05-15 01:05:18,790 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2022-05-15 01:05:18,806 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=GET_VERSION null | ret=SUCCESS |  
2022-05-15 01:05:18,812 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2022-05-15 01:05:33,870 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=REGISTER {datanodeDetails=cbed84d8-0f59-4d3c-bbdb-b7bff24bbab3{ip: 172.18.0.4, host: ozone-ha_datanode_3.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-05-15 01:05:33,973 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=REGISTER {datanodeDetails=3a59e4ff-068b-44c5-a8b9-49ec127fbf4b{ip: 172.18.0.6, host: ozone-ha_datanode_1.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-05-15 01:05:33,996 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=REGISTER {datanodeDetails=45721feb-6ba1-4d45-b6d5-001d44dea9de{ip: 172.18.0.5, host: ozone-ha_datanode_2.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-05-15 01:05:35,295 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=cbed84d8-0f59-4d3c-bbdb-b7bff24bbab3, command=[]} | ret=SUCCESS |  
2022-05-15 01:05:35,728 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=3a59e4ff-068b-44c5-a8b9-49ec127fbf4b, command=[]} | ret=SUCCESS |  
2022-05-15 01:05:35,963 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=45721feb-6ba1-4d45-b6d5-001d44dea9de, command=[]} | ret=SUCCESS |  
2022-05-15 01:05:37,177 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=3a59e4ff-068b-44c5-a8b9-49ec127fbf4b, command=[]} | ret=SUCCESS |  
2022-05-15 01:05:42,299 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=45721feb-6ba1-4d45-b6d5-001d44dea9de, command=[]} | ret=SUCCESS |  
2022-05-15 01:05:42,396 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=cbed84d8-0f59-4d3c-bbdb-b7bff24bbab3, command=[]} | ret=SUCCESS |  
2022-05-15 01:05:42,575 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=3a59e4ff-068b-44c5-a8b9-49ec127fbf4b, command=[]} | ret=SUCCESS |  
2022-05-15 01:05:47,524 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=45721feb-6ba1-4d45-b6d5-001d44dea9de, command=[]} | ret=SUCCESS |  
2022-05-15 01:05:47,770 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=cbed84d8-0f59-4d3c-bbdb-b7bff24bbab3, command=[]} | ret=SUCCESS |  
2022-05-15 01:05:58,668 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=45721feb-6ba1-4d45-b6d5-001d44dea9de, command=[]} | ret=SUCCESS |  
2022-05-15 01:06:12,458 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=3a59e4ff-068b-44c5-a8b9-49ec127fbf4b, command=[]} | ret=SUCCESS |  
2022-05-15 01:06:17,814 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=cbed84d8-0f59-4d3c-bbdb-b7bff24bbab3, command=[]} | ret=SUCCESS |  
2022-05-15 01:06:28,530 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=45721feb-6ba1-4d45-b6d5-001d44dea9de, command=[]} | ret=SUCCESS |  
2022-05-15 01:06:42,452 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=3a59e4ff-068b-44c5-a8b9-49ec127fbf4b, command=[]} | ret=SUCCESS |  
2022-05-15 01:06:47,799 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=cbed84d8-0f59-4d3c-bbdb-b7bff24bbab3, command=[]} | ret=SUCCESS |  
2022-05-15 01:06:58,536 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=45721feb-6ba1-4d45-b6d5-001d44dea9de, command=[]} | ret=SUCCESS |  
2022-05-15 01:07:12,462 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=3a59e4ff-068b-44c5-a8b9-49ec127fbf4b, command=[]} | ret=SUCCESS |  
2022-05-15 01:07:17,785 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=cbed84d8-0f59-4d3c-bbdb-b7bff24bbab3, command=[]} | ret=SUCCESS |  
2022-05-15 01:07:18,623 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=3a59e4ff-068b-44c5-a8b9-49ec127fbf4b, command=[]} | ret=SUCCESS |  
2022-05-15 01:07:28,523 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=45721feb-6ba1-4d45-b6d5-001d44dea9de, command=[]} | ret=SUCCESS |  
2022-05-15 01:07:29,697 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=3a59e4ff-068b-44c5-a8b9-49ec127fbf4b, command=[]} | ret=SUCCESS |  
2022-05-15 01:07:29,789 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=45721feb-6ba1-4d45-b6d5-001d44dea9de, command=[]} | ret=SUCCESS |  
2022-05-15 01:07:29,887 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=cbed84d8-0f59-4d3c-bbdb-b7bff24bbab3, command=[]} | ret=SUCCESS |  
2022-05-15 01:07:48,765 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=cbed84d8-0f59-4d3c-bbdb-b7bff24bbab3, command=[]} | ret=SUCCESS |  
2022-05-15 01:07:59,638 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=3a59e4ff-068b-44c5-a8b9-49ec127fbf4b, command=[]} | ret=SUCCESS |  
