2022-05-18 13:11:59,224 OK[op=CREATE_KEY, key=key1, user=hadoop] UserProvidedMaterial:false Description:null
2022-05-18 13:26:48,733 OK[op=GET_METADATA, key=key1, user=root] 
2022-05-18 13:26:49,192 OK[op=GENERATE_EEK, key=key1, user=root, accessCount=1, interval=0ms] 
2022-05-18 13:26:56,944 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-05-18 13:27:00,109 OK[op=GENERATE_EEK, key=key1, user=root, accessCount=2, interval=10917ms] 
2022-05-18 13:27:07,108 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=2, interval=10164ms] 
2022-05-18 13:38:15,465 OK[op=GET_METADATA, key=key1, user=root] 
2022-05-18 13:38:25,122 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-05-18 13:38:36,108 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=3, interval=10987ms] 
2022-05-18 13:38:47,108 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=13, interval=21987ms] 
2022-05-18 13:39:37,184 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-05-18 13:39:47,439 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=8, interval=10255ms] 
2022-05-18 13:39:47,441 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=2ms] 
2022-05-18 13:39:58,108 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=5, interval=20924ms] 
2022-05-18 13:40:08,594 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=9, interval=31410ms] 
2022-05-18 13:40:08,595 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-05-18 13:40:19,108 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=9, interval=41924ms] 
2022-05-18 13:40:30,108 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=9, interval=52924ms] 
2022-05-18 13:40:41,108 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=3, interval=63924ms] 
2022-05-18 13:40:52,718 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=1ms] 
2022-05-18 13:41:03,108 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=3, interval=10391ms] 
2022-05-18 13:41:14,108 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=3, interval=21391ms] 
2022-05-18 13:41:24,544 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=31827ms] 
2022-05-18 13:41:24,544 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-05-18 13:41:35,108 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=12, interval=42391ms] 
