2022-05-26 01:05:51,027 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=GET_SCM_INFO null | ret=SUCCESS |  
2022-05-26 01:05:51,308 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2022-05-26 01:05:51,308 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=GET_VERSION null | ret=SUCCESS |  
2022-05-26 01:05:51,394 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=GET_VERSION null | ret=SUCCESS |  
2022-05-26 01:05:51,395 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2022-05-26 01:05:51,421 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2022-05-26 01:05:53,113 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=REGISTER {datanodeDetails=b5e1483c-ebb9-498e-a44e-4515565c9d24{ip: 172.18.0.10, host: 7024807109c5, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-05-26 01:05:53,117 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=REGISTER {datanodeDetails=721d1d78-174e-4dd4-936e-6859c499c84f{ip: 172.18.0.5, host: c8a79df5c93e, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-05-26 01:05:53,434 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=REGISTER {datanodeDetails=e46a1bbe-e562-4784-9a6f-2deccc427e1c{ip: 172.18.0.8, host: c507ff835106, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-05-26 01:05:53,759 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2022-05-26 01:05:53,765 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=LIST_PIPELINE null | ret=SUCCESS |  
2022-05-26 01:05:54,329 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=REGISTER {datanodeDetails=2be2bee5-ecd9-4fa1-a110-ba145793cf0e{ip: 172.18.0.7, host: 681065714d33, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-05-26 01:05:54,397 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=REGISTER {datanodeDetails=d7686c69-635e-457e-8e8f-07644a51ff20{ip: 172.18.0.6, host: 18dce4922e37, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-05-26 01:05:55,599 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=LIST_PIPELINE null | ret=SUCCESS |  
2022-05-26 01:05:55,918 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=b5e1483c-ebb9-498e-a44e-4515565c9d24, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "145ad96c-a522-4b36-826d-daa235bc216a" uuid128 { mostSigBits: 1466723689312701238 leastSigBits: -9048335686096379542 } } type: RATIS factor: ONE datanode { uuid: "b5e1483c-ebb9-498e-a44e-4515565c9d24" ipAddress: "172.18.0.10" hostName: "ozone_datanode_3.ozone_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "b5e1483c-ebb9-498e-a44e-4515565c9d24" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -5340908256594671218 leastSigBits: -6607267645360399068 } } cmdId: 1653527153300 priority: 1 } term: -1 encodedToken: "" ]} | ret=SUCCESS |  
2022-05-26 01:05:55,920 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=721d1d78-174e-4dd4-936e-6859c499c84f, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "68c59c69-dae7-4101-b8fc-077f32109339" uuid128 { mostSigBits: 7549612328814592257 leastSigBits: -5117206833717537991 } } type: RATIS factor: ONE datanode { uuid: "721d1d78-174e-4dd4-936e-6859c499c84f" ipAddress: "172.18.0.5" hostName: "ozone_datanode_4.ozone_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "721d1d78-174e-4dd4-936e-6859c499c84f" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 8222760896272682452 leastSigBits: -7823200767936182193 } } cmdId: 1653527153301 priority: 1 } term: -1 encodedToken: "" ]} | ret=SUCCESS |  
2022-05-26 01:05:55,958 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=e46a1bbe-e562-4784-9a6f-2deccc427e1c, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "a3378ff3-88dc-477f-b903-bab429b63205" uuid128 { mostSigBits: -6685716845672249473 leastSigBits: -5115039468806065659 } } type: RATIS factor: ONE datanode { uuid: "e46a1bbe-e562-4784-9a6f-2deccc427e1c" ipAddress: "172.18.0.8" hostName: "ozone_datanode_1.ozone_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "e46a1bbe-e562-4784-9a6f-2deccc427e1c" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1987745778824493180 leastSigBits: -7318580374391325156 } } cmdId: 1653527153302 priority: 1 } term: -1 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "9b193c0e-0b26-4a92-ad2f-597366b13b21" uuid128 { mostSigBits: -7270714092398687598 leastSigBits: -5967452629063615711 } } type: RATIS factor: THREE datanode { uuid: "b5e1483c-ebb9-498e-a44e-4515565c9d24" ipAddress: "172.18.0.10" hostName: "ozone_datanode_3.ozone_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "b5e1483c-ebb9-498e-a44e-4515565c9d24" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -5340908256594671218 leastSigBits: -6607267645360399068 } } datanode { uuid: "721d1d78-174e-4dd4-936e-6859c499c84f" ipAddress: "172.18.0.5" hostName: "ozone_datanode_4.ozone_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "721d1d78-174e-4dd4-936e-6859c499c84f" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 8222760896272682452 leastSigBits: -7823200767936182193 } } datanode { uuid: "e46a1bbe-e562-4784-9a6f-2deccc427e1c" ipAddress: "172.18.0.8" hostName: "ozone_datanode_1.ozone_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "e46a1bbe-e562-4784-9a6f-2deccc427e1c" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1987745778824493180 leastSigBits: -7318580374391325156 } } cmdId: 1653527153305 priority: 1 priority: 0 priority: 0 } term: -1 encodedToken: "" ]} | ret=SUCCESS |  
2022-05-26 01:05:56,142 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=2be2bee5-ecd9-4fa1-a110-ba145793cf0e, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "bc267102-390f-421e-a738-51a90e6cdfa6" uuid128 { mostSigBits: -4889096091102920162 leastSigBits: -6397273484146450522 } } type: RATIS factor: ONE datanode { uuid: "2be2bee5-ecd9-4fa1-a110-ba145793cf0e" ipAddress: "172.18.0.7" hostName: "ozone_datanode_5.ozone_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "2be2bee5-ecd9-4fa1-a110-ba145793cf0e" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 3162299783097962401 leastSigBits: -6840763237444366578 } } cmdId: 1653527153303 priority: 1 } term: -1 encodedToken: "" ]} | ret=SUCCESS |  
2022-05-26 01:05:56,382 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=d7686c69-635e-457e-8e8f-07644a51ff20, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "37c4f257-be83-46ef-b9e7-66865dcf6355" uuid128 { mostSigBits: 4018603226193676015 leastSigBits: -5050955729787198635 } } type: RATIS factor: ONE datanode { uuid: "d7686c69-635e-457e-8e8f-07644a51ff20" ipAddress: "172.18.0.6" hostName: "ozone_datanode_2.ozone_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "d7686c69-635e-457e-8e8f-07644a51ff20" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -2924968758082648706 leastSigBits: -8174306671329149152 } } cmdId: 1653527153304 priority: 1 } term: -1 encodedToken: "" ]} | ret=SUCCESS |  
2022-05-26 01:05:57,682 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=2be2bee5-ecd9-4fa1-a110-ba145793cf0e, command=[]} | ret=SUCCESS |  
2022-05-26 01:05:57,712 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=d7686c69-635e-457e-8e8f-07644a51ff20, command=[]} | ret=SUCCESS |  
