2022-06-03 13:02:44,100 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2022-06-03 13:02:44,118 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2022-06-03 13:02:44,111 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=GET_VERSION null | ret=SUCCESS |  
2022-06-03 13:02:45,064 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=REGISTER {datanodeDetails=af01e939-7b3e-4643-9853-49e959cde270{ip: 172.18.0.4, host: ozone-ha_datanode_3.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-06-03 13:02:45,199 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=REGISTER {datanodeDetails=be3d0336-b7e3-468f-ab11-f02bf539a6eb{ip: 172.18.0.7, host: ozone-ha_datanode_2.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-06-03 13:02:45,919 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=REGISTER {datanodeDetails=81c79ec5-2b9d-49d6-8f9a-919b8308eb92{ip: 172.18.0.3, host: ozone-ha_datanode_1.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-06-03 13:02:46,847 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=af01e939-7b3e-4643-9853-49e959cde270, command=[]} | ret=SUCCESS |  
2022-06-03 13:02:47,147 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=be3d0336-b7e3-468f-ab11-f02bf539a6eb, command=[]} | ret=SUCCESS |  
2022-06-03 13:02:47,983 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=SEND_HEARTBEAT {datanodeUUID=81c79ec5-2b9d-49d6-8f9a-919b8308eb92, command=[]} | ret=SUCCESS |  
2022-06-03 13:02:48,317 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=af01e939-7b3e-4643-9853-49e959cde270, command=[]} | ret=SUCCESS |  
2022-06-03 13:02:49,159 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=be3d0336-b7e3-468f-ab11-f02bf539a6eb, command=[]} | ret=SUCCESS |  
2022-06-03 13:02:49,778 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=SEND_HEARTBEAT {datanodeUUID=81c79ec5-2b9d-49d6-8f9a-919b8308eb92, command=[]} | ret=SUCCESS |  
2022-06-03 13:02:53,272 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=af01e939-7b3e-4643-9853-49e959cde270, command=[]} | ret=SUCCESS |  
2022-06-03 13:02:53,885 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=be3d0336-b7e3-468f-ab11-f02bf539a6eb, command=[]} | ret=SUCCESS |  
2022-06-03 13:02:54,898 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=SEND_HEARTBEAT {datanodeUUID=81c79ec5-2b9d-49d6-8f9a-919b8308eb92, command=[]} | ret=SUCCESS |  
2022-06-03 13:03:01,035 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=SEND_HEARTBEAT {datanodeUUID=81c79ec5-2b9d-49d6-8f9a-919b8308eb92, command=[]} | ret=SUCCESS |  
2022-06-03 13:03:23,303 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=af01e939-7b3e-4643-9853-49e959cde270, command=[]} | ret=SUCCESS |  
2022-06-03 13:03:23,891 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=be3d0336-b7e3-468f-ab11-f02bf539a6eb, command=[]} | ret=SUCCESS |  
2022-06-03 13:03:31,011 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=SEND_HEARTBEAT {datanodeUUID=81c79ec5-2b9d-49d6-8f9a-919b8308eb92, command=[]} | ret=SUCCESS |  
2022-06-03 13:03:53,299 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=af01e939-7b3e-4643-9853-49e959cde270, command=[]} | ret=SUCCESS |  
2022-06-03 13:03:53,910 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=be3d0336-b7e3-468f-ab11-f02bf539a6eb, command=[]} | ret=SUCCESS |  
