2022-06-20 13:04:08,842 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=GET_VERSION null | ret=SUCCESS |  
2022-06-20 13:04:08,847 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2022-06-20 13:04:08,847 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2022-06-20 13:04:08,850 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2022-06-20 13:04:08,856 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=GET_VERSION null | ret=SUCCESS |  
2022-06-20 13:04:08,856 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2022-06-20 13:04:15,336 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=REGISTER {datanodeDetails=b70afbfb-cdc7-4244-9424-85becb1c3d74{ip: 172.18.0.4, host: ozone-ha_datanode_3.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-06-20 13:04:16,277 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=REGISTER {datanodeDetails=e6e31330-3ebe-47d4-a696-855bf1c55839{ip: 172.18.0.2, host: ozone-ha_datanode_2.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-06-20 13:04:16,895 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=b70afbfb-cdc7-4244-9424-85becb1c3d74, command=[]} | ret=SUCCESS |  
2022-06-20 13:04:17,254 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=REGISTER {datanodeDetails=514b87a0-70b6-48a5-ad73-95c06af6a20b{ip: 172.18.0.5, host: ozone-ha_datanode_1.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-06-20 13:04:17,715 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {datanodeUUID=e6e31330-3ebe-47d4-a696-855bf1c55839, command=[]} | ret=SUCCESS |  
2022-06-20 13:04:18,087 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=b70afbfb-cdc7-4244-9424-85becb1c3d74, command=[]} | ret=SUCCESS |  
2022-06-20 13:04:18,562 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {datanodeUUID=e6e31330-3ebe-47d4-a696-855bf1c55839, command=[]} | ret=SUCCESS |  
2022-06-20 13:04:18,750 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=514b87a0-70b6-48a5-ad73-95c06af6a20b, command=[]} | ret=SUCCESS |  
2022-06-20 13:04:19,850 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=514b87a0-70b6-48a5-ad73-95c06af6a20b, command=[]} | ret=SUCCESS |  
2022-06-20 13:04:23,200 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=b70afbfb-cdc7-4244-9424-85becb1c3d74, command=[]} | ret=SUCCESS |  
2022-06-20 13:04:23,370 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {datanodeUUID=e6e31330-3ebe-47d4-a696-855bf1c55839, command=[]} | ret=SUCCESS |  
2022-06-20 13:04:23,928 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=b70afbfb-cdc7-4244-9424-85becb1c3d74, command=[]} | ret=SUCCESS |  
2022-06-20 13:04:24,867 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=514b87a0-70b6-48a5-ad73-95c06af6a20b, command=[]} | ret=SUCCESS |  
2022-06-20 13:04:53,391 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {datanodeUUID=e6e31330-3ebe-47d4-a696-855bf1c55839, command=[]} | ret=SUCCESS |  
2022-06-20 13:04:53,924 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=b70afbfb-cdc7-4244-9424-85becb1c3d74, command=[]} | ret=SUCCESS |  
2022-06-20 13:04:54,876 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=514b87a0-70b6-48a5-ad73-95c06af6a20b, command=[]} | ret=SUCCESS |  
2022-06-20 13:05:23,400 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {datanodeUUID=e6e31330-3ebe-47d4-a696-855bf1c55839, command=[]} | ret=SUCCESS |  
2022-06-20 13:05:23,944 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=b70afbfb-cdc7-4244-9424-85becb1c3d74, command=[]} | ret=SUCCESS |  
