2022-06-24 08:08:19,773 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=GET_VERSION null | ret=SUCCESS |  
2022-06-24 08:08:19,772 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2022-06-24 08:08:19,774 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2022-06-24 08:08:19,799 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=GET_VERSION null | ret=SUCCESS |  
2022-06-24 08:08:19,809 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2022-06-24 08:08:24,962 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=REGISTER {datanodeDetails=13f8a68a-4445-4926-bdfc-d1c7a6da7833{ip: 172.18.0.11, host: ozone-ha_datanode_3.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-06-24 08:08:25,920 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=REGISTER {datanodeDetails=737dd391-51db-4a88-b4ca-7abd4e9d7c9a{ip: 172.18.0.5, host: ozone-ha_datanode_1.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-06-24 08:08:26,382 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=REGISTER {datanodeDetails=04227bbe-d45b-4e73-b9c4-6b2faa2d58f5{ip: 172.18.0.12, host: ozone-ha_datanode_2.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-06-24 08:08:26,632 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=13f8a68a-4445-4926-bdfc-d1c7a6da7833, command=[]} | ret=SUCCESS |  
2022-06-24 08:08:27,585 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=737dd391-51db-4a88-b4ca-7abd4e9d7c9a, command=[]} | ret=SUCCESS |  
2022-06-24 08:08:27,799 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=13f8a68a-4445-4926-bdfc-d1c7a6da7833, command=[]} | ret=SUCCESS |  
2022-06-24 08:08:28,056 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=04227bbe-d45b-4e73-b9c4-6b2faa2d58f5, command=[]} | ret=SUCCESS |  
2022-06-24 08:08:28,720 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=737dd391-51db-4a88-b4ca-7abd4e9d7c9a, command=[]} | ret=SUCCESS |  
2022-06-24 08:08:29,107 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=04227bbe-d45b-4e73-b9c4-6b2faa2d58f5, command=[]} | ret=SUCCESS |  
2022-06-24 08:08:32,592 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=13f8a68a-4445-4926-bdfc-d1c7a6da7833, command=[]} | ret=SUCCESS |  
2022-06-24 08:08:33,298 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=13f8a68a-4445-4926-bdfc-d1c7a6da7833, command=[]} | ret=SUCCESS |  
2022-06-24 08:08:33,791 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=737dd391-51db-4a88-b4ca-7abd4e9d7c9a, command=[]} | ret=SUCCESS |  
2022-06-24 08:08:34,194 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=04227bbe-d45b-4e73-b9c4-6b2faa2d58f5, command=[]} | ret=SUCCESS |  
2022-06-24 08:09:03,320 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=13f8a68a-4445-4926-bdfc-d1c7a6da7833, command=[]} | ret=SUCCESS |  
2022-06-24 08:09:03,802 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=737dd391-51db-4a88-b4ca-7abd4e9d7c9a, command=[]} | ret=SUCCESS |  
2022-06-24 08:09:04,178 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=04227bbe-d45b-4e73-b9c4-6b2faa2d58f5, command=[]} | ret=SUCCESS |  
2022-06-24 08:09:33,318 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=13f8a68a-4445-4926-bdfc-d1c7a6da7833, command=[]} | ret=SUCCESS |  
2022-06-24 08:09:33,804 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=737dd391-51db-4a88-b4ca-7abd4e9d7c9a, command=[]} | ret=SUCCESS |  
2022-06-24 08:09:34,184 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=04227bbe-d45b-4e73-b9c4-6b2faa2d58f5, command=[]} | ret=SUCCESS |  
2022-06-24 08:09:58,440 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=737dd391-51db-4a88-b4ca-7abd4e9d7c9a, command=[]} | ret=SUCCESS |  
2022-06-24 08:10:03,304 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=13f8a68a-4445-4926-bdfc-d1c7a6da7833, command=[]} | ret=SUCCESS |  
2022-06-24 08:10:04,183 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=04227bbe-d45b-4e73-b9c4-6b2faa2d58f5, command=[]} | ret=SUCCESS |  
2022-06-24 08:10:09,162 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=737dd391-51db-4a88-b4ca-7abd4e9d7c9a, command=[]} | ret=SUCCESS |  
2022-06-24 08:10:09,196 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=13f8a68a-4445-4926-bdfc-d1c7a6da7833, command=[]} | ret=SUCCESS |  
2022-06-24 08:10:09,329 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=04227bbe-d45b-4e73-b9c4-6b2faa2d58f5, command=[]} | ret=SUCCESS |  
2022-06-24 08:10:26,164 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=13f8a68a-4445-4926-bdfc-d1c7a6da7833, command=[]} | ret=SUCCESS |  
2022-06-24 08:10:39,140 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=737dd391-51db-4a88-b4ca-7abd4e9d7c9a, command=[]} | ret=SUCCESS |  
2022-06-24 08:10:39,324 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=04227bbe-d45b-4e73-b9c4-6b2faa2d58f5, command=[]} | ret=SUCCESS |  
2022-06-24 08:10:56,127 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=13f8a68a-4445-4926-bdfc-d1c7a6da7833, command=[]} | ret=SUCCESS |  
2022-06-24 08:11:09,144 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=737dd391-51db-4a88-b4ca-7abd4e9d7c9a, command=[]} | ret=SUCCESS |  
2022-06-24 08:11:09,316 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=04227bbe-d45b-4e73-b9c4-6b2faa2d58f5, command=[]} | ret=SUCCESS |  
2022-06-24 08:11:26,132 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=13f8a68a-4445-4926-bdfc-d1c7a6da7833, command=[]} | ret=SUCCESS |  
2022-06-24 08:11:39,142 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=737dd391-51db-4a88-b4ca-7abd4e9d7c9a, command=[]} | ret=SUCCESS |  
2022-06-24 08:11:39,322 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=04227bbe-d45b-4e73-b9c4-6b2faa2d58f5, command=[]} | ret=SUCCESS |  
2022-06-24 08:11:56,148 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=13f8a68a-4445-4926-bdfc-d1c7a6da7833, command=[]} | ret=SUCCESS |  
2022-06-24 08:12:09,140 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=737dd391-51db-4a88-b4ca-7abd4e9d7c9a, command=[]} | ret=SUCCESS |  
2022-06-24 08:12:09,325 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=04227bbe-d45b-4e73-b9c4-6b2faa2d58f5, command=[]} | ret=SUCCESS |  
2022-06-24 08:12:21,845 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=04227bbe-d45b-4e73-b9c4-6b2faa2d58f5, command=[]} | ret=SUCCESS |  
2022-06-24 08:12:21,886 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=737dd391-51db-4a88-b4ca-7abd4e9d7c9a, command=[]} | ret=SUCCESS |  
2022-06-24 08:12:21,914 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=13f8a68a-4445-4926-bdfc-d1c7a6da7833, command=[]} | ret=SUCCESS |  
2022-06-24 08:12:32,069 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=13f8a68a-4445-4926-bdfc-d1c7a6da7833, command=[]} | ret=SUCCESS |  
2022-06-24 08:12:32,087 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=737dd391-51db-4a88-b4ca-7abd4e9d7c9a, command=[]} | ret=SUCCESS |  
2022-06-24 08:12:32,130 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=04227bbe-d45b-4e73-b9c4-6b2faa2d58f5, command=[]} | ret=SUCCESS |  
2022-06-24 08:13:02,028 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=13f8a68a-4445-4926-bdfc-d1c7a6da7833, command=[]} | ret=SUCCESS |  
2022-06-24 08:13:02,032 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=737dd391-51db-4a88-b4ca-7abd4e9d7c9a, command=[]} | ret=SUCCESS |  
2022-06-24 08:13:02,054 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=04227bbe-d45b-4e73-b9c4-6b2faa2d58f5, command=[]} | ret=SUCCESS |  
2022-06-24 08:13:32,040 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=04227bbe-d45b-4e73-b9c4-6b2faa2d58f5, command=[]} | ret=SUCCESS |  
2022-06-24 08:13:32,044 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=737dd391-51db-4a88-b4ca-7abd4e9d7c9a, command=[]} | ret=SUCCESS |  
2022-06-24 08:13:32,046 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=13f8a68a-4445-4926-bdfc-d1c7a6da7833, command=[]} | ret=SUCCESS |  
2022-06-24 08:14:02,063 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=737dd391-51db-4a88-b4ca-7abd4e9d7c9a, command=[]} | ret=SUCCESS |  
2022-06-24 08:14:02,076 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=04227bbe-d45b-4e73-b9c4-6b2faa2d58f5, command=[]} | ret=SUCCESS |  
2022-06-24 08:14:02,085 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=13f8a68a-4445-4926-bdfc-d1c7a6da7833, command=[]} | ret=SUCCESS |  
2022-06-24 08:14:32,017 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=13f8a68a-4445-4926-bdfc-d1c7a6da7833, command=[]} | ret=SUCCESS |  
2022-06-24 08:14:32,043 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=737dd391-51db-4a88-b4ca-7abd4e9d7c9a, command=[]} | ret=SUCCESS |  
2022-06-24 08:14:32,055 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=04227bbe-d45b-4e73-b9c4-6b2faa2d58f5, command=[]} | ret=SUCCESS |  
2022-06-24 08:15:02,033 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=13f8a68a-4445-4926-bdfc-d1c7a6da7833, command=[]} | ret=SUCCESS |  
