2022-06-24 08:07:52,091 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2022-06-24 08:07:52,091 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2022-06-24 08:07:52,091 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=GET_VERSION null | ret=SUCCESS |  
2022-06-24 08:07:52,568 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2022-06-24 08:07:52,914 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=REGISTER {datanodeDetails=13f8a68a-4445-4926-bdfc-d1c7a6da7833{ip: 172.18.0.11, host: 740f5ba47009, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-06-24 08:07:53,914 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=REGISTER {datanodeDetails=737dd391-51db-4a88-b4ca-7abd4e9d7c9a{ip: 172.18.0.5, host: 91953dc1f176, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-06-24 08:07:54,330 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=REGISTER {datanodeDetails=04227bbe-d45b-4e73-b9c4-6b2faa2d58f5{ip: 172.18.0.12, host: 546493a603d6, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-06-24 08:07:54,872 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=13f8a68a-4445-4926-bdfc-d1c7a6da7833, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "c7b3e878-a0ca-4b5f-a231-c25bd13d96f8" uuid128 { mostSigBits: -4056643234539353249 leastSigBits: -6759407866098116872 } } type: RATIS factor: ONE datanode { uuid: "13f8a68a-4445-4926-bdfc-d1c7a6da7833" ipAddress: "172.18.0.11" hostName: "ozone-ha_datanode_3.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "13f8a68a-4445-4926-bdfc-d1c7a6da7833" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 1439083193725962534 leastSigBits: -4756696450982053837 } } cmdId: 1656058072903 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "b01a1154-3395-48eb-adc5-2b1fc931520a" uuid128 { mostSigBits: -5757270120299411221 leastSigBits: -5925282319216586230 } } type: RATIS factor: THREE datanode { uuid: "04227bbe-d45b-4e73-b9c4-6b2faa2d58f5" ipAddress: "172.18.0.12" hostName: "ozone-ha_datanode_2.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "04227bbe-d45b-4e73-b9c4-6b2faa2d58f5" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 297936584896630387 leastSigBits: -5060802228794861323 } } datanode { uuid: "737dd391-51db-4a88-b4ca-7abd4e9d7c9a" ipAddress: "172.18.0.5" hostName: "ozone-ha_datanode_1.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "737dd391-51db-4a88-b4ca-7abd4e9d7c9a" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 8322040307547589256 leastSigBits: -5419384248100619110 } } datanode { uuid: "13f8a68a-4445-4926-bdfc-d1c7a6da7833" ipAddress: "172.18.0.11" hostName: "ozone-ha_datanode_3.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "13f8a68a-4445-4926-bdfc-d1c7a6da7833" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 1439083193725962534 leastSigBits: -4756696450982053837 } } cmdId: 1656058072906 priority: 0 priority: 0 priority: 1 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2022-06-24 08:07:55,899 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=737dd391-51db-4a88-b4ca-7abd4e9d7c9a, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "35a4d0c3-889e-436c-9d92-a5364d633ba3" uuid128 { mostSigBits: 3865443918420001644 leastSigBits: -7092424810509943901 } } type: RATIS factor: ONE datanode { uuid: "737dd391-51db-4a88-b4ca-7abd4e9d7c9a" ipAddress: "172.18.0.5" hostName: "ozone-ha_datanode_1.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "737dd391-51db-4a88-b4ca-7abd4e9d7c9a" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 8322040307547589256 leastSigBits: -5419384248100619110 } } cmdId: 1656058072904 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "b01a1154-3395-48eb-adc5-2b1fc931520a" uuid128 { mostSigBits: -5757270120299411221 leastSigBits: -5925282319216586230 } } type: RATIS factor: THREE datanode { uuid: "04227bbe-d45b-4e73-b9c4-6b2faa2d58f5" ipAddress: "172.18.0.12" hostName: "ozone-ha_datanode_2.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "04227bbe-d45b-4e73-b9c4-6b2faa2d58f5" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 297936584896630387 leastSigBits: -5060802228794861323 } } datanode { uuid: "737dd391-51db-4a88-b4ca-7abd4e9d7c9a" ipAddress: "172.18.0.5" hostName: "ozone-ha_datanode_1.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "737dd391-51db-4a88-b4ca-7abd4e9d7c9a" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 8322040307547589256 leastSigBits: -5419384248100619110 } } datanode { uuid: "13f8a68a-4445-4926-bdfc-d1c7a6da7833" ipAddress: "172.18.0.11" hostName: "ozone-ha_datanode_3.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "13f8a68a-4445-4926-bdfc-d1c7a6da7833" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 1439083193725962534 leastSigBits: -4756696450982053837 } } cmdId: 1656058072906 priority: 0 priority: 0 priority: 1 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2022-06-24 08:07:55,947 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=GET_SCM_INFO null | ret=SUCCESS |  
2022-06-24 08:07:56,243 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=LIST_PIPELINE null | ret=SUCCESS |  
