2022-07-11 23:36:11,535 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=GET_VERSION null | ret=SUCCESS |  
2022-07-11 23:36:11,535 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2022-07-11 23:36:11,536 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2022-07-11 23:36:11,608 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2022-07-11 23:36:11,536 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=GET_VERSION null | ret=SUCCESS |  
2022-07-11 23:36:11,991 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=GET_SCM_INFO null | ret=SUCCESS |  
2022-07-11 23:36:12,589 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=REGISTER {datanodeDetails=a78bea46-d4dc-424b-a370-b52f0a44c781{ip: 172.18.0.3, host: 9064df194aa8, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-07-11 23:36:13,302 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=REGISTER {datanodeDetails=ec1971fb-10ea-4d63-92cd-f8f656515563{ip: 172.18.0.5, host: 1928910006dc, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-07-11 23:36:13,889 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=REGISTER {datanodeDetails=ec65978c-7eb6-429f-bd7c-5e74b9612aba{ip: 172.18.0.8, host: 14163ae90fba, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-07-11 23:36:14,622 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=SEND_HEARTBEAT {datanodeUUID=a78bea46-d4dc-424b-a370-b52f0a44c781, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "3b418eef-8991-40e7-a44e-f23ca2c972c6" uuid128 { mostSigBits: 4269851081180266727 leastSigBits: -6607077261062868282 } } type: RATIS factor: ONE datanode { uuid: "a78bea46-d4dc-424b-a370-b52f0a44c781" ipAddress: "172.18.0.3" hostName: "ozone-ha_datanode_2.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "a78bea46-d4dc-424b-a370-b52f0a44c781" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -6373743257672990133 leastSigBits: -6669631834495334527 } } cmdId: 1657582572612 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "3cadf85a-1e7c-4769-b76a-6efc5b63201e" uuid128 { mostSigBits: 4372423879188825961 leastSigBits: -5230245987093372898 } } type: RATIS factor: THREE datanode { uuid: "ec65978c-7eb6-429f-bd7c-5e74b9612aba" ipAddress: "172.18.0.8" hostName: "ozone-ha_datanode_3.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "ec65978c-7eb6-429f-bd7c-5e74b9612aba" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1412556278433693025 leastSigBits: -4792852048009680198 } } datanode { uuid: "a78bea46-d4dc-424b-a370-b52f0a44c781" ipAddress: "172.18.0.3" hostName: "ozone-ha_datanode_2.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "a78bea46-d4dc-424b-a370-b52f0a44c781" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -6373743257672990133 leastSigBits: -6669631834495334527 } } datanode { uuid: "ec1971fb-10ea-4d63-92cd-f8f656515563" ipAddress: "172.18.0.5" hostName: "ozone-ha_datanode_1.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "ec1971fb-10ea-4d63-92cd-f8f656515563" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1433989683206271645 leastSigBits: -7868359237052574365 } } cmdId: 1657582572615 priority: 0 priority: 1 priority: 0 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2022-07-11 23:36:15,309 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=ec1971fb-10ea-4d63-92cd-f8f656515563, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "01c27c13-a43a-4fb4-a3e5-22428de62f60" uuid128 { mostSigBits: 126800163321302964 leastSigBits: -6636860806616699040 } } type: RATIS factor: ONE datanode { uuid: "ec1971fb-10ea-4d63-92cd-f8f656515563" ipAddress: "172.18.0.5" hostName: "ozone-ha_datanode_1.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "ec1971fb-10ea-4d63-92cd-f8f656515563" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1433989683206271645 leastSigBits: -7868359237052574365 } } cmdId: 1657582572613 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "3cadf85a-1e7c-4769-b76a-6efc5b63201e" uuid128 { mostSigBits: 4372423879188825961 leastSigBits: -5230245987093372898 } } type: RATIS factor: THREE datanode { uuid: "ec65978c-7eb6-429f-bd7c-5e74b9612aba" ipAddress: "172.18.0.8" hostName: "ozone-ha_datanode_3.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "ec65978c-7eb6-429f-bd7c-5e74b9612aba" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1412556278433693025 leastSigBits: -4792852048009680198 } } datanode { uuid: "a78bea46-d4dc-424b-a370-b52f0a44c781" ipAddress: "172.18.0.3" hostName: "ozone-ha_datanode_2.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "a78bea46-d4dc-424b-a370-b52f0a44c781" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -6373743257672990133 leastSigBits: -6669631834495334527 } } datanode { uuid: "ec1971fb-10ea-4d63-92cd-f8f656515563" ipAddress: "172.18.0.5" hostName: "ozone-ha_datanode_1.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "ec1971fb-10ea-4d63-92cd-f8f656515563" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1433989683206271645 leastSigBits: -7868359237052574365 } } cmdId: 1657582572615 priority: 0 priority: 1 priority: 0 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
