2022-07-12 01:04:04,010 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=GET_VERSION null | ret=SUCCESS |  
2022-07-12 01:04:04,012 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=GET_VERSION null | ret=SUCCESS |  
2022-07-12 01:04:04,019 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2022-07-12 01:04:04,037 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=GET_VERSION null | ret=SUCCESS |  
2022-07-12 01:04:04,558 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2022-07-12 01:04:04,567 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=LIST_PIPELINE null | ret=SUCCESS |  
2022-07-12 01:04:05,026 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=LIST_PIPELINE null | ret=SUCCESS |  
2022-07-12 01:04:05,525 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=REGISTER {datanodeDetails=0b6b604b-9ba3-4fce-8d7c-11e0841c4805{ip: 172.18.0.10, host: a53ef5a95ea9, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-07-12 01:04:05,863 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=REGISTER {datanodeDetails=4d2c9709-a7c7-40eb-b976-bb36bec8ab6e{ip: 172.18.0.8, host: 9d7613acadd9, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-07-12 01:04:05,874 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=REGISTER {datanodeDetails=d2316fbd-5754-4048-992d-6a7acc48e694{ip: 172.18.0.9, host: f5e02e34cd8a, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-07-12 01:04:07,621 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=0b6b604b-9ba3-4fce-8d7c-11e0841c4805, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "47a74490-b105-4d89-89a7-9c35456f058b" uuid128 { mostSigBits: 5163170886039457161 leastSigBits: -8527675616790641269 } } type: RATIS factor: ONE datanode { uuid: "0b6b604b-9ba3-4fce-8d7c-11e0841c4805" ipAddress: "172.18.0.10" hostName: "ozone-ha_datanode_3.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "0b6b604b-9ba3-4fce-8d7c-11e0841c4805" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 822857234775232462 leastSigBits: -8251700761262798843 } } cmdId: 1657587845523 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "00b5b883-459b-44b9-ba4b-cf23c8e60164" uuid128 { mostSigBits: 51149844732658873 leastSigBits: -5022693206800334492 } } type: RATIS factor: THREE datanode { uuid: "d2316fbd-5754-4048-992d-6a7acc48e694" ipAddress: "172.18.0.9" hostName: "ozone-ha_datanode_2.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "d2316fbd-5754-4048-992d-6a7acc48e694" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -3300734192881221560 leastSigBits: -7409148736308713836 } } datanode { uuid: "4d2c9709-a7c7-40eb-b976-bb36bec8ab6e" ipAddress: "172.18.0.8" hostName: "ozone-ha_datanode_1.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "4d2c9709-a7c7-40eb-b976-bb36bec8ab6e" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 5560985707621073131 leastSigBits: -5082669285637575826 } } datanode { uuid: "0b6b604b-9ba3-4fce-8d7c-11e0841c4805" ipAddress: "172.18.0.10" hostName: "ozone-ha_datanode_3.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "0b6b604b-9ba3-4fce-8d7c-11e0841c4805" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 822857234775232462 leastSigBits: -8251700761262798843 } } cmdId: 1657587845525 priority: 0 priority: 1 priority: 0 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2022-07-12 01:04:07,776 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=GET_SCM_INFO null | ret=SUCCESS |  
2022-07-12 01:04:07,874 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=4d2c9709-a7c7-40eb-b976-bb36bec8ab6e, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "00b5b883-459b-44b9-ba4b-cf23c8e60164" uuid128 { mostSigBits: 51149844732658873 leastSigBits: -5022693206800334492 } } type: RATIS factor: THREE datanode { uuid: "d2316fbd-5754-4048-992d-6a7acc48e694" ipAddress: "172.18.0.9" hostName: "ozone-ha_datanode_2.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "d2316fbd-5754-4048-992d-6a7acc48e694" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -3300734192881221560 leastSigBits: -7409148736308713836 } } datanode { uuid: "4d2c9709-a7c7-40eb-b976-bb36bec8ab6e" ipAddress: "172.18.0.8" hostName: "ozone-ha_datanode_1.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "4d2c9709-a7c7-40eb-b976-bb36bec8ab6e" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 5560985707621073131 leastSigBits: -5082669285637575826 } } datanode { uuid: "0b6b604b-9ba3-4fce-8d7c-11e0841c4805" ipAddress: "172.18.0.10" hostName: "ozone-ha_datanode_3.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "0b6b604b-9ba3-4fce-8d7c-11e0841c4805" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 822857234775232462 leastSigBits: -8251700761262798843 } } cmdId: 1657587845525 priority: 0 priority: 1 priority: 0 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "731a6400-b850-4781-9516-2c3659fabe8f" uuid128 { mostSigBits: 8294051618011236225 leastSigBits: -7703921500621193585 } } type: RATIS factor: ONE datanode { uuid: "4d2c9709-a7c7-40eb-b976-bb36bec8ab6e" ipAddress: "172.18.0.8" hostName: "ozone-ha_datanode_1.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "4d2c9709-a7c7-40eb-b976-bb36bec8ab6e" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 5560985707621073131 leastSigBits: -5082669285637575826 } } cmdId: 1657587845526 priority: 1 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
