2022-07-14 11:53:29,238 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=GET_VERSION null | ret=SUCCESS |  
2022-07-14 11:53:29,270 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=GET_VERSION null | ret=SUCCESS |  
2022-07-14 11:53:29,286 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2022-07-14 11:53:29,293 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2022-07-14 11:53:29,297 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=GET_VERSION null | ret=SUCCESS |  
2022-07-14 11:53:29,321 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=GET_VERSION null | ret=SUCCESS |  
2022-07-14 11:53:32,005 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=REGISTER {datanodeDetails=f380460c-15cf-4379-a116-51caa0db892b{ip: 172.18.0.6, host: ozone-ha_datanode_3.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-07-14 11:53:32,256 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=REGISTER {datanodeDetails=349bedc3-dbb2-40fc-8bae-2e77175e04a8{ip: 172.18.0.4, host: ozone-ha_datanode_1.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-07-14 11:53:32,421 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=REGISTER {datanodeDetails=6d558da4-8a87-4f04-ba04-244b13bd463d{ip: 172.18.0.2, host: ozone-ha_datanode_2.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-07-14 11:53:33,755 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=f380460c-15cf-4379-a116-51caa0db892b, command=[]} | ret=SUCCESS |  
2022-07-14 11:53:34,194 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=349bedc3-dbb2-40fc-8bae-2e77175e04a8, command=[]} | ret=SUCCESS |  
2022-07-14 11:53:34,600 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {datanodeUUID=6d558da4-8a87-4f04-ba04-244b13bd463d, command=[]} | ret=SUCCESS |  
2022-07-14 11:53:34,843 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=f380460c-15cf-4379-a116-51caa0db892b, command=[]} | ret=SUCCESS |  
2022-07-14 11:53:35,765 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=349bedc3-dbb2-40fc-8bae-2e77175e04a8, command=[]} | ret=SUCCESS |  
2022-07-14 11:53:36,016 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {datanodeUUID=6d558da4-8a87-4f04-ba04-244b13bd463d, command=[]} | ret=SUCCESS |  
2022-07-14 11:53:39,857 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=f380460c-15cf-4379-a116-51caa0db892b, command=[]} | ret=SUCCESS |  
2022-07-14 11:53:40,605 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=f380460c-15cf-4379-a116-51caa0db892b, command=[]} | ret=SUCCESS |  
2022-07-14 11:53:40,757 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=349bedc3-dbb2-40fc-8bae-2e77175e04a8, command=[]} | ret=SUCCESS |  
2022-07-14 11:53:40,901 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {datanodeUUID=6d558da4-8a87-4f04-ba04-244b13bd463d, command=[]} | ret=SUCCESS |  
2022-07-14 11:54:10,592 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=f380460c-15cf-4379-a116-51caa0db892b, command=[]} | ret=SUCCESS |  
2022-07-14 11:54:10,757 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=349bedc3-dbb2-40fc-8bae-2e77175e04a8, command=[]} | ret=SUCCESS |  
2022-07-14 11:54:10,906 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {datanodeUUID=6d558da4-8a87-4f04-ba04-244b13bd463d, command=[]} | ret=SUCCESS |  
2022-07-14 11:54:40,570 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=f380460c-15cf-4379-a116-51caa0db892b, command=[]} | ret=SUCCESS |  
