2022-07-22 13:11:17,068 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2022-07-22 13:11:17,009 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2022-07-22 13:11:17,012 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2022-07-22 13:11:17,012 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2022-07-22 13:11:17,049 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=GET_VERSION null | ret=SUCCESS |  
2022-07-22 13:11:17,070 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=GET_VERSION null | ret=SUCCESS |  
2022-07-22 13:11:23,897 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=REGISTER {datanodeDetails=4982e54c-86b0-4abd-a0ca-879ec891231a{ip: 172.18.0.10, host: ozone-ha_datanode_1.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-07-22 13:11:24,171 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=REGISTER {datanodeDetails=7fc3e937-3ed5-4b47-bcb8-f1db2d3a2a36{ip: 172.18.0.4, host: ozone-ha_datanode_2.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-07-22 13:11:24,852 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=REGISTER {datanodeDetails=985bf9ac-f18a-45e0-943b-5800f3ca64af{ip: 172.18.0.7, host: ozone-ha_datanode_3.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-07-22 13:11:25,397 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=4982e54c-86b0-4abd-a0ca-879ec891231a, command=[]} | ret=SUCCESS |  
2022-07-22 13:11:26,119 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=7fc3e937-3ed5-4b47-bcb8-f1db2d3a2a36, command=[]} | ret=SUCCESS |  
2022-07-22 13:11:26,657 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=4982e54c-86b0-4abd-a0ca-879ec891231a, command=[]} | ret=SUCCESS |  
2022-07-22 13:11:26,904 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=985bf9ac-f18a-45e0-943b-5800f3ca64af, command=[]} | ret=SUCCESS |  
2022-07-22 13:11:27,685 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=7fc3e937-3ed5-4b47-bcb8-f1db2d3a2a36, command=[]} | ret=SUCCESS |  
2022-07-22 13:11:28,217 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=985bf9ac-f18a-45e0-943b-5800f3ca64af, command=[]} | ret=SUCCESS |  
2022-07-22 13:11:31,562 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=4982e54c-86b0-4abd-a0ca-879ec891231a, command=[]} | ret=SUCCESS |  
2022-07-22 13:11:32,537 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=7fc3e937-3ed5-4b47-bcb8-f1db2d3a2a36, command=[]} | ret=SUCCESS |  
2022-07-22 13:11:32,985 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=985bf9ac-f18a-45e0-943b-5800f3ca64af, command=[]} | ret=SUCCESS |  
2022-07-22 13:11:37,725 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=985bf9ac-f18a-45e0-943b-5800f3ca64af, command=[]} | ret=SUCCESS |  
2022-07-22 13:12:01,544 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=4982e54c-86b0-4abd-a0ca-879ec891231a, command=[]} | ret=SUCCESS |  
2022-07-22 13:12:02,505 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=7fc3e937-3ed5-4b47-bcb8-f1db2d3a2a36, command=[]} | ret=SUCCESS |  
2022-07-22 13:12:07,712 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=985bf9ac-f18a-45e0-943b-5800f3ca64af, command=[]} | ret=SUCCESS |  
2022-07-22 13:12:31,553 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=4982e54c-86b0-4abd-a0ca-879ec891231a, command=[]} | ret=SUCCESS |  
2022-07-22 13:12:32,521 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=7fc3e937-3ed5-4b47-bcb8-f1db2d3a2a36, command=[]} | ret=SUCCESS |  
2022-07-22 13:12:37,739 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=985bf9ac-f18a-45e0-943b-5800f3ca64af, command=[]} | ret=SUCCESS |  
