2022-07-23 15:45:52,854 OK[op=CREATE_KEY, key=key1, user=hadoop] UserProvidedMaterial:false Description:null
2022-07-23 16:04:36,163 OK[op=GET_METADATA, key=key1, user=om] 
2022-07-23 16:04:36,504 OK[op=GENERATE_EEK, key=key1, user=om, accessCount=1, interval=0ms] 
2022-07-23 16:04:45,948 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-07-23 16:04:47,416 OK[op=GENERATE_EEK, key=key1, user=om, accessCount=2, interval=10912ms] 
2022-07-23 16:04:56,414 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=2, interval=10466ms] 
2022-07-23 16:19:58,739 OK[op=GET_METADATA, key=key1, user=om] 
2022-07-23 16:20:10,365 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-07-23 16:20:20,414 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=3, interval=10049ms] 
2022-07-23 16:20:31,414 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=13, interval=21049ms] 
2022-07-23 16:21:42,502 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-07-23 16:21:53,414 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=7, interval=10912ms] 
2022-07-23 16:22:04,358 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=6, interval=21856ms] 
2022-07-23 16:22:04,360 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=2ms] 
2022-07-23 16:22:14,414 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=5, interval=31912ms] 
2022-07-23 16:22:25,253 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=10, interval=42751ms] 
2022-07-23 16:22:25,254 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-07-23 16:22:35,414 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=11, interval=52912ms] 
2022-07-23 16:22:46,414 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=63912ms] 
2022-07-23 16:22:57,414 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=3, interval=74912ms] 
2022-07-23 16:23:07,620 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-07-23 16:23:18,414 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=3, interval=10794ms] 
2022-07-23 16:23:29,291 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-07-23 16:23:39,414 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=10123ms] 
2022-07-23 16:23:50,414 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=3, interval=21123ms] 
2022-07-23 16:24:00,690 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=3, interval=31399ms] 
2022-07-23 16:24:00,690 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=1, interval=0ms] 
2022-07-23 16:24:11,414 OK[op=DECRYPT_EEK, key=key1, user=testuser, accessCount=10, interval=42123ms] 
