2022-07-26 06:56:30,890 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2022-07-26 06:56:30,940 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2022-07-26 06:56:30,891 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2022-07-26 06:56:30,940 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2022-07-26 06:56:30,950 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=GET_VERSION null | ret=SUCCESS |  
2022-07-26 06:56:30,933 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=GET_VERSION null | ret=SUCCESS |  
2022-07-26 06:56:35,487 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=REGISTER {datanodeDetails=e4916749-41e7-411b-afe8-427ba9ec152e{ip: 172.18.0.3, host: ozone-ha_datanode_2.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-07-26 06:56:35,494 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=REGISTER {datanodeDetails=a1ae0f69-29d5-4828-a0e0-f8f7c50e5bb2{ip: 172.18.0.8, host: ozone-ha_datanode_1.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-07-26 06:56:35,614 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=REGISTER {datanodeDetails=f186931b-71d3-45df-99c4-c2bf78158436{ip: 172.18.0.4, host: ozone-ha_datanode_3.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-07-26 06:56:37,717 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=a1ae0f69-29d5-4828-a0e0-f8f7c50e5bb2, command=[]} | ret=SUCCESS |  
2022-07-26 06:56:37,828 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=SEND_HEARTBEAT {datanodeUUID=e4916749-41e7-411b-afe8-427ba9ec152e, command=[]} | ret=SUCCESS |  
2022-07-26 06:56:38,090 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=f186931b-71d3-45df-99c4-c2bf78158436, command=[]} | ret=SUCCESS |  
2022-07-26 06:56:39,619 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=a1ae0f69-29d5-4828-a0e0-f8f7c50e5bb2, command=[]} | ret=SUCCESS |  
2022-07-26 06:56:44,588 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=a1ae0f69-29d5-4828-a0e0-f8f7c50e5bb2, command=[]} | ret=SUCCESS |  
2022-07-26 06:56:44,778 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=SEND_HEARTBEAT {datanodeUUID=e4916749-41e7-411b-afe8-427ba9ec152e, command=[]} | ret=SUCCESS |  
2022-07-26 06:56:45,087 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=f186931b-71d3-45df-99c4-c2bf78158436, command=[]} | ret=SUCCESS |  
2022-07-26 06:56:50,337 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=SEND_HEARTBEAT {datanodeUUID=e4916749-41e7-411b-afe8-427ba9ec152e, command=[]} | ret=SUCCESS |  
