2022-08-09 15:48:13,086 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2022-08-09 15:48:13,085 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2022-08-09 15:48:13,086 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2022-08-09 15:48:13,146 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2022-08-09 15:48:13,813 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=REGISTER {datanodeDetails=5234c9ba-4bb1-400f-9a93-f81afacd4814{ip: 172.18.0.7, host: 973810d7f0c9, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-08-09 15:48:13,935 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=REGISTER {datanodeDetails=5b3cc844-047e-4d2e-b598-264dc2023341{ip: 172.18.0.5, host: e1c3c2e1d36d, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-08-09 15:48:14,701 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=LIST_PIPELINE null | ret=SUCCESS |  
2022-08-09 15:48:14,890 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=GET_SCM_INFO null | ret=SUCCESS |  
2022-08-09 15:48:14,965 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=LIST_PIPELINE null | ret=SUCCESS |  
2022-08-09 15:48:15,450 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=REGISTER {datanodeDetails=eb77a004-1f73-437d-9039-bc6da2273b4c{ip: 172.18.0.8, host: 6b95f39d1b1a, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-08-09 15:48:15,886 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=5234c9ba-4bb1-400f-9a93-f81afacd4814, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "66a0f8f2-89f5-4df5-9070-5a9126d55729" uuid128 { mostSigBits: 7395184308722683381 leastSigBits: -8038825755388061911 } } type: RATIS factor: ONE datanode { uuid: "5234c9ba-4bb1-400f-9a93-f81afacd4814" ipAddress: "172.18.0.7" hostName: "ozone-ha_datanode_3.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "5234c9ba-4bb1-400f-9a93-f81afacd4814" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 5923581211870052367 leastSigBits: -7308224975531587564 } } cmdId: 1660060093829 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "b1b8d676-371f-4d64-820f-bc8f5d2fa48c" uuid128 { mostSigBits: -5640522730062262940 leastSigBits: -9074827400198511476 } } type: RATIS factor: THREE datanode { uuid: "5b3cc844-047e-4d2e-b598-264dc2023341" ipAddress: "172.18.0.5" hostName: "ozone-ha_datanode_1.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "5b3cc844-047e-4d2e-b598-264dc2023341" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 6574349750512799022 leastSigBits: -5361493240975314111 } } datanode { uuid: "eb77a004-1f73-437d-9039-bc6da2273b4c" ipAddress: "172.18.0.8" hostName: "ozone-ha_datanode_2.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "eb77a004-1f73-437d-9039-bc6da2273b4c" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1479538012999957635 leastSigBits: -8054199279517484212 } } datanode { uuid: "5234c9ba-4bb1-400f-9a93-f81afacd4814" ipAddress: "172.18.0.7" hostName: "ozone-ha_datanode_3.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "5234c9ba-4bb1-400f-9a93-f81afacd4814" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 5923581211870052367 leastSigBits: -7308224975531587564 } } cmdId: 1660060093832 priority: 0 priority: 0 priority: 1 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
