2022-08-22 01:06:37,709 | INFO  | OMAudit | user=hadoop | ip=172.18.0.12 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2022-08-22 01:06:37,695 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2022-08-22 01:06:42,763 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2022-08-22 01:06:42,927 | ERROR | OMAudit | user=hadoop | ip=172.18.0.3 | op=READ_VOLUME {volume=78710-without-scheme} | ret=FAILURE | VOLUME_NOT_FOUND org.apache.hadoop.ozone.om.exceptions.OMException: Volume 78710-without-scheme is not found
	at org.apache.hadoop.ozone.om.VolumeManagerImpl.getVolumeInfo(VolumeManagerImpl.java:74)
	at org.apache.hadoop.ozone.om.OzoneManager.getVolumeInfo(OzoneManager.java:2604) 
2022-08-22 01:06:45,551 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2022-08-22 01:06:45,867 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=CREATE_VOLUME {admin=hadoop, owner=hadoop, volume=78710-without-scheme, creationTime=1661130405716, modificationTime=1661130405716, quotaInBytes=109951162777600, quotaInNamespace=100, usedNamespace=0, objectID=-9223372036854775552, updateID=1} | ret=SUCCESS |  
2022-08-22 01:06:48,360 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2022-08-22 01:06:48,510 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=LIST_VOLUMES {prevKey=, prefix=, maxKeys=1000, username=hadoop} | ret=SUCCESS |  
2022-08-22 01:06:48,781 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=LIST_VOLUMES {prevKey=78710-without-scheme, prefix=, maxKeys=1000, username=hadoop} | ret=SUCCESS |  
2022-08-22 01:06:51,249 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2022-08-22 01:06:51,389 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=LIST_VOLUMES {prevKey=, prefix=, maxKeys=1000, username=hadoop} | ret=SUCCESS |  
2022-08-22 01:06:51,693 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=LIST_VOLUMES {prevKey=78710-without-scheme, prefix=, maxKeys=1000, username=hadoop} | ret=SUCCESS |  
2022-08-22 01:06:54,102 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2022-08-22 01:06:54,226 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=READ_VOLUME {volume=78710-without-scheme} | ret=SUCCESS |  
2022-08-22 01:06:54,241 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=READ_VOLUME {volume=78710-without-scheme} | ret=SUCCESS |  
2022-08-22 01:06:54,262 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=SET_QUOTA {volume=78710-without-scheme, quotaInBytes=10995116277760} | ret=SUCCESS |  
2022-08-22 01:06:56,850 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2022-08-22 01:06:56,994 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=READ_VOLUME {volume=78710-without-scheme} | ret=SUCCESS |  
2022-08-22 01:06:59,795 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2022-08-22 01:06:59,967 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=READ_VOLUME {volume=78710-without-scheme} | ret=SUCCESS |  
2022-08-22 01:07:00,035 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=CREATE_BUCKET {volume=78710-without-scheme, bucket=bb1, bucketLayout=LEGACY, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:hadoop:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1661130420013, bucketEncryptionKey=null, modificationTime=1661130420013, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-08-22 01:07:02,475 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2022-08-22 01:07:02,630 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=READ_VOLUME {volume=78710-without-scheme} | ret=SUCCESS |  
2022-08-22 01:07:02,651 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=READ_BUCKET {volume=78710-without-scheme, bucket=bb1} | ret=SUCCESS |  
2022-08-22 01:07:05,519 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2022-08-22 01:07:05,641 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=READ_VOLUME {volume=78710-without-scheme} | ret=SUCCESS |  
2022-08-22 01:07:05,659 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=READ_BUCKET {volume=78710-without-scheme, bucket=bb1} | ret=SUCCESS |  
2022-08-22 01:07:08,588 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2022-08-22 01:07:08,723 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=READ_VOLUME {volume=78710-without-scheme} | ret=SUCCESS |  
2022-08-22 01:07:08,732 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=READ_BUCKET {volume=78710-without-scheme, bucket=bb1} | ret=SUCCESS |  
2022-08-22 01:07:11,466 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2022-08-22 01:07:11,587 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=READ_VOLUME {volume=78710-without-scheme} | ret=SUCCESS |  
2022-08-22 01:07:11,598 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=READ_BUCKET {volume=78710-without-scheme, bucket=bb1} | ret=SUCCESS |  
2022-08-22 01:07:11,605 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=READ_BUCKET {volume=78710-without-scheme, bucket=bb1} | ret=SUCCESS |  
2022-08-22 01:07:11,625 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=UPDATE_BUCKET {volume=78710-without-scheme, bucket=bb1, gdprEnabled=null, isVersionEnabled=null} | ret=SUCCESS |  
2022-08-22 01:07:14,027 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
