2022-08-22 17:16:01,890 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-9501752257]} | ret=SUCCESS |  
2022-08-22 17:16:05,003 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-5381946394]} | ret=SUCCESS |  
2022-08-22 17:16:05,818 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_KEY {bucket=[bucket-ozone-test-5381946394], path=[testfile]} | ret=SUCCESS |  
2022-08-22 17:16:07,177 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_KEY {bucket=[bucket-ozone-test-5381946394], path=[dir1/dir2/file]} | ret=SUCCESS |  
2022-08-22 17:16:07,862 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=GET_BUCKET {bucket=[bucket-ozone-test-5381946394], list-type=[2], encoding-type=[url], prefix=[], delimiter=[/]} | ret=SUCCESS |  
2022-08-22 17:16:08,514 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=GET_BUCKET {bucket=[bucket-ozone-test-5381946394], list-type=[2], encoding-type=[url], prefix=[dir1/], delimiter=[/]} | ret=SUCCESS |  
2022-08-22 17:16:09,077 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=GET_BUCKET {bucket=[bucket-ozone-test-5381946394], list-type=[2], encoding-type=[url], prefix=[dir1/dir2/file], delimiter=[/]} | ret=SUCCESS |  
2022-08-22 17:16:09,686 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_KEY {bucket=[bucket-ozone-test-5381946394], path=[specialchars/a+b]} | ret=SUCCESS |  
2022-08-22 17:16:10,338 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=GET_BUCKET {bucket=[bucket-ozone-test-5381946394], list-type=[2], encoding-type=[url], prefix=[specialchars/], delimiter=[/]} | ret=SUCCESS |  
2022-08-22 17:16:13,410 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-3326430241]} | ret=SUCCESS |  
2022-08-22 17:16:13,889 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[ozone-test-ketlvmqyeu]} | ret=SUCCESS |  
2022-08-22 17:16:13,979 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_KEY {bucket=[bucket-ozone-test-3326430241], path=[README3.md]} | ret=SUCCESS |  
2022-08-22 17:16:14,093 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_KEY {bucket=[bucket-ozone-test-3326430241], path=[README4.md]} | ret=SUCCESS |  
2022-08-22 17:16:14,247 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_KEY {bucket=[bucket-ozone-test-3326430241], path=[README10.md]} | ret=SUCCESS |  
2022-08-22 17:16:14,371 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=INIT_MULTIPART_UPLOAD {bucket=[bucket-ozone-test-3326430241], path=[multiUpload.1.gz], uploads=[]} | ret=SUCCESS |  
2022-08-22 17:16:14,941 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_MULTIPART_KEY {bucket=[bucket-ozone-test-3326430241], path=[multiUpload.1.gz], uploadId=[26d37575-8944-4b71-83d0-4a49d3ed672b-108867654408339468], partNumber=[2]} | ret=SUCCESS |  
2022-08-22 17:16:15,227 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_MULTIPART_KEY {bucket=[bucket-ozone-test-3326430241], path=[multiUpload.1.gz], uploadId=[26d37575-8944-4b71-83d0-4a49d3ed672b-108867654408339468], partNumber=[1]} | ret=SUCCESS |  
2022-08-22 17:16:15,394 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=COMPLETE_MULTIPART_UPLOAD {bucket=[bucket-ozone-test-3326430241], path=[multiUpload.1.gz], uploadId=[26d37575-8944-4b71-83d0-4a49d3ed672b-108867654408339468]} | ret=SUCCESS |  
2022-08-22 17:16:15,432 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=INIT_MULTIPART_UPLOAD {bucket=[bucket-ozone-test-3326430241], path=[multiUpload.2.gz], uploads=[]} | ret=SUCCESS |  
2022-08-22 17:16:15,896 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_MULTIPART_KEY {bucket=[bucket-ozone-test-3326430241], path=[multiUpload.2.gz], uploadId=[66b64b6b-7d82-462b-ad5c-7cab07edebab-108867654478790671], partNumber=[2]} | ret=SUCCESS |  
2022-08-22 17:16:16,118 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_MULTIPART_KEY {bucket=[bucket-ozone-test-3326430241], path=[multiUpload.2.gz], uploadId=[66b64b6b-7d82-462b-ad5c-7cab07edebab-108867654478790671], partNumber=[1]} | ret=SUCCESS |  
2022-08-22 17:16:16,152 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=COMPLETE_MULTIPART_UPLOAD {bucket=[bucket-ozone-test-3326430241], path=[multiUpload.2.gz], uploadId=[66b64b6b-7d82-462b-ad5c-7cab07edebab-108867654478790671]} | ret=SUCCESS |  
2022-08-22 17:16:16,197 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[bucket-pktfpzespw]} | ret=SUCCESS |  
2022-08-22 17:16:16,234 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=LIST_S3_BUCKETS {} | ret=SUCCESS |  
2022-08-22 17:16:16,267 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=HEAD_BUCKET {bucket=[bucket-ozone-test-3326430241]} | ret=SUCCESS |  
2022-08-22 17:16:16,295 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=DELETE_BUCKET {bucket=[ozone-test-ketlvmqyeu]} | ret=SUCCESS |  
2022-08-22 17:16:16,349 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_KEY {bucket=[bucket-ozone-test-3326430241], path=[README1.md]} | ret=SUCCESS |  
2022-08-22 17:16:16,441 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=HEAD_KEY {bucket=[bucket-ozone-test-3326430241], path=[README1.md]} | ret=SUCCESS |  
2022-08-22 17:16:16,458 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=HEAD_KEY {bucket=[bucket-ozone-test-3326430241], path=[README10.md]} | ret=SUCCESS |  
