2022-08-23 16:54:19,047 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2022-08-23 16:54:19,058 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=GET_VERSION null | ret=SUCCESS |  
2022-08-23 16:54:19,076 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2022-08-23 16:54:19,072 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2022-08-23 16:54:19,073 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=GET_VERSION null | ret=SUCCESS |  
2022-08-23 16:54:19,103 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2022-08-23 16:54:39,148 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=REGISTER {datanodeDetails=801a555e-5ab4-43c1-b8ee-db46a5bb6911{ip: 172.18.0.6, host: ozone-ha_datanode_3.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-08-23 16:54:39,284 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=REGISTER {datanodeDetails=38f08a7e-a043-4690-8d4f-6bb5f3c4be06{ip: 172.18.0.4, host: ozone-ha_datanode_1.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-08-23 16:54:39,798 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=REGISTER {datanodeDetails=ad364073-5f29-441d-b795-4831f885d30c{ip: 172.18.0.7, host: ozone-ha_datanode_2.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-08-23 16:54:40,493 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=801a555e-5ab4-43c1-b8ee-db46a5bb6911, command=[]} | ret=SUCCESS |  
2022-08-23 16:54:40,689 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=38f08a7e-a043-4690-8d4f-6bb5f3c4be06, command=[]} | ret=SUCCESS |  
2022-08-23 16:54:41,890 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=ad364073-5f29-441d-b795-4831f885d30c, command=[]} | ret=SUCCESS |  
2022-08-23 16:54:42,428 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=38f08a7e-a043-4690-8d4f-6bb5f3c4be06, command=[]} | ret=SUCCESS |  
2022-08-23 16:54:42,933 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=801a555e-5ab4-43c1-b8ee-db46a5bb6911, command=[]} | ret=SUCCESS |  
2022-08-23 16:54:43,491 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=ad364073-5f29-441d-b795-4831f885d30c, command=[]} | ret=SUCCESS |  
2022-08-23 16:54:47,227 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=38f08a7e-a043-4690-8d4f-6bb5f3c4be06, command=[]} | ret=SUCCESS |  
2022-08-23 16:54:47,810 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=801a555e-5ab4-43c1-b8ee-db46a5bb6911, command=[]} | ret=SUCCESS |  
2022-08-23 16:54:48,181 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=ad364073-5f29-441d-b795-4831f885d30c, command=[]} | ret=SUCCESS |  
2022-08-23 16:54:59,739 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=801a555e-5ab4-43c1-b8ee-db46a5bb6911, command=[]} | ret=SUCCESS |  
