2022-08-24 20:46:37,643 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=GET_VERSION null | ret=SUCCESS |  
2022-08-24 20:46:37,673 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2022-08-24 20:46:37,677 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=GET_VERSION null | ret=SUCCESS |  
2022-08-24 20:47:02,143 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=REGISTER {datanodeDetails=13bd2ffe-bb00-4efa-961f-289764cb7884{ip: 172.18.0.6, host: ozone-ha_datanode_1.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-08-24 20:47:02,977 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=REGISTER {datanodeDetails=07653f65-7a12-4783-a1e1-2f3121cecd27{ip: 172.18.0.10, host: ozone-ha_datanode_2.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-08-24 20:47:03,219 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=REGISTER {datanodeDetails=ab8893b6-7e2d-4b3d-8bdd-00b4294d77cd{ip: 172.18.0.5, host: ozone-ha_datanode_3.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-08-24 20:47:03,576 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=13bd2ffe-bb00-4efa-961f-289764cb7884, command=[]} | ret=SUCCESS |  
2022-08-24 20:47:04,467 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=07653f65-7a12-4783-a1e1-2f3121cecd27, command=[]} | ret=SUCCESS |  
2022-08-24 20:47:04,515 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=13bd2ffe-bb00-4efa-961f-289764cb7884, command=[]} | ret=SUCCESS |  
2022-08-24 20:47:04,630 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=ab8893b6-7e2d-4b3d-8bdd-00b4294d77cd, command=[]} | ret=SUCCESS |  
2022-08-24 20:47:05,635 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=07653f65-7a12-4783-a1e1-2f3121cecd27, command=[]} | ret=SUCCESS |  
