2022-08-30 13:14:00,224 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.4 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-1728264390]} | ret=SUCCESS |  
2022-08-30 13:14:02,774 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.4 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-4960816551]} | ret=SUCCESS |  
2022-08-30 13:14:03,632 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.4 | op=CREATE_KEY {bucket=[bucket-ozone-test-4960816551], path=[testfile]} | ret=SUCCESS |  
2022-08-30 13:14:05,023 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.4 | op=CREATE_KEY {bucket=[bucket-ozone-test-4960816551], path=[dir1/dir2/file]} | ret=SUCCESS |  
2022-08-30 13:14:05,694 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.4 | op=GET_BUCKET {bucket=[bucket-ozone-test-4960816551], list-type=[2], encoding-type=[url], prefix=[], delimiter=[/]} | ret=SUCCESS |  
2022-08-30 13:14:06,329 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.4 | op=GET_BUCKET {bucket=[bucket-ozone-test-4960816551], list-type=[2], encoding-type=[url], prefix=[dir1/], delimiter=[/]} | ret=SUCCESS |  
2022-08-30 13:14:06,892 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.4 | op=GET_BUCKET {bucket=[bucket-ozone-test-4960816551], list-type=[2], encoding-type=[url], prefix=[dir1/dir2/file], delimiter=[/]} | ret=SUCCESS |  
2022-08-30 13:14:07,511 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.4 | op=CREATE_KEY {bucket=[bucket-ozone-test-4960816551], path=[specialchars/a+b]} | ret=SUCCESS |  
2022-08-30 13:14:08,182 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.4 | op=GET_BUCKET {bucket=[bucket-ozone-test-4960816551], list-type=[2], encoding-type=[url], prefix=[specialchars/], delimiter=[/]} | ret=SUCCESS |  
2022-08-30 13:14:10,737 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.4 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-1570539265]} | ret=SUCCESS |  
2022-08-30 13:14:11,226 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.4 | op=CREATE_BUCKET {bucket=[ozone-test-rpvfqhlwbi]} | ret=SUCCESS |  
