2022-08-30 13:08:24,689 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=GET_VERSION null | ret=SUCCESS |  
2022-08-30 13:08:24,689 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=GET_VERSION null | ret=SUCCESS |  
2022-08-30 13:08:24,689 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2022-08-30 13:08:24,689 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2022-08-30 13:08:24,689 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=GET_VERSION null | ret=SUCCESS |  
2022-08-30 13:08:24,995 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=GET_SCM_INFO null | ret=SUCCESS |  
2022-08-30 13:08:26,888 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=REGISTER {datanodeDetails=2cfe8535-d90b-4ba5-a343-cda5fd550a68{ip: 172.18.0.6, host: 11b5ad421040, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-08-30 13:08:27,065 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=REGISTER {datanodeDetails=6e2f963a-a5c3-4518-afa3-a26b9b8273f5{ip: 172.18.0.10, host: bb949fcb5678, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-08-30 13:08:27,188 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=REGISTER {datanodeDetails=26a9101d-65f2-41ce-8550-8dd7cfa8e48f{ip: 172.18.0.11, host: fa51dc842b3c, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-08-30 13:08:28,897 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=2cfe8535-d90b-4ba5-a343-cda5fd550a68, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "37b47780-df21-4714-84bc-dd57fd7f40ba" uuid128 { mostSigBits: 4013964563276973844 leastSigBits: -8881980995096592198 } } type: RATIS factor: ONE datanode { uuid: "2cfe8535-d90b-4ba5-a343-cda5fd550a68" ipAddress: "172.18.0.6" hostName: "ozone-ha_datanode_2.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "2cfe8535-d90b-4ba5-a343-cda5fd550a68" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 3242175248074492837 leastSigBits: -6682271309284177304 } } cmdId: 1661864906881 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "21882092-be59-4d88-9755-9bf897f55a03" uuid128 { mostSigBits: 2416217014715108744 leastSigBits: -7541950508958393853 } } type: RATIS factor: THREE datanode { uuid: "26a9101d-65f2-41ce-8550-8dd7cfa8e48f" ipAddress: "172.18.0.11" hostName: "ozone-ha_datanode_1.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "26a9101d-65f2-41ce-8550-8dd7cfa8e48f" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 2785775562955833806 leastSigBits: -8840410110486846321 } } datanode { uuid: "2cfe8535-d90b-4ba5-a343-cda5fd550a68" ipAddress: "172.18.0.6" hostName: "ozone-ha_datanode_2.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "2cfe8535-d90b-4ba5-a343-cda5fd550a68" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 3242175248074492837 leastSigBits: -6682271309284177304 } } datanode { uuid: "6e2f963a-a5c3-4518-afa3-a26b9b8273f5" ipAddress: "172.18.0.10" hostName: "ozone-ha_datanode_3.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "6e2f963a-a5c3-4518-afa3-a26b9b8273f5" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 7939729846710781208 leastSigBits: -5790606112814107659 } } cmdId: 1661864906884 priority: 0 priority: 0 priority: 1 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2022-08-30 13:08:29,036 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=6e2f963a-a5c3-4518-afa3-a26b9b8273f5, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "3653ddc7-d2c5-48bf-85a7-884eb41d33ed" uuid128 { mostSigBits: 3914716351419467967 leastSigBits: -8815927873943817235 } } type: RATIS factor: ONE datanode { uuid: "6e2f963a-a5c3-4518-afa3-a26b9b8273f5" ipAddress: "172.18.0.10" hostName: "ozone-ha_datanode_3.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "6e2f963a-a5c3-4518-afa3-a26b9b8273f5" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 7939729846710781208 leastSigBits: -5790606112814107659 } } cmdId: 1661864906882 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "21882092-be59-4d88-9755-9bf897f55a03" uuid128 { mostSigBits: 2416217014715108744 leastSigBits: -7541950508958393853 } } type: RATIS factor: THREE datanode { uuid: "26a9101d-65f2-41ce-8550-8dd7cfa8e48f" ipAddress: "172.18.0.11" hostName: "ozone-ha_datanode_1.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "26a9101d-65f2-41ce-8550-8dd7cfa8e48f" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 2785775562955833806 leastSigBits: -8840410110486846321 } } datanode { uuid: "2cfe8535-d90b-4ba5-a343-cda5fd550a68" ipAddress: "172.18.0.6" hostName: "ozone-ha_datanode_2.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "2cfe8535-d90b-4ba5-a343-cda5fd550a68" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 3242175248074492837 leastSigBits: -6682271309284177304 } } datanode { uuid: "6e2f963a-a5c3-4518-afa3-a26b9b8273f5" ipAddress: "172.18.0.10" hostName: "ozone-ha_datanode_3.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "6e2f963a-a5c3-4518-afa3-a26b9b8273f5" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 7939729846710781208 leastSigBits: -5790606112814107659 } } cmdId: 1661864906884 priority: 0 priority: 0 priority: 1 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
