2022-09-14 23:00:05,606 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=GET_VERSION null | ret=SUCCESS |  
2022-09-14 23:00:05,607 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2022-09-14 23:00:05,607 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=GET_VERSION null | ret=SUCCESS |  
2022-09-14 23:00:05,607 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2022-09-14 23:00:05,614 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2022-09-14 23:00:06,513 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2022-09-14 23:00:06,951 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=REGISTER {datanodeDetails=9ad9d642-c735-475b-a6dd-e2d376114397{ip: 172.18.0.6, host: 4e60968141a5, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-09-14 23:00:07,312 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=GET_SCM_INFO null | ret=SUCCESS |  
2022-09-14 23:00:07,874 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=REGISTER {datanodeDetails=da44eb74-914b-4224-8eb7-0e9ece0af7da{ip: 172.18.0.5, host: 58ebc2b22d65, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-09-14 23:00:08,078 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=REGISTER {datanodeDetails=f2bd6918-cdc9-44fb-8722-81a98c587003{ip: 172.18.0.7, host: 2be636d66f3b, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-09-14 23:00:09,008 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {datanodeUUID=9ad9d642-c735-475b-a6dd-e2d376114397, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "33a05689-152b-4c41-9a93-434ef4edceac" uuid128 { mostSigBits: 3720068438973697089 leastSigBits: -7308423763896447316 } } type: RATIS factor: ONE datanode { uuid: "9ad9d642-c735-475b-a6dd-e2d376114397" ipAddress: "172.18.0.6" hostName: "ozone-csi_datanode_3.ozone-csi_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "9ad9d642-c735-475b-a6dd-e2d376114397" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7288558939624093861 leastSigBits: -6422728095713639529 } } cmdId: 1663196406972 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "b9b13c95-2f60-4cc3-b007-9de410516f46" uuid128 { mostSigBits: -5066201494372463421 leastSigBits: -5762463595345383610 } } type: RATIS factor: THREE datanode { uuid: "da44eb74-914b-4224-8eb7-0e9ece0af7da" ipAddress: "172.18.0.5" hostName: "ozone-csi_datanode_1.ozone-csi_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "da44eb74-914b-4224-8eb7-0e9ece0af7da" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -2718789389138574812 leastSigBits: -8163039724361287718 } } datanode { uuid: "f2bd6918-cdc9-44fb-8722-81a98c587003" ipAddress: "172.18.0.7" hostName: "ozone-csi_datanode_2.ozone-csi_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "f2bd6918-cdc9-44fb-8722-81a98c587003" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -955491990680025861 leastSigBits: -8709256164177055741 } } datanode { uuid: "9ad9d642-c735-475b-a6dd-e2d376114397" ipAddress: "172.18.0.6" hostName: "ozone-csi_datanode_3.ozone-csi_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "9ad9d642-c735-475b-a6dd-e2d376114397" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7288558939624093861 leastSigBits: -6422728095713639529 } } cmdId: 1663196406975 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "f6a50a3c-5847-4cdf-a954-a3d8469d65b4" uuid128 { mostSigBits: -674121314926637857 leastSigBits: -6245186633963051596 } } type: RATIS factor: THREE datanode { uuid: "da44eb74-914b-4224-8eb7-0e9ece0af7da" ipAddress: "172.18.0.5" hostName: "ozone-csi_datanode_1.ozone-csi_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "da44eb74-914b-4224-8eb7-0e9ece0af7da" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -2718789389138574812 leastSigBits: -8163039724361287718 } } datanode { uuid: "f2bd6918-cdc9-44fb-8722-81a98c587003" ipAddress: "172.18.0.7" hostName: "ozone-csi_datanode_2.ozone-csi_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "f2bd6918-cdc9-44fb-8722-81a98c587003" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -955491990680025861 leastSigBits: -8709256164177055741 } } datanode { uuid: "9ad9d642-c735-475b-a6dd-e2d376114397" ipAddress: "172.18.0.6" hostName: "ozone-csi_datanode_3.ozone-csi_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "9ad9d642-c735-475b-a6dd-e2d376114397" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7288558939624093861 leastSigBits: -6422728095713639529 } } cmdId: 1663196406976 priority: 0 priority: 1 priority: 0 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
