2022-09-14 23:18:19,492 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=GET_SCM_INFO null | ret=SUCCESS |  
2022-09-14 23:18:19,616 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2022-09-14 23:18:19,618 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2022-09-14 23:18:19,620 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=GET_VERSION null | ret=SUCCESS |  
2022-09-14 23:18:19,620 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2022-09-14 23:18:19,638 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2022-09-14 23:18:20,283 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2022-09-14 23:18:20,285 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.15 | op=LIST_PIPELINE null | ret=SUCCESS |  
2022-09-14 23:18:21,022 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.15 | op=LIST_PIPELINE null | ret=SUCCESS |  
2022-09-14 23:18:22,331 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=REGISTER {datanodeDetails=bf2bc1d6-f624-4e80-848a-9509ecff27d2{ip: 10.9.0.13, host: 703b59b81218, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-09-14 23:18:22,347 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=REGISTER {datanodeDetails=0d02e6a6-1da9-489a-b312-15ca850b1b78{ip: 10.9.0.11, host: d48be0d829a3, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-09-14 23:18:22,488 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=REGISTER {datanodeDetails=0c434615-8ebd-460d-96b1-5837cfcafcdb{ip: 10.9.0.12, host: d1d8a614c6df, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-09-14 23:18:24,624 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=0c434615-8ebd-460d-96b1-5837cfcafcdb, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "473b2b12-55ee-4427-8137-256f53dd85e5" uuid128 { mostSigBits: 5132743558069896231 leastSigBits: -9135792159019137563 } } type: RATIS factor: THREE datanode { uuid: "0d02e6a6-1da9-489a-b312-15ca850b1b78" ipAddress: "10.9.0.11" hostName: "restart_dn1_1.restart_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "0d02e6a6-1da9-489a-b312-15ca850b1b78" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 937565273583077530 leastSigBits: -5543344231779984520 } } datanode { uuid: "0c434615-8ebd-460d-96b1-5837cfcafcdb" ipAddress: "10.9.0.12" hostName: "restart_dn2_1.restart_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "0c434615-8ebd-460d-96b1-5837cfcafcdb" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 883627010297775629 leastSigBits: -7588186900409942821 } } datanode { uuid: "bf2bc1d6-f624-4e80-848a-9509ecff27d2" ipAddress: "10.9.0.13" hostName: "restart_dn3_1.restart_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "bf2bc1d6-f624-4e80-848a-9509ecff27d2" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -4671427059470020992 leastSigBits: -8896134244053604398 } } cmdId: 1663197502409 priority: 0 priority: 1 priority: 0 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "6d1334de-12b0-492a-8ed7-c9114ee2d95b" uuid128 { mostSigBits: 7859683903092574506 leastSigBits: -8153827524155877029 } } type: RATIS factor: ONE datanode { uuid: "0c434615-8ebd-460d-96b1-5837cfcafcdb" ipAddress: "10.9.0.12" hostName: "restart_dn2_1.restart_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "0c434615-8ebd-460d-96b1-5837cfcafcdb" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 883627010297775629 leastSigBits: -7588186900409942821 } } cmdId: 1663197502410 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "12d90c8b-e1e8-492d-8ce7-17ca45d2241b" uuid128 { mostSigBits: 1358130557558999341 leastSigBits: -8293634031257246693 } } type: RATIS factor: THREE datanode { uuid: "0c434615-8ebd-460d-96b1-5837cfcafcdb" ipAddress: "10.9.0.12" hostName: "restart_dn2_1.restart_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "0c434615-8ebd-460d-96b1-5837cfcafcdb" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 883627010297775629 leastSigBits: -7588186900409942821 } } datanode { uuid: "0d02e6a6-1da9-489a-b312-15ca850b1b78" ipAddress: "10.9.0.11" hostName: "restart_dn1_1.restart_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "0d02e6a6-1da9-489a-b312-15ca850b1b78" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 937565273583077530 leastSigBits: -5543344231779984520 } } datanode { uuid: "bf2bc1d6-f624-4e80-848a-9509ecff27d2" ipAddress: "10.9.0.13" hostName: "restart_dn3_1.restart_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "bf2bc1d6-f624-4e80-848a-9509ecff27d2" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -4671427059470020992 leastSigBits: -8896134244053604398 } } cmdId: 1663197502411 priority: 0 priority: 1 priority: 0 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
2022-09-14 23:18:24,675 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=bf2bc1d6-f624-4e80-848a-9509ecff27d2, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "cd90b92e-d733-443e-a204-8215d481f41a" uuid128 { mostSigBits: -3634201288457894850 leastSigBits: -6772144909387172838 } } type: RATIS factor: ONE datanode { uuid: "bf2bc1d6-f624-4e80-848a-9509ecff27d2" ipAddress: "10.9.0.13" hostName: "restart_dn3_1.restart_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "bf2bc1d6-f624-4e80-848a-9509ecff27d2" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -4671427059470020992 leastSigBits: -8896134244053604398 } } cmdId: 1663197502408 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "473b2b12-55ee-4427-8137-256f53dd85e5" uuid128 { mostSigBits: 5132743558069896231 leastSigBits: -9135792159019137563 } } type: RATIS factor: THREE datanode { uuid: "0d02e6a6-1da9-489a-b312-15ca850b1b78" ipAddress: "10.9.0.11" hostName: "restart_dn1_1.restart_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "0d02e6a6-1da9-489a-b312-15ca850b1b78" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 937565273583077530 leastSigBits: -5543344231779984520 } } datanode { uuid: "0c434615-8ebd-460d-96b1-5837cfcafcdb" ipAddress: "10.9.0.12" hostName: "restart_dn2_1.restart_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "0c434615-8ebd-460d-96b1-5837cfcafcdb" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 883627010297775629 leastSigBits: -7588186900409942821 } } datanode { uuid: "bf2bc1d6-f624-4e80-848a-9509ecff27d2" ipAddress: "10.9.0.13" hostName: "restart_dn3_1.restart_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "bf2bc1d6-f624-4e80-848a-9509ecff27d2" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -4671427059470020992 leastSigBits: -8896134244053604398 } } cmdId: 1663197502409 priority: 0 priority: 1 priority: 0 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "12d90c8b-e1e8-492d-8ce7-17ca45d2241b" uuid128 { mostSigBits: 1358130557558999341 leastSigBits: -8293634031257246693 } } type: RATIS factor: THREE datanode { uuid: "0c434615-8ebd-460d-96b1-5837cfcafcdb" ipAddress: "10.9.0.12" hostName: "restart_dn2_1.restart_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "0c434615-8ebd-460d-96b1-5837cfcafcdb" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 883627010297775629 leastSigBits: -7588186900409942821 } } datanode { uuid: "0d02e6a6-1da9-489a-b312-15ca850b1b78" ipAddress: "10.9.0.11" hostName: "restart_dn1_1.restart_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "0d02e6a6-1da9-489a-b312-15ca850b1b78" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 937565273583077530 leastSigBits: -5543344231779984520 } } datanode { uuid: "bf2bc1d6-f624-4e80-848a-9509ecff27d2" ipAddress: "10.9.0.13" hostName: "restart_dn3_1.restart_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "bf2bc1d6-f624-4e80-848a-9509ecff27d2" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -4671427059470020992 leastSigBits: -8896134244053604398 } } cmdId: 1663197502411 priority: 0 priority: 1 priority: 0 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
