2022-10-08 01:12:20,667 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-6886498948]} | ret=SUCCESS |  
2022-10-08 01:12:23,583 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-7004401459]} | ret=SUCCESS |  
2022-10-08 01:12:24,616 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=CREATE_KEY {bucket=[bucket-ozone-test-7004401459], path=[testfile]} | ret=SUCCESS |  
2022-10-08 01:12:26,240 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=CREATE_KEY {bucket=[bucket-ozone-test-7004401459], path=[dir1/dir2/file]} | ret=SUCCESS |  
2022-10-08 01:12:27,026 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=GET_BUCKET {bucket=[bucket-ozone-test-7004401459], list-type=[2], encoding-type=[url], prefix=[], delimiter=[/]} | ret=SUCCESS |  
2022-10-08 01:12:27,783 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=GET_BUCKET {bucket=[bucket-ozone-test-7004401459], list-type=[2], encoding-type=[url], prefix=[dir1/], delimiter=[/]} | ret=SUCCESS |  
2022-10-08 01:12:28,416 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=GET_BUCKET {bucket=[bucket-ozone-test-7004401459], list-type=[2], encoding-type=[url], prefix=[dir1/dir2/file], delimiter=[/]} | ret=SUCCESS |  
2022-10-08 01:12:29,099 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=CREATE_KEY {bucket=[bucket-ozone-test-7004401459], path=[specialchars/a+b]} | ret=SUCCESS |  
2022-10-08 01:12:29,852 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=GET_BUCKET {bucket=[bucket-ozone-test-7004401459], list-type=[2], encoding-type=[url], prefix=[specialchars/], delimiter=[/]} | ret=SUCCESS |  
2022-10-08 01:12:32,899 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-1277773749]} | ret=SUCCESS |  
2022-10-08 01:12:33,439 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=CREATE_BUCKET {bucket=[ozone-test-ktoflwigja]} | ret=SUCCESS |  
2022-10-08 01:12:33,492 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=CREATE_KEY {bucket=[bucket-ozone-test-1277773749], path=[README3.md]} | ret=SUCCESS |  
2022-10-08 01:12:33,713 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=CREATE_KEY {bucket=[bucket-ozone-test-1277773749], path=[README4.md]} | ret=SUCCESS |  
2022-10-08 01:12:33,857 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=CREATE_KEY {bucket=[bucket-ozone-test-1277773749], path=[README10.md]} | ret=SUCCESS |  
2022-10-08 01:12:33,984 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.11 | op=INIT_MULTIPART_UPLOAD {bucket=[bucket-ozone-test-1277773749], path=[multiUpload.1.gz], uploads=[]} | ret=SUCCESS |  
