2022-10-19 10:27:17,136 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=GET_VERSION null | ret=SUCCESS |  
2022-10-19 10:27:17,136 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2022-10-19 10:27:17,136 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2022-10-19 10:27:17,770 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=REGISTER {datanodeDetails=01ae37a8-3980-4279-a0b7-9cd8fb93628d{ip: 10.9.0.13, host: bff55d93e20a, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-10-19 10:27:18,475 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=REGISTER {datanodeDetails=5b8ae637-5a4e-4e57-a00b-f55cb13fd674{ip: 10.9.0.11, host: e17e37d98170, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-10-19 10:27:18,732 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.16 | op=GET_SCM_INFO null | ret=SUCCESS |  
2022-10-19 10:27:18,732 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.15 | op=GET_SCM_INFO null | ret=SUCCESS |  
2022-10-19 10:27:18,799 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=GET_SCM_INFO null | ret=SUCCESS |  
2022-10-19 10:27:18,977 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2022-10-19 10:27:19,024 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=REGISTER {datanodeDetails=110ff54c-8002-4851-a6d8-85a963f084fc{ip: 10.9.0.12, host: c1ab5ff72c35, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-10-19 10:27:20,016 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=01ae37a8-3980-4279-a0b7-9cd8fb93628d, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "b6bf8d2a-cbef-4da8-a096-042787e868e4" uuid128 { mostSigBits: -5278345023305331288 leastSigBits: -6875303213304092444 } } type: RATIS factor: ONE datanode { uuid: "01ae37a8-3980-4279-a0b7-9cd8fb93628d" ipAddress: "10.9.0.13" hostName: "ozone-om-prepare_dn3_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "01ae37a8-3980-4279-a0b7-9cd8fb93628d" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 121095435644322425 leastSigBits: -6865846651155422579 } } cmdId: 1666175237779 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "fd4e7949-f28a-4c26-9d80-dc281ef4e950" uuid128 { mostSigBits: -194084375421629402 leastSigBits: -7097430947859732144 } } type: RATIS factor: THREE datanode { uuid: "5b8ae637-5a4e-4e57-a00b-f55cb13fd674" ipAddress: "10.9.0.11" hostName: "ozone-om-prepare_dn1_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "5b8ae637-5a4e-4e57-a00b-f55cb13fd674" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 6596337729650183767 leastSigBits: -6914163024437717388 } } datanode { uuid: "01ae37a8-3980-4279-a0b7-9cd8fb93628d" ipAddress: "10.9.0.13" hostName: "ozone-om-prepare_dn3_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "01ae37a8-3980-4279-a0b7-9cd8fb93628d" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 121095435644322425 leastSigBits: -6865846651155422579 } } datanode { uuid: "110ff54c-8002-4851-a6d8-85a963f084fc" ipAddress: "10.9.0.12" hostName: "ozone-om-prepare_dn2_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "110ff54c-8002-4851-a6d8-85a963f084fc" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 1229470932209387601 leastSigBits: -6424237905871338244 } } cmdId: 1666175237782 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "56500a00-2ff3-4043-b6d1-2d804869a462" uuid128 { mostSigBits: 6219482081319403587 leastSigBits: -5273383659680193438 } } type: RATIS factor: THREE datanode { uuid: "110ff54c-8002-4851-a6d8-85a963f084fc" ipAddress: "10.9.0.12" hostName: "ozone-om-prepare_dn2_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "110ff54c-8002-4851-a6d8-85a963f084fc" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 1229470932209387601 leastSigBits: -6424237905871338244 } } datanode { uuid: "01ae37a8-3980-4279-a0b7-9cd8fb93628d" ipAddress: "10.9.0.13" hostName: "ozone-om-prepare_dn3_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "01ae37a8-3980-4279-a0b7-9cd8fb93628d" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 121095435644322425 leastSigBits: -6865846651155422579 } } datanode { uuid: "5b8ae637-5a4e-4e57-a00b-f55cb13fd674" ipAddress: "10.9.0.11" hostName: "ozone-om-prepare_dn1_1.ozone-om-prepare_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "5b8ae637-5a4e-4e57-a00b-f55cb13fd674" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 6596337729650183767 leastSigBits: -6914163024437717388 } } cmdId: 1666175237783 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
