2022-10-19 10:49:47,464 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2022-10-19 10:49:47,451 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2022-10-19 10:49:47,451 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=GET_VERSION null | ret=SUCCESS |  
2022-10-19 10:49:47,964 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.15 | op=LIST_PIPELINE null | ret=SUCCESS |  
2022-10-19 10:49:48,380 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.15 | op=LIST_PIPELINE null | ret=SUCCESS |  
2022-10-19 10:49:49,184 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=GET_SCM_INFO null | ret=SUCCESS |  
2022-10-19 10:49:49,184 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2022-10-19 10:49:49,247 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=REGISTER {datanodeDetails=6cb0aea5-627e-44e6-a1a4-1ae677bb2403{ip: 10.9.0.12, host: e9a13d25a17b, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-10-19 10:49:49,532 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=REGISTER {datanodeDetails=a9431b04-d65d-42c9-8fb8-95a961de9a96{ip: 10.9.0.13, host: 8f1204f1ebee, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-10-19 10:49:49,695 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=REGISTER {datanodeDetails=3b4bd9a1-50ec-4a5f-a588-b505955c984a{ip: 10.9.0.11, host: 303cf7e3426f, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-10-19 10:49:51,287 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=6cb0aea5-627e-44e6-a1a4-1ae677bb2403, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "fba6f4f8-a81f-46b3-9d1f-c8e1c28bb11f" uuid128 { mostSigBits: -313293775245982029 leastSigBits: -7124755213519703777 } } type: RATIS factor: ONE datanode { uuid: "6cb0aea5-627e-44e6-a1a4-1ae677bb2403" ipAddress: "10.9.0.12" hostName: "restart_dn2_1.restart_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "6cb0aea5-627e-44e6-a1a4-1ae677bb2403" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 7831951777342571750 leastSigBits: -6799279960269052925 } } cmdId: 1666176589241 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "7f815c09-dd52-43c0-91d9-e64c90dc849f" uuid128 { mostSigBits: 9187725912250139584 leastSigBits: -7937059651741514593 } } type: RATIS factor: THREE datanode { uuid: "a9431b04-d65d-42c9-8fb8-95a961de9a96" ipAddress: "10.9.0.13" hostName: "restart_dn3_1.restart_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "a9431b04-d65d-42c9-8fb8-95a961de9a96" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -6250122150269861175 leastSigBits: -8090552175847105898 } } datanode { uuid: "6cb0aea5-627e-44e6-a1a4-1ae677bb2403" ipAddress: "10.9.0.12" hostName: "restart_dn2_1.restart_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "6cb0aea5-627e-44e6-a1a4-1ae677bb2403" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 7831951777342571750 leastSigBits: -6799279960269052925 } } datanode { uuid: "3b4bd9a1-50ec-4a5f-a588-b505955c984a" ipAddress: "10.9.0.11" hostName: "restart_dn1_1.restart_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "3b4bd9a1-50ec-4a5f-a588-b505955c984a" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 4272747958361672287 leastSigBits: -6518761425033455542 } } cmdId: 1666176589244 priority: 0 priority: 0 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "55fe4662-167b-4506-a37e-2401781a1b7b" uuid128 { mostSigBits: 6196467524406297862 leastSigBits: -6665850809733211269 } } type: RATIS factor: THREE datanode { uuid: "a9431b04-d65d-42c9-8fb8-95a961de9a96" ipAddress: "10.9.0.13" hostName: "restart_dn3_1.restart_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "a9431b04-d65d-42c9-8fb8-95a961de9a96" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -6250122150269861175 leastSigBits: -8090552175847105898 } } datanode { uuid: "3b4bd9a1-50ec-4a5f-a588-b505955c984a" ipAddress: "10.9.0.11" hostName: "restart_dn1_1.restart_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "3b4bd9a1-50ec-4a5f-a588-b505955c984a" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 4272747958361672287 leastSigBits: -6518761425033455542 } } datanode { uuid: "6cb0aea5-627e-44e6-a1a4-1ae677bb2403" ipAddress: "10.9.0.12" hostName: "restart_dn2_1.restart_net" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "6cb0aea5-627e-44e6-a1a4-1ae677bb2403" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 7831951777342571750 leastSigBits: -6799279960269052925 } } cmdId: 1666176589245 priority: 0 priority: 0 priority: 1 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
