2022-10-19 21:41:04,951 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=GET_VERSION null | ret=SUCCESS |  
2022-10-19 21:41:04,941 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=GET_VERSION null | ret=SUCCESS |  
2022-10-19 21:41:04,951 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2022-10-19 21:41:04,941 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=GET_VERSION null | ret=SUCCESS |  
2022-10-19 21:41:04,955 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2022-10-19 21:41:05,395 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2022-10-19 21:41:05,523 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=LIST_PIPELINE null | ret=SUCCESS |  
2022-10-19 21:41:05,762 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=LIST_PIPELINE null | ret=SUCCESS |  
2022-10-19 21:41:05,928 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=REGISTER {datanodeDetails=d947211b-4bdd-49dd-ad44-ef87aa805d28{ip: 172.18.0.9, host: eee6588a9ad6, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-10-19 21:41:06,165 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=GET_SCM_INFO null | ret=SUCCESS |  
2022-10-19 21:41:06,584 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=REGISTER {datanodeDetails=9853c923-b2a9-4a6b-8b0f-35860fa7d670{ip: 172.18.0.10, host: 3a27c54c865b, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-10-19 21:41:07,240 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=REGISTER {datanodeDetails=f9e5ff0c-5ce7-4145-9471-c5d263fcd54a{ip: 172.18.0.5, host: 11781492d1b9, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-10-19 21:41:07,977 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=d947211b-4bdd-49dd-ad44-ef87aa805d28, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "0cb1961b-8d5e-4cf7-84f1-8a005ce15b9a" uuid128 { mostSigBits: 914677244412972279 leastSigBits: -8867154457152889958 } } type: RATIS factor: ONE datanode { uuid: "d947211b-4bdd-49dd-ad44-ef87aa805d28" ipAddress: "172.18.0.9" hostName: "ozone-ha_datanode_3.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "d947211b-4bdd-49dd-ad44-ef87aa805d28" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -2790225043012105763 leastSigBits: -5961376640771531480 } } cmdId: 1666215665925 priority: 1 } term: 2 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "d4801ec7-a98f-4b87-bf32-01d9a7fafe86" uuid128 { mostSigBits: -3134471497757799545 leastSigBits: -4669667829292007802 } } type: RATIS factor: THREE datanode { uuid: "f9e5ff0c-5ce7-4145-9471-c5d263fcd54a" ipAddress: "172.18.0.5" hostName: "ozone-ha_datanode_2.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "f9e5ff0c-5ce7-4145-9471-c5d263fcd54a" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -439664960035405499 leastSigBits: -7750195976316594870 } } datanode { uuid: "d947211b-4bdd-49dd-ad44-ef87aa805d28" ipAddress: "172.18.0.9" hostName: "ozone-ha_datanode_3.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "d947211b-4bdd-49dd-ad44-ef87aa805d28" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -2790225043012105763 leastSigBits: -5961376640771531480 } } datanode { uuid: "9853c923-b2a9-4a6b-8b0f-35860fa7d670" ipAddress: "172.18.0.10" hostName: "ozone-ha_datanode_1.ozone-ha_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "9853c923-b2a9-4a6b-8b0f-35860fa7d670" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7470406201719043477 leastSigBits: -8426457527882361232 } } cmdId: 1666215665928 priority: 0 priority: 1 priority: 0 } term: 2 encodedToken: "" ]} | ret=SUCCESS |  
