2022-10-20 01:57:57,157 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2022-10-20 01:57:57,159 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=GET_VERSION null | ret=SUCCESS |  
2022-10-20 01:57:57,166 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=GET_VERSION null | ret=SUCCESS |  
2022-10-20 01:58:19,979 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=REGISTER {datanodeDetails=0f9c11de-a570-4de3-948b-51b9a6de0b0d{ip: 172.18.0.12, host: ozone-ha_datanode_2.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-10-20 01:58:20,926 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=REGISTER {datanodeDetails=41064466-76f1-4937-b747-9e0e7a66e9fc{ip: 172.18.0.10, host: ozone-ha_datanode_1.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-10-20 01:58:21,073 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=REGISTER {datanodeDetails=6ab77b30-359a-4d8a-b93e-18a2b9ec9a37{ip: 172.18.0.7, host: ozone-ha_datanode_3.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-10-20 01:58:21,564 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=0f9c11de-a570-4de3-948b-51b9a6de0b0d, command=[]} | ret=SUCCESS |  
2022-10-20 01:58:21,845 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=0f9c11de-a570-4de3-948b-51b9a6de0b0d, command=[]} | ret=SUCCESS |  
2022-10-20 01:58:22,899 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=41064466-76f1-4937-b747-9e0e7a66e9fc, command=[]} | ret=SUCCESS |  
2022-10-20 01:58:23,077 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=6ab77b30-359a-4d8a-b93e-18a2b9ec9a37, command=[]} | ret=SUCCESS |  
2022-10-20 01:58:23,617 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=41064466-76f1-4937-b747-9e0e7a66e9fc, command=[]} | ret=SUCCESS |  
2022-10-20 01:58:23,849 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=6ab77b30-359a-4d8a-b93e-18a2b9ec9a37, command=[]} | ret=SUCCESS |  
2022-10-20 01:58:26,835 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=0f9c11de-a570-4de3-948b-51b9a6de0b0d, command=[]} | ret=SUCCESS |  
2022-10-20 01:58:28,456 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=6ab77b30-359a-4d8a-b93e-18a2b9ec9a37, command=[]} | ret=SUCCESS |  
2022-10-20 01:58:28,504 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=41064466-76f1-4937-b747-9e0e7a66e9fc, command=[]} | ret=SUCCESS |  
2022-10-20 01:58:32,744 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=6ab77b30-359a-4d8a-b93e-18a2b9ec9a37, command=[]} | ret=SUCCESS |  
2022-10-20 01:58:56,859 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=0f9c11de-a570-4de3-948b-51b9a6de0b0d, command=[]} | ret=SUCCESS |  
2022-10-20 01:58:58,507 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=41064466-76f1-4937-b747-9e0e7a66e9fc, command=[]} | ret=SUCCESS |  
2022-10-20 01:59:02,769 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=6ab77b30-359a-4d8a-b93e-18a2b9ec9a37, command=[]} | ret=SUCCESS |  
2022-10-20 01:59:25,711 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=6ab77b30-359a-4d8a-b93e-18a2b9ec9a37, command=[]} | ret=SUCCESS |  
2022-10-20 01:59:26,876 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=0f9c11de-a570-4de3-948b-51b9a6de0b0d, command=[]} | ret=SUCCESS |  
2022-10-20 01:59:28,513 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=41064466-76f1-4937-b747-9e0e7a66e9fc, command=[]} | ret=SUCCESS |  
2022-10-20 01:59:34,333 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=6ab77b30-359a-4d8a-b93e-18a2b9ec9a37, command=[]} | ret=SUCCESS |  
2022-10-20 01:59:34,418 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=0f9c11de-a570-4de3-948b-51b9a6de0b0d, command=[]} | ret=SUCCESS |  
2022-10-20 01:59:34,524 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=41064466-76f1-4937-b747-9e0e7a66e9fc, command=[]} | ret=SUCCESS |  
2022-10-20 01:59:47,701 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=0f9c11de-a570-4de3-948b-51b9a6de0b0d, command=[]} | ret=SUCCESS |  
2022-10-20 02:00:04,355 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=6ab77b30-359a-4d8a-b93e-18a2b9ec9a37, command=[]} | ret=SUCCESS |  
2022-10-20 02:00:04,525 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=41064466-76f1-4937-b747-9e0e7a66e9fc, command=[]} | ret=SUCCESS |  
2022-10-20 02:00:17,737 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=0f9c11de-a570-4de3-948b-51b9a6de0b0d, command=[]} | ret=SUCCESS |  
2022-10-20 02:00:34,349 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=6ab77b30-359a-4d8a-b93e-18a2b9ec9a37, command=[]} | ret=SUCCESS |  
2022-10-20 02:00:34,533 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=41064466-76f1-4937-b747-9e0e7a66e9fc, command=[]} | ret=SUCCESS |  
2022-10-20 02:00:47,726 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=0f9c11de-a570-4de3-948b-51b9a6de0b0d, command=[]} | ret=SUCCESS |  
2022-10-20 02:01:04,345 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=6ab77b30-359a-4d8a-b93e-18a2b9ec9a37, command=[]} | ret=SUCCESS |  
2022-10-20 02:01:04,523 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=41064466-76f1-4937-b747-9e0e7a66e9fc, command=[]} | ret=SUCCESS |  
2022-10-20 02:01:16,729 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=41064466-76f1-4937-b747-9e0e7a66e9fc, command=[]} | ret=SUCCESS |  
2022-10-20 02:01:16,757 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=6ab77b30-359a-4d8a-b93e-18a2b9ec9a37, command=[]} | ret=SUCCESS |  
2022-10-20 02:01:16,768 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=0f9c11de-a570-4de3-948b-51b9a6de0b0d, command=[]} | ret=SUCCESS |  
2022-10-20 02:01:24,729 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=0f9c11de-a570-4de3-948b-51b9a6de0b0d, command=[]} | ret=SUCCESS |  
2022-10-20 02:01:24,755 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=41064466-76f1-4937-b747-9e0e7a66e9fc, command=[]} | ret=SUCCESS |  
2022-10-20 02:01:24,777 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=6ab77b30-359a-4d8a-b93e-18a2b9ec9a37, command=[]} | ret=SUCCESS |  
2022-10-20 02:01:54,744 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=0f9c11de-a570-4de3-948b-51b9a6de0b0d, command=[]} | ret=SUCCESS |  
2022-10-20 02:01:54,765 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=41064466-76f1-4937-b747-9e0e7a66e9fc, command=[]} | ret=SUCCESS |  
2022-10-20 02:01:54,781 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=6ab77b30-359a-4d8a-b93e-18a2b9ec9a37, command=[]} | ret=SUCCESS |  
2022-10-20 02:02:24,747 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=41064466-76f1-4937-b747-9e0e7a66e9fc, command=[]} | ret=SUCCESS |  
2022-10-20 02:02:24,765 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=0f9c11de-a570-4de3-948b-51b9a6de0b0d, command=[]} | ret=SUCCESS |  
2022-10-20 02:02:24,792 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=6ab77b30-359a-4d8a-b93e-18a2b9ec9a37, command=[]} | ret=SUCCESS |  
2022-10-20 02:02:54,762 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=0f9c11de-a570-4de3-948b-51b9a6de0b0d, command=[]} | ret=SUCCESS |  
2022-10-20 02:02:54,769 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=41064466-76f1-4937-b747-9e0e7a66e9fc, command=[]} | ret=SUCCESS |  
2022-10-20 02:02:54,807 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=6ab77b30-359a-4d8a-b93e-18a2b9ec9a37, command=[]} | ret=SUCCESS |  
2022-10-20 02:03:24,747 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=41064466-76f1-4937-b747-9e0e7a66e9fc, command=[]} | ret=SUCCESS |  
2022-10-20 02:03:24,764 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=0f9c11de-a570-4de3-948b-51b9a6de0b0d, command=[]} | ret=SUCCESS |  
2022-10-20 02:03:24,807 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=6ab77b30-359a-4d8a-b93e-18a2b9ec9a37, command=[]} | ret=SUCCESS |  
2022-10-20 02:03:54,759 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=41064466-76f1-4937-b747-9e0e7a66e9fc, command=[]} | ret=SUCCESS |  
2022-10-20 02:03:54,769 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=0f9c11de-a570-4de3-948b-51b9a6de0b0d, command=[]} | ret=SUCCESS |  
2022-10-20 02:03:54,787 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=6ab77b30-359a-4d8a-b93e-18a2b9ec9a37, command=[]} | ret=SUCCESS |  
2022-10-20 02:04:24,760 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=41064466-76f1-4937-b747-9e0e7a66e9fc, command=[]} | ret=SUCCESS |  
2022-10-20 02:04:24,778 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=0f9c11de-a570-4de3-948b-51b9a6de0b0d, command=[]} | ret=SUCCESS |  
2022-10-20 02:04:24,797 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=6ab77b30-359a-4d8a-b93e-18a2b9ec9a37, command=[]} | ret=SUCCESS |  
2022-10-20 02:04:54,739 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=41064466-76f1-4937-b747-9e0e7a66e9fc, command=[]} | ret=SUCCESS |  
2022-10-20 02:04:54,773 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=0f9c11de-a570-4de3-948b-51b9a6de0b0d, command=[]} | ret=SUCCESS |  
2022-10-20 02:04:54,792 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=6ab77b30-359a-4d8a-b93e-18a2b9ec9a37, command=[]} | ret=SUCCESS |  
2022-10-20 02:05:24,753 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=0f9c11de-a570-4de3-948b-51b9a6de0b0d, command=[]} | ret=SUCCESS |  
2022-10-20 02:05:24,755 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=41064466-76f1-4937-b747-9e0e7a66e9fc, command=[]} | ret=SUCCESS |  
2022-10-20 02:05:24,804 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=6ab77b30-359a-4d8a-b93e-18a2b9ec9a37, command=[]} | ret=SUCCESS |  
2022-10-20 02:05:36,405 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=41064466-76f1-4937-b747-9e0e7a66e9fc, command=[]} | ret=SUCCESS |  
2022-10-20 02:05:36,482 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=0f9c11de-a570-4de3-948b-51b9a6de0b0d, command=[]} | ret=SUCCESS |  
2022-10-20 02:05:54,806 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=6ab77b30-359a-4d8a-b93e-18a2b9ec9a37, command=[]} | ret=SUCCESS |  
2022-10-20 02:06:06,383 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=41064466-76f1-4937-b747-9e0e7a66e9fc, command=[]} | ret=SUCCESS |  
2022-10-20 02:06:06,414 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=0f9c11de-a570-4de3-948b-51b9a6de0b0d, command=[]} | ret=SUCCESS |  
2022-10-20 02:06:24,793 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=6ab77b30-359a-4d8a-b93e-18a2b9ec9a37, command=[]} | ret=SUCCESS |  
2022-10-20 02:06:36,401 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=41064466-76f1-4937-b747-9e0e7a66e9fc, command=[]} | ret=SUCCESS |  
2022-10-20 02:06:36,425 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=0f9c11de-a570-4de3-948b-51b9a6de0b0d, command=[]} | ret=SUCCESS |  
