2022-10-23 13:31:38,282 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2022-10-23 13:31:38,299 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=GET_VERSION null | ret=SUCCESS |  
2022-10-23 13:31:38,282 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2022-10-23 13:31:38,282 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=GET_VERSION null | ret=SUCCESS |  
2022-10-23 13:31:38,299 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2022-10-23 13:31:38,336 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2022-10-23 13:31:39,004 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=GET_SCM_INFO null | ret=SUCCESS |  
2022-10-23 13:31:39,573 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2022-10-23 13:31:39,996 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.15 | op=LIST_PIPELINE null | ret=SUCCESS |  
2022-10-23 13:31:40,589 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.15 | op=LIST_PIPELINE null | ret=SUCCESS |  
2022-10-23 13:31:41,180 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=REGISTER {datanodeDetails=9490fed2-fdc6-4f7a-ae64-eb7063dd0881{ip: 10.9.0.13, host: 37e26e77cc39, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: IN_SERVICE, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-10-23 13:31:41,215 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=REGISTER {datanodeDetails=ca8c9d2f-d2fd-4034-b0fa-c78752283c40{ip: 10.9.0.12, host: 4fbe732e176c, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: IN_SERVICE, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-10-23 13:31:41,218 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=REGISTER {datanodeDetails=dc822890-b7df-47f1-928c-8d85cf2b755a{ip: 10.9.0.11, host: 4c2c64bb8571, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: IN_SERVICE, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-10-23 13:31:42,746 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=9490fed2-fdc6-4f7a-ae64-eb7063dd0881, command=[]} | ret=SUCCESS |  
2022-10-23 13:31:42,921 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=ca8c9d2f-d2fd-4034-b0fa-c78752283c40, command=[]} | ret=SUCCESS |  
2022-10-23 13:31:42,937 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=dc822890-b7df-47f1-928c-8d85cf2b755a, command=[]} | ret=SUCCESS |  
2022-10-23 13:31:45,221 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=ca8c9d2f-d2fd-4034-b0fa-c78752283c40, command=[]} | ret=SUCCESS |  
2022-10-23 13:31:45,452 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=dc822890-b7df-47f1-928c-8d85cf2b755a, command=[]} | ret=SUCCESS |  
2022-10-23 13:31:45,643 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=9490fed2-fdc6-4f7a-ae64-eb7063dd0881, command=[]} | ret=SUCCESS |  
2022-10-23 13:31:49,478 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2022-10-23 13:31:52,779 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=dc822890-b7df-47f1-928c-8d85cf2b755a, command=[]} | ret=SUCCESS |  
2022-10-23 13:31:56,040 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=GET_CONTAINER_WITH_PIPELINE_BATCH {containerIDs=#1,} | ret=SUCCESS |  
2022-10-23 13:31:56,208 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=GET_CONTAINER_WITH_PIPELINE_BATCH {containerIDs=#1,} | ret=SUCCESS |  
2022-10-23 13:31:57,898 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=GET_CONTAINER_WITH_PIPELINE_BATCH {containerIDs=#1,} | ret=SUCCESS |  
2022-10-23 13:31:58,022 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=9490fed2-fdc6-4f7a-ae64-eb7063dd0881, command=[]} | ret=SUCCESS |  
2022-10-23 13:32:08,173 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=LIST_PIPELINE null | ret=SUCCESS |  
2022-10-23 13:32:15,237 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=ca8c9d2f-d2fd-4034-b0fa-c78752283c40, command=[]} | ret=SUCCESS |  
2022-10-23 13:32:21,416 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-10-23 13:32:22,796 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=dc822890-b7df-47f1-928c-8d85cf2b755a, command=[]} | ret=SUCCESS |  
2022-10-23 13:32:28,006 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=9490fed2-fdc6-4f7a-ae64-eb7063dd0881, command=[]} | ret=SUCCESS |  
2022-10-23 13:32:28,074 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-10-23 13:32:43,243 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=GET_CONTAINER_WITH_PIPELINE_BATCH {containerIDs=#1,} | ret=SUCCESS |  
2022-10-23 13:32:43,297 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=GET_CONTAINER_WITH_PIPELINE_BATCH {containerIDs=#1,} | ret=SUCCESS |  
2022-10-23 13:32:44,956 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=GET_CONTAINER_WITH_PIPELINE_BATCH {containerIDs=#1,} | ret=SUCCESS |  
2022-10-23 13:32:45,232 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=ca8c9d2f-d2fd-4034-b0fa-c78752283c40, command=[]} | ret=SUCCESS |  
2022-10-23 13:32:52,793 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=dc822890-b7df-47f1-928c-8d85cf2b755a, command=[]} | ret=SUCCESS |  
2022-10-23 13:32:54,850 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=LIST_PIPELINE null | ret=SUCCESS |  
2022-10-23 13:32:57,998 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=9490fed2-fdc6-4f7a-ae64-eb7063dd0881, command=[]} | ret=SUCCESS |  
2022-10-23 13:33:09,246 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=LIST_PIPELINE null | ret=SUCCESS |  
2022-10-23 13:33:15,231 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=ca8c9d2f-d2fd-4034-b0fa-c78752283c40, command=[]} | ret=SUCCESS |  
