2022-10-24 15:05:46,174 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2022-10-24 15:05:46,177 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2022-10-24 15:05:46,206 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2022-10-24 15:05:46,183 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2022-10-24 15:05:46,185 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2022-10-24 15:05:46,198 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2022-10-24 15:05:46,784 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2022-10-24 15:05:47,087 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=GET_SCM_INFO null | ret=SUCCESS |  
2022-10-24 15:05:47,360 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=REGISTER {datanodeDetails=5542b1bc-39fb-420b-9427-2647c0279f11{ip: 172.20.0.7, host: 730116280ff4, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-10-24 15:05:47,670 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=REGISTER {datanodeDetails=fbb363d9-f2fd-445c-91ab-1c965103b8c8{ip: 172.20.0.8, host: 7892039ec610, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-10-24 15:05:48,605 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=REGISTER {datanodeDetails=b4b23211-de85-479a-88f2-78dc1af544ca{ip: 172.20.0.5, host: b82b21f0d31d, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
